step, cross_entropy, loss, train_accuracy
1,3.56852,3.85418,0.179688
101,2.30332,2.58867,0.148438
201,2.30217,2.58729,0.130208
301,2.29284,2.57774,0.132813
394,2.28847,2.57316,0.15625
494,2.2892,2.57368,0.167969
594,2.25441,2.53867,0.169271
694,2.22708,2.51114,0.177734
787,2.20216,2.48604,0.1875
887,2.17166,2.45535,0.191406
987,2.16432,2.44782,0.195313
1087,2.17134,2.45466,0.205078
1180,2.15117,2.43433,0.25
1280,2.07678,2.35978,0.257813
1380,2.08507,2.36792,0.255208
1480,2.11073,2.39341,0.267578
1573,2.10649,2.38901,0.265625
1673,2.02037,2.30275,0.300781
1773,2.02887,2.3111,0.296875
1873,2.06423,2.3463,0.302734
1966,2.04878,2.33072,0.296875
2066,1.9896,2.2714,0.335938
2166,1.95172,2.2334,0.338542
2266,1.95095,2.23248,0.34375
2359,1.87658,2.15801,0.351563
2459,1.8899,2.17121,0.34375
2559,1.87317,2.15438,0.356771
2659,1.892,2.17307,0.369141
2752,1.81376,2.09474,0.375
2852,1.75799,2.03888,0.394531
2952,1.75486,2.03563,0.408854
3052,1.74816,2.02884,0.419922
3145,1.75409,2.03469,0.429688
3245,1.66975,1.95026,0.421875
3345,1.68835,1.96879,0.4375
3445,1.66237,1.94272,0.443359
3538,1.70587,1.98615,0.414063
3638,1.63171,1.91192,0.425781
3738,1.64535,1.92548,0.453125
3838,1.59808,1.87812,0.466797
3931,1.49991,1.7799,0.460938
4031,1.48538,1.7653,0.457031
4131,1.41939,1.69926,0.479167
4231,1.43294,1.71272,0.496094
4324,1.39053,1.67026,0.523438
4424,1.40475,1.68443,0.507813
4524,1.34486,1.62448,0.526042
4624,1.37474,1.6543,0.546875
4717,1.34837,1.62788,0.539063
4817,1.36075,1.64021,0.523438
4917,1.29153,1.57095,0.554688
5017,1.33597,1.61532,0.572266
5110,1.31036,1.58968,0.539063
5210,1.31621,1.59548,0.535156
5310,1.25853,1.53778,0.554688
5410,1.29214,1.57133,0.568359
5503,1.2779,1.55706,0.539063
5603,1.28679,1.56592,0.53125
5703,1.23512,1.51422,0.554688
5803,1.26225,1.54131,0.578125
