step, cross_entropy, loss, train_accuracy
1,3.54896,3.83463,0.179688
101,2.304,2.58935,0.152344
201,2.30134,2.58646,0.132813
301,2.29126,2.57616,0.134766
394,2.27825,2.56294,0.15625
494,2.29374,2.57822,0.152344
594,2.25774,2.542,0.158854
694,2.22067,2.50473,0.169922
787,2.1994,2.48327,0.195313
887,2.17888,2.46256,0.203125
987,2.16497,2.44847,0.213542
1087,2.1768,2.46013,0.212891
1180,2.16071,2.44388,0.242188
1280,2.0925,2.37551,0.261719
1380,2.08246,2.36531,0.270833
1480,2.13855,2.42122,0.267578
1573,2.10369,2.38622,0.328125
1673,2.00957,2.29197,0.304688
1773,1.96871,2.25099,0.304688
1873,1.97077,2.25291,0.314453
1966,1.86918,2.1512,0.320313
2066,1.86071,2.14264,0.328125
2166,1.80311,2.08495,0.341146
2266,1.79715,2.07887,0.345703
2359,1.7741,2.05572,0.359375
2459,1.68106,1.96261,0.375
2559,1.67043,1.9519,0.398438
2659,1.67779,1.95917,0.404297
2752,1.73631,2.01762,0.414063
2852,1.61985,1.90109,0.410156
2952,1.59986,1.88104,0.429688
3052,1.44429,1.7254,0.441406
3145,1.4445,1.72556,0.429688
3245,1.48879,1.76979,0.429688
3345,1.30825,1.58921,0.46875
3445,1.37374,1.65464,0.486328
3538,1.32415,1.60503,0.476563
3638,1.37647,1.6573,0.5
3738,1.21878,1.49959,0.523438
3838,1.3332,1.61395,0.533203
3931,1.2511,1.53185,0.5
4031,1.28186,1.56257,0.519531
4131,1.16154,1.44223,0.544271
4231,1.33043,1.61107,0.544922
4324,1.20633,1.48697,0.546875
4424,1.22328,1.50389,0.535156
4524,1.1033,1.38389,0.559896
4624,1.25067,1.53123,0.564453
4717,1.15359,1.43414,0.554688
4817,1.17639,1.45693,0.554688
4917,1.05405,1.33458,0.575521
5017,1.18652,1.46701,0.578125
5110,1.08856,1.36906,0.570313
5210,1.15177,1.43225,0.582031
5310,1.01042,1.2909,0.598958
5410,1.12954,1.40999,0.599609
5503,1.03006,1.31053,0.601563
5603,1.12142,1.40189,0.609375
5703,0.970337,1.25081,0.625
5803,1.07604,1.35649,0.625
