step, cross_entropy, loss, train_accuracy
1,3.60116,3.88683,0.179688
101,2.3034,2.58875,0.136719
201,2.30052,2.58564,0.138021
301,2.29836,2.58326,0.126953
394,2.29706,2.58175,0.101563
494,2.29069,2.57517,0.136719
594,2.25526,2.53953,0.151042
694,2.21359,2.49764,0.164063
787,2.18838,2.47224,0.21875
887,2.15486,2.43853,0.210938
987,2.15045,2.43392,0.203125
1087,2.16404,2.44732,0.210938
1180,2.12572,2.40883,0.273438
1280,2.06052,2.34347,0.289063
1380,2.08483,2.36762,0.276042
1480,2.09128,2.37389,0.279297
1573,2.08046,2.36293,0.289063
1673,2.00918,2.29151,0.3125
1773,2.03939,2.32157,0.307292
1873,2.037,2.319,0.308594
1966,2.03405,2.31593,0.320313
2066,1.97313,2.25487,0.328125
2166,2.00247,2.28407,0.325521
2266,1.99273,2.27416,0.332031
2359,2.00481,2.28612,0.335938
2459,1.94346,2.22463,0.332031
2559,1.97246,2.2535,0.328125
2659,1.96875,2.24963,0.332031
2752,1.96885,2.24961,0.335938
2852,1.91995,2.20057,0.347656
2952,1.94494,2.22544,0.346354
3052,1.92406,2.20441,0.351563
3145,1.94671,2.22695,0.34375
3245,1.89308,2.17319,0.351563
3345,1.903,2.18299,0.348958
3445,1.89838,2.17823,0.353516
3538,1.92859,2.20834,0.351563
3638,1.87161,2.15124,0.375
3738,1.867,2.14651,0.369792
3838,1.88624,2.16561,0.371094
3931,1.91131,2.19058,0.351563
4031,1.83024,2.10941,0.363281
4131,1.72553,2.00461,0.372396
4231,1.7396,2.01857,0.388672
4324,1.71662,1.99551,0.375
4424,1.76765,2.04644,0.386719
4524,1.68679,1.96548,0.398438
4624,1.69218,1.97077,0.40625
4717,1.66555,1.94406,0.429688
4817,1.73644,2.01486,0.421875
4917,1.66924,1.94757,0.432292
5017,1.65691,1.93514,0.435547
5110,1.54794,1.82611,0.445313
5210,1.61602,1.89411,0.449219
5310,1.50764,1.78566,0.460938
5410,1.50955,1.78751,0.474609
5503,1.41355,1.69146,0.523438
5603,1.60813,1.88598,0.480469
5703,1.46289,1.74068,0.489583
5803,1.46896,1.74669,0.505859
