step, cross_entropy, loss, train_accuracy
1,3.52504,3.81071,0.179688
101,2.30265,2.588,0.15625
201,2.30178,2.58691,0.148438
301,2.30032,2.58522,0.142578
394,2.25896,2.54367,0.179688
494,2.23333,2.51783,0.1875
594,2.23312,2.51741,0.182292
694,2.20716,2.49124,0.191406
787,2.16522,2.44912,0.234375
887,2.12024,2.40396,0.214844
987,2.12336,2.4069,0.231771
1087,2.14914,2.4325,0.238281
1180,2.13418,2.41738,0.25
1280,2.03134,2.31437,0.28125
1380,2.05022,2.3331,0.289063
1480,2.09546,2.37817,0.285156
1573,2.09779,2.38036,0.242188
1673,2.00144,2.28387,0.277344
1773,2.01285,2.29514,0.299479
1873,2.02509,2.30722,0.296875
1966,2.07051,2.35252,0.28125
2066,1.98105,2.26292,0.308594
2166,1.97601,2.25775,0.322917
2266,1.97018,2.25176,0.320313
2359,2.04688,2.32835,0.289063
2459,1.94486,2.2262,0.300781
2559,1.94913,2.23035,0.3125
2659,1.93693,2.21799,0.322266
2752,2.02351,2.30445,0.289063
2852,1.91686,2.19768,0.308594
2952,1.92645,2.20714,0.325521
3052,1.92054,2.20109,0.333984
3145,2.00195,2.28239,0.3125
3245,1.89211,2.17243,0.328125
3345,1.89986,2.18006,0.346354
3445,1.90803,2.18809,0.351563
3538,1.98274,2.26268,0.335938
3638,1.86702,2.14684,0.347656
3738,1.87857,2.15828,0.359375
3838,1.88821,2.16779,0.363281
3931,1.95377,2.23324,0.359375
4031,1.83967,2.11902,0.355469
4131,1.85953,2.13877,0.364583
4231,1.8603,2.13942,0.367188
4324,1.92454,2.20355,0.367188
4424,1.80982,2.08871,0.367188
4524,1.84053,2.11932,0.364583
4624,1.84099,2.11966,0.367188
4717,1.89117,2.16974,0.382813
4817,1.77861,2.05707,0.382813
4917,1.82037,2.09874,0.377604
5017,1.82338,2.10163,0.376953
5110,1.85244,2.13059,0.398438
5210,1.75576,2.03382,0.394531
5310,1.80417,2.08213,0.388021
5410,1.81915,2.097,0.380859
5503,1.8192,2.09696,0.40625
5603,1.7322,2.00986,0.402344
5703,1.79076,2.06833,0.395833
5803,1.80759,2.08506,0.390625
