step, cross_entropy, loss, train_accuracy
1,3.59215,3.87781,0.179688
101,2.30336,2.58871,0.148438
201,2.30012,2.58524,0.151042
301,2.29949,2.58439,0.144531
394,2.29544,2.58013,0.132813
494,2.26259,2.54708,0.160156
594,2.24255,2.52684,0.164063
694,2.21517,2.49925,0.173828
787,2.18429,2.46817,0.226563
887,2.15335,2.43705,0.210938
987,2.14721,2.43071,0.205729
1087,2.17638,2.45969,0.205078
1180,2.11279,2.39593,0.273438
1280,2.08247,2.36545,0.28125
1380,2.08053,2.36334,0.276042
1480,2.1275,2.41013,0.269531
1573,2.07458,2.35707,0.28125
1673,2.03156,2.3139,0.292969
1773,2.03686,2.31905,0.294271
1873,2.06726,2.34928,0.287109
1966,2.0402,2.32209,0.304688
2066,1.92144,2.2032,0.335938
2166,1.94645,2.22807,0.341146
2266,1.87463,2.15611,0.349609
2359,1.98302,2.26438,0.304688
2459,1.84747,2.1287,0.351563
2559,1.90281,2.18393,0.356771
2659,1.81404,2.09504,0.365234
2752,1.93856,2.21945,0.328125
2852,1.80319,2.08396,0.375
2952,1.89443,2.17509,0.372396
3052,1.7935,2.07404,0.380859
3145,1.88584,2.16629,0.375
3245,1.76581,2.04613,0.421875
3345,1.87111,2.15134,0.395833
3445,1.78422,2.06433,0.394531
3538,1.84239,2.12241,0.382813
3638,1.74441,2.02432,0.421875
3738,1.70755,1.98737,0.429688
3838,1.68448,1.9642,0.445313
3931,1.67155,1.95121,0.429688
4031,1.60089,1.88045,0.453125
4131,1.6622,1.94169,0.453125
4231,1.63057,1.90998,0.466797
4324,1.62533,1.90467,0.453125
4424,1.55617,1.83544,0.484375
4524,1.61935,1.89855,0.481771
4624,1.59785,1.87698,0.488281
4717,1.56815,1.84722,0.5
4817,1.43675,1.71577,0.511719
4917,1.37598,1.65494,0.520833
5017,1.4584,1.73732,0.533203
5110,1.28504,1.56393,0.546875
5210,1.34317,1.62201,0.539063
5310,1.28758,1.56638,0.546875
5410,1.43576,1.71451,0.554688
5503,1.22185,1.50059,0.578125
5603,1.29854,1.57724,0.566406
5703,1.22708,1.50575,0.575521
5803,1.39805,1.67667,0.580078
