step_BGR, cross_entropy_BGR, loss_BGR, train_accuracy_BGR,step_BRG, cross_entropy_BRG, loss_BRG, train_accuracy_BRG,step_GRB, cross_entropy_GRB, loss_GRB, train_accuracy_GRB,step_GBR, cross_entropy_GBR, loss_GBR, train_accuracy_GBR,step_RBG, cross_entropy_RBG, loss_RBG, train_accuracy_RBG,step_RGB, cross_entropy_RGB, loss_RGB, train_accuracy_RGB
1,3.56852,3.85418,0.179688,1,3.54896,3.83463,0.179688,1,3.52504,3.81071,0.179688,1,3.60116,3.88683,0.179688,1,3.59215,3.87781,0.179688,1,3.53974,3.82541,0.179688
101,2.30332,2.58867,0.148438,101,2.304,2.58935,0.152344,101,2.30265,2.588,0.15625,101,2.3034,2.58875,0.136719,101,2.30336,2.58871,0.148438,101,2.30196,2.58731,0.164063
201,2.30217,2.58729,0.130208,201,2.30134,2.58646,0.132813,201,2.30178,2.58691,0.148438,201,2.30052,2.58564,0.138021,201,2.30012,2.58524,0.151042,201,2.29551,2.58063,0.140625
301,2.29284,2.57774,0.132813,301,2.29126,2.57616,0.134766,301,2.30032,2.58522,0.142578,301,2.29836,2.58326,0.126953,301,2.29949,2.58439,0.144531,301,2.29781,2.58272,0.130859
394,2.28847,2.57316,0.15625,394,2.27825,2.56294,0.15625,394,2.25896,2.54367,0.179688,394,2.29706,2.58175,0.101563,394,2.29544,2.58013,0.132813,394,2.26583,2.55054,0.15625
494,2.2892,2.57368,0.167969,494,2.29374,2.57822,0.152344,494,2.23333,2.51783,0.1875,494,2.29069,2.57517,0.136719,494,2.26259,2.54708,0.160156,494,2.23404,2.51855,0.167969
594,2.25441,2.53867,0.169271,594,2.25774,2.542,0.158854,594,2.23312,2.51741,0.182292,594,2.25526,2.53953,0.151042,594,2.24255,2.52684,0.164063,594,2.23432,2.51864,0.174479
694,2.22708,2.51114,0.177734,694,2.22067,2.50473,0.169922,694,2.20716,2.49124,0.191406,694,2.21359,2.49764,0.164063,694,2.21517,2.49925,0.173828,694,2.20607,2.49018,0.193359
787,2.20216,2.48604,0.1875,787,2.1994,2.48327,0.195313,787,2.16522,2.44912,0.234375,787,2.18838,2.47224,0.21875,787,2.18429,2.46817,0.226563,787,2.1595,2.44343,0.21875
887,2.17166,2.45535,0.191406,887,2.17888,2.46256,0.203125,887,2.12024,2.40396,0.214844,887,2.15486,2.43853,0.210938,887,2.15335,2.43705,0.210938,887,2.12273,2.40648,0.207031
987,2.16432,2.44782,0.195313,987,2.16497,2.44847,0.213542,987,2.12336,2.4069,0.231771,987,2.15045,2.43392,0.203125,987,2.14721,2.43071,0.205729,987,2.13849,2.42205,0.205729
1087,2.17134,2.45466,0.205078,1087,2.1768,2.46013,0.212891,1087,2.14914,2.4325,0.238281,1087,2.16404,2.44732,0.210938,1087,2.17638,2.45969,0.205078,1087,2.16329,2.44666,0.212891
1180,2.15117,2.43433,0.25,1180,2.16071,2.44388,0.242188,1180,2.13418,2.41738,0.25,1180,2.12572,2.40883,0.273438,1180,2.11279,2.39593,0.273438,1180,2.1131,2.39631,0.273438
1280,2.07678,2.35978,0.257813,1280,2.0925,2.37551,0.261719,1280,2.03134,2.31437,0.28125,1280,2.06052,2.34347,0.289063,1280,2.08247,2.36545,0.28125,1280,2.05232,2.33537,0.292969
1380,2.08507,2.36792,0.255208,1380,2.08246,2.36531,0.270833,1380,2.05022,2.3331,0.289063,1380,2.08483,2.36762,0.276042,1380,2.08053,2.36334,0.276042,1380,2.07372,2.35661,0.28125
1480,2.11073,2.39341,0.267578,1480,2.13855,2.42122,0.267578,1480,2.09546,2.37817,0.285156,1480,2.09128,2.37389,0.279297,1480,2.1275,2.41013,0.269531,1480,2.05065,2.33338,0.283203
1573,2.10649,2.38901,0.265625,1573,2.10369,2.38622,0.328125,1573,2.09779,2.38036,0.242188,1573,2.08046,2.36293,0.289063,1573,2.07458,2.35707,0.28125,1573,2.05465,2.33723,0.273438
