step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,3.53974,3.82541,0.179688,1,3.52197,3.80764,0.171875,1,3.53451,3.82018,0.179688,1,3.56461,3.85028,0.179688,1,3.52042,3.80608,0.179688,1,3.4889,3.77456,0.179688,1,3.56452,3.85019,0.179688,1,3.51469,3.80036,0.171875
101,2.30196,2.58731,0.164063,101,2.30499,2.59034,0.144531,101,2.30319,2.58855,0.132813,101,2.30404,2.5894,0.128906,101,2.30374,2.58909,0.132813,101,2.30479,2.59014,0.140625,101,2.30437,2.58973,0.144531,101,2.30414,2.5895,0.125
201,2.29551,2.58063,0.140625,201,2.30269,2.58782,0.127604,201,2.29876,2.58389,0.117188,201,2.30419,2.58931,0.109375,201,2.30074,2.58586,0.125,201,2.3019,2.58703,0.119792,201,2.30392,2.58904,0.122396,201,2.3015,2.58663,0.111979
301,2.29781,2.58272,0.130859,301,2.30042,2.58533,0.125,301,2.30187,2.58678,0.117188,301,2.3039,2.58879,0.109375,301,2.30171,2.58661,0.123047,301,2.30233,2.58724,0.111328,301,2.30301,2.58791,0.113281,301,2.30007,2.58497,0.115234
394,2.26583,2.55054,0.15625,394,2.28599,2.57069,0.15625,394,2.26811,2.55282,0.148438,394,2.28325,2.56794,0.140625,394,2.28819,2.57289,0.140625,394,2.28718,2.57188,0.132813,394,2.27943,2.56412,0.140625,394,2.29059,2.57528,0.140625
494,2.23404,2.51855,0.167969,494,2.26246,2.54696,0.179688,494,2.24265,2.52716,0.171875,494,2.2427,2.5272,0.167969,494,2.2608,2.5453,0.167969,494,2.25812,2.54262,0.15625,494,2.23923,2.52373,0.160156,494,2.26056,2.54505,0.175781
594,2.23432,2.51864,0.174479,594,2.26594,2.55024,0.182292,594,2.22994,2.51425,0.179688,594,2.2714,2.5557,0.174479,594,2.25512,2.53941,0.169271,594,2.24616,2.53045,0.164063,594,2.26459,2.54889,0.166667,594,2.2616,2.54588,0.174479
694,2.20607,2.49018,0.193359,694,2.20408,2.48818,0.189453,694,2.19995,2.48406,0.195313,694,2.22322,2.50732,0.175781,694,2.20777,2.49187,0.175781,694,2.2053,2.4894,0.171875,694,2.22011,2.50422,0.171875,694,2.21496,2.49905,0.175781
787,2.1595,2.44343,0.21875,787,2.17876,2.46268,0.234375,787,2.16235,2.44629,0.234375,787,2.17895,2.46288,0.242188,787,2.18781,2.47173,0.25,787,2.18633,2.47026,0.25,787,2.17779,2.46172,0.257813,787,2.18363,2.46755,0.203125
887,2.12273,2.40648,0.207031,887,2.14561,2.42934,0.234375,887,2.13506,2.41881,0.214844,887,2.05435,2.3381,0.269531,887,2.14023,2.42395,0.230469,887,2.15154,2.43527,0.230469,887,2.13786,2.4216,0.25,887,2.15105,2.43478,0.210938
987,2.13849,2.42205,0.205729,987,2.16924,2.45278,0.231771,987,2.13049,2.41405,0.221354,987,2.14148,2.42504,0.263021,987,2.16677,2.45031,0.223958,987,2.15783,2.44137,0.226563,987,2.19397,2.47752,0.239583,987,2.15933,2.44287,0.223958
