step, cross_entropy, loss, train_accuracy
1,3.53974,3.82541,0.179688
101,2.30196,2.58731,0.164063
201,2.29551,2.58063,0.140625
301,2.29781,2.58272,0.130859
394,2.26583,2.55054,0.15625
494,2.23404,2.51855,0.167969
594,2.23432,2.51864,0.174479
694,2.20607,2.49018,0.193359
787,2.1595,2.44343,0.21875
887,2.12273,2.40648,0.207031
987,2.13849,2.42205,0.205729
1087,2.16329,2.44666,0.212891
1180,2.1131,2.39631,0.273438
1280,2.05232,2.33537,0.292969
1380,2.07372,2.35661,0.28125
1480,2.05065,2.33338,0.283203
1573,2.05465,2.33723,0.273438
1673,1.93519,2.21764,0.324219
1773,1.96968,2.252,0.328125
1873,1.95204,2.23422,0.326172
1966,1.86141,2.14348,0.3125
2066,1.85773,2.13971,0.339844
2166,1.79206,2.07394,0.356771
2266,1.76808,2.04986,0.361328
2359,1.73863,2.02032,0.382813
2459,1.73824,2.01983,0.421875
2559,1.74098,2.02248,0.416667
2659,1.69434,1.97572,0.421875
2752,1.62479,1.90609,0.421875
2852,1.66433,1.94553,0.425781
2952,1.72554,2.00665,0.414063
3052,1.62551,1.90651,0.421875
3145,1.58377,1.86469,0.453125
3245,1.61303,1.89385,0.433594
3345,1.66547,1.94621,0.432292
3445,1.59308,1.87371,0.441406
3538,1.55677,1.83732,0.421875
3638,1.56523,1.84568,0.425781
3738,1.61363,1.894,0.427083
3838,1.56992,1.85018,0.445313
3931,1.5272,1.80739,0.4375
4031,1.52439,1.8045,0.453125
4131,1.56689,1.84693,0.453125
4231,1.54831,1.82825,0.470703
4324,1.50764,1.78752,0.445313
4424,1.47975,1.75956,0.460938
4524,1.53173,1.81147,0.460938
4624,1.5216,1.80125,0.476563
4717,1.46843,1.74802,0.476563
4817,1.44288,1.72241,0.480469
4917,1.49757,1.77705,0.486979
5017,1.50658,1.78597,0.5
5110,1.43229,1.71163,0.492188
5210,1.40979,1.68907,0.492188
5310,1.45554,1.73478,0.489583
5410,1.4849,1.76406,0.5
5503,1.39781,1.67693,0.507813
5603,1.3781,1.65716,0.503906
5703,1.42066,1.69968,0.502604
5803,1.46364,1.7426,0.511719
