step, cross_entropy, loss, train_accuracy
1,3.4889,3.77456,0.179688
101,2.30479,2.59014,0.140625
201,2.3019,2.58703,0.119792
301,2.30233,2.58724,0.111328
394,2.28718,2.57188,0.132813
494,2.25812,2.54262,0.15625
594,2.24616,2.53045,0.164063
694,2.2053,2.4894,0.171875
787,2.18633,2.47026,0.25
887,2.15154,2.43527,0.230469
987,2.15783,2.44137,0.226563
1087,2.153,2.43635,0.232422
1180,2.1453,2.42848,0.257813
1280,2.08271,2.3657,0.265625
1380,2.11656,2.39937,0.257813
1480,2.10093,2.38355,0.267578
1573,2.11471,2.39716,0.273438
1673,2.06122,2.3435,0.273438
1773,2.10099,2.38309,0.268229
1873,2.06803,2.34994,0.285156
1966,2.08648,2.36824,0.28125
2066,1.95587,2.23746,0.308594
2166,1.94484,2.22627,0.309896
2266,1.85817,2.13946,0.326172
2359,1.8731,2.15426,0.304688
2459,1.85383,2.13485,0.335938
2559,1.83354,2.11441,0.333333
2659,1.79053,2.07126,0.359375
2752,1.82986,2.11046,0.328125
2852,1.8279,2.10836,0.359375
2952,1.79763,2.07796,0.359375
3052,1.76308,2.04327,0.386719
3145,1.76594,2.04602,0.375
3245,1.78794,2.06788,0.386719
3345,1.75827,2.0381,0.388021
3445,1.71359,1.99329,0.410156
3538,1.75734,2.03694,0.367188
3638,1.69663,1.9761,0.394531
3738,1.72554,2.0049,0.395833
3838,1.68779,1.96704,0.417969
3931,1.71198,1.99114,0.398438
4031,1.63206,1.9111,0.425781
4131,1.69168,1.9706,0.427083
4231,1.65395,1.93277,0.443359
4324,1.67008,1.94882,0.414063
4424,1.58649,1.86512,0.429688
4524,1.65737,1.9359,0.432292
4624,1.62104,1.89946,0.449219
4717,1.63778,1.91612,0.46875
4817,1.55061,1.82885,0.464844
4917,1.61099,1.88914,0.455729
5017,1.59275,1.87079,0.46875
5110,1.61108,1.88905,0.46875
5210,1.52256,1.80043,0.457031
5310,1.57401,1.8518,0.450521
5410,1.56879,1.84647,0.464844
5503,1.58429,1.8619,0.476563
5603,1.50339,1.78092,0.457031
5703,1.54198,1.81943,0.453125
5803,1.54921,1.82656,0.46875
