step, cross_entropy, loss, train_accuracy
1,3.56452,3.85019,0.179688
101,2.30437,2.58973,0.144531
201,2.30392,2.58904,0.122396
301,2.30301,2.58791,0.113281
394,2.27943,2.56412,0.140625
494,2.23923,2.52373,0.160156
594,2.26459,2.54889,0.166667
694,2.22011,2.50422,0.171875
787,2.17779,2.46172,0.257813
887,2.13786,2.4216,0.25
987,2.19397,2.47752,0.239583
1087,2.05836,2.34174,0.257813
1180,2.09981,2.38303,0.289063
1280,1.96089,2.24394,0.332031
1380,2.08748,2.37038,0.317708
1480,2.00492,2.28766,0.310547
1573,2.05489,2.3375,0.289063
1673,1.91113,2.19359,0.328125
1773,2.03155,2.31388,0.315104
1873,1.98702,2.26921,0.318359
1966,2.02108,2.30315,0.304688
2066,1.8837,2.16564,0.34375
2166,1.9965,2.27831,0.351563
2266,1.92417,2.20585,0.361328
2359,1.71298,1.99456,0.40625
2459,1.70804,1.98955,0.410156
2559,1.69154,1.97296,0.401042
2659,1.65545,1.93678,0.427734
2752,1.53415,1.81541,0.445313
2852,1.59425,1.87543,0.453125
2952,1.61418,1.89529,0.460938
3052,1.57459,1.85562,0.482422
3145,1.47421,1.75517,0.515625
3245,1.52004,1.80093,0.496094
3345,1.54402,1.82484,0.486979
3445,1.52423,1.80497,0.498047
3538,1.39995,1.68064,0.515625
3638,1.46696,1.74759,0.496094
3738,1.48216,1.76272,0.492188
3838,1.45797,1.73847,0.501953
3931,1.342,1.62246,0.53125
4031,1.42021,1.70062,0.511719
4131,1.42698,1.70734,0.507813
4231,1.39936,1.67966,0.517578
4324,1.31027,1.59055,0.570313
4424,1.37736,1.6576,0.542969
4524,1.3813,1.66149,0.539063
4624,1.37699,1.65714,0.535156
4717,1.26651,1.54664,0.601563
4817,1.3309,1.611,0.542969
4917,1.34271,1.62276,0.546875
5017,1.35009,1.63011,0.558594
5110,1.21995,1.49996,0.609375
5210,1.2863,1.56628,0.5625
5310,1.29409,1.57403,0.559896
5410,1.31039,1.59031,0.576172
5503,1.1751,1.45501,0.601563
5603,1.24674,1.52663,0.566406
5703,1.25126,1.53112,0.570313
5803,1.26685,1.54669,0.583984
