step, cross_entropy, loss, train_accuracy
1,2.65779,2.44571,0.0703125
101,1.6622,1.43394,0.222656
201,1.35096,1.10627,0.322917
301,1.22652,0.963564,0.396484
394,1.13148,0.850888,0.5625
494,1.12238,0.821531,0.574219
594,0.99789,0.675618,0.591146
694,1.05683,0.71136,0.613281
787,0.721536,0.353535,0.757813
887,0.918057,0.524808,0.699219
987,0.708554,0.288864,0.71875
1087,0.715792,0.267893,0.722656
1180,0.4402,-0.0353663,0.875
1280,0.61326,0.106843,0.796875
1380,0.435059,-0.103109,0.8125
1480,0.408727,-0.163111,0.820313
1573,0.252645,-0.352477,0.898438
1673,0.509585,-0.132244,0.851563
1773,0.284973,-0.394722,0.864583
1873,0.325875,-0.393027,0.869141
1966,0.290555,-0.466006,0.875
2066,0.28726,-0.511123,0.878906
2166,0.193499,-0.648348,0.90625
2266,0.0998351,-0.78643,0.921875
2359,0.127947,-0.800462,0.929688
2459,0.1629,-0.812711,0.925781
2559,0.0905784,-0.933187,0.945313
2659,0.0982858,-0.975045,0.951172
2752,0.10091,-1.01994,0.960938
2852,0.20491,-0.96974,0.949219
2952,0.0782462,-1.15105,0.958333
3052,0.0688986,-1.21707,0.962891
3145,0.0896092,-1.25088,0.976563
3245,0.023835,-1.37611,0.980469
3345,0.0392785,-1.42298,0.979167
3445,0.024939,-1.50212,0.982422
3538,0.018477,-1.56996,1.0
3638,0.036606,-1.62069,0.992188
3738,0.0450734,-1.68274,0.992188
3838,0.0330301,-1.76807,0.992188
3931,0.0120873,-1.85979,1.0
4031,0.030789,-1.84864,0.996094
4131,0.00237235,-1.88462,0.997396
4231,0.00101902,-1.89356,0.998047
4324,0.00892745,-1.89273,0.992188
4424,0.0106807,-1.89862,0.996094
4524,0.00115631,-1.91582,0.997396
4624,0.0007477,-1.92393,0.998047
4717,0.00233711,-1.92953,1.0
4817,0.00641025,-1.93321,1.0
4917,0.00076776,-1.94665,1.0
5017,0.00061153,-1.95462,1.0
5110,0.00156031,-1.96097,1.0
5210,0.00473133,-1.96568,1.0
5310,0.000581674,-1.97774,1.0
5410,0.000501614,-1.98576,1.0
5503,0.00114904,-1.99253,1.0
5603,0.00374035,-1.99794,1.0
5703,0.00046349,-2.00925,1.0
5803,0.000422183,-2.01736,1.0
