step_mut30_150MR1bgr, cross_entropy_mut30_150MR1bgr, loss_mut30_150MR1bgr, train_accuracy_mut30_150MR1bgr,step_mut30_150MR1brg, cross_entropy_mut30_150MR1brg, loss_mut30_150MR1brg, train_accuracy_mut30_150MR1brg,step_mut30_150MR1gbr, cross_entropy_mut30_150MR1gbr, loss_mut30_150MR1gbr, train_accuracy_mut30_150MR1gbr,step_mut30_150MR1grb, cross_entropy_mut30_150MR1grb, loss_mut30_150MR1grb, train_accuracy_mut30_150MR1grb,step_mut30_150MR1rbg, cross_entropy_mut30_150MR1rbg, loss_mut30_150MR1rbg, train_accuracy_mut30_150MR1rbg,step_mut30_150MR1rgb, cross_entropy_mut30_150MR1rgb, loss_mut30_150MR1rgb, train_accuracy_mut30_150MR1rgb
1,2.66586,2.66586,0.0703125,1,2.6708,2.6708,0.0703125,1,2.6737,2.6737,0.0703125,1,2.65779,2.65779,0.0703125,1,2.65421,2.65421,0.0703125,1,2.64588,2.64588,0.0703125
101,1.75835,1.75835,0.199219,101,1.70917,1.70917,0.199219,101,1.67893,1.67893,0.195313,101,1.74,1.74,0.199219,101,1.83489,1.83489,0.191406,101,1.73302,1.73302,0.203125
201,1.42061,1.42061,0.283854,201,1.28684,1.28684,0.299479,201,1.40628,1.40628,0.276042,201,1.31667,1.31667,0.302083,201,1.41126,1.41126,0.28125,201,1.42707,1.42707,0.291667
301,1.17158,1.17158,0.363281,301,1.25066,1.25066,0.371094,301,1.27634,1.27634,0.337891,301,1.25288,1.25288,0.363281,301,1.39947,1.39947,0.337891,301,1.24298,1.24298,0.359375
394,1.04625,1.04625,0.585938,394,0.955458,0.955458,0.632813,394,1.08916,1.08916,0.601563,394,0.920259,0.920259,0.609375,394,1.12519,1.12519,0.5625,394,1.00811,1.00811,0.648438
494,1.11163,1.11163,0.601563,494,1.0744,1.0744,0.613281,494,1.03165,1.03165,0.582031,494,1.11615,1.11615,0.589844,494,1.15969,1.15969,0.554688,494,1.16009,1.16009,0.640625
594,0.992961,0.992961,0.604167,594,0.95416,0.954161,0.630208,594,1.02614,1.02614,0.604167,594,0.958803,0.958803,0.596354,594,0.989896,0.989896,0.565104,594,1.03165,1.03165,0.640625
694,0.950724,0.950724,0.619141,694,1.0134,1.0134,0.636719,694,0.877695,0.877695,0.623047,694,0.915135,0.915135,0.625,694,0.963221,0.963221,0.595703,694,1.0305,1.0305,0.636719
787,0.648247,0.648247,0.789063,787,0.670727,0.670728,0.734375,787,0.664452,0.664452,0.75,787,0.659162,0.659162,0.789063,787,0.716206,0.716206,0.703125,787,0.600482,0.600483,0.804688
887,0.873509,0.873509,0.726563,887,0.827298,0.827298,0.707031,887,0.758223,0.758223,0.746094,887,0.798066,0.798066,0.738281,887,0.928273,0.928273,0.667969,887,0.832312,0.832312,0.753906
987,0.683317,0.683317,0.729167,987,0.746973,0.746973,0.721354,987,0.69945,0.69945,0.744792,987,0.665739,0.665739,0.744792,987,0.744409,0.744409,0.682292,987,0.665647,0.665647,0.747396
1087,0.664281,0.664282,0.746094,1087,0.756005,0.756005,0.728516,1087,0.64543,0.645431,0.761719,1087,0.628921,0.628921,0.761719,1087,0.657638,0.657638,0.701172,1087,0.771227,0.771227,0.751953
1180,0.38108,0.38108,0.890625,1180,0.4177,0.4177,0.851563,1180,0.348127,0.348127,0.890625,1180,0.456543,0.456543,0.828125,1180,0.518644,0.518644,0.8125,1180,0.42338,0.42338,0.851563
1280,0.625727,0.625727,0.8125,1280,0.611841,0.611842,0.792969,1280,0.604428,0.604428,0.84375,1280,0.506711,0.506711,0.808594,1280,0.687822,0.687822,0.765625,1280,0.612651,0.612651,0.816406
1380,0.51861,0.51861,0.802083,1380,0.514488,0.514488,0.799479,1380,0.372713,0.372714,0.846354,1380,0.480657,0.480658,0.807292,1380,0.558325,0.558325,0.773438,1380,0.53522,0.53522,0.815104
1480,0.474146,0.474146,0.814453,1480,0.518118,0.518118,0.794922,1480,0.407846,0.407846,0.855469,1480,0.386905,0.386905,0.816406,1480,0.426941,0.426941,0.798828,1480,0.401855,0.401856,0.830078
1573,0.262826,0.262826,0.90625,1573,0.293224,0.293224,0.90625,1573,0.282707,0.282707,0.898438,1573,0.351438,0.351438,0.898438,1573,0.386652,0.386652,0.867188,1573,0.259876,0.259877,0.929688
1673,0.432208,0.432208,0.867188,1673,0.44213,0.44213,0.863281,1673,0.455143,0.455143,0.890625,1673,0.484489,0.484489,0.863281,1673,0.45355,0.45355,0.847656,1673,0.498563,0.498563,0.867188
1773,0.434768,0.434768,0.859375,1773,0.336535,0.336535,0.861979,1773,0.280314,0.280314,0.903646,1773,0.350879,0.350879,0.872396,1773,0.314982,0.314982,0.854167,1773,0.28588,0.285881,0.882813
1873,0.298449,0.298449,0.865234,1873,0.380207,0.380208,0.871094,1873,0.286336,0.286336,0.896484,1873,0.368246,0.368246,0.873047,1873,0.314333,0.314333,0.861328,1873,0.331561,0.331561,0.882813
1966,0.210391,0.210391,0.921875,1966,0.35175,0.351751,0.867188,1966,0.215384,0.215384,0.9375,1966,0.166285,0.166285,0.953125,1966,0.242491,0.242491,0.921875,1966,0.229745,0.229746,0.921875
