step, cross_entropy, loss, train_accuracy
1,2.66586,2.87793,0.0703125
101,2.41294,2.62501,0.105469
201,2.54376,2.75583,0.0963542
301,2.51777,2.72984,0.101563
394,2.64408,2.85615,0.0703125
494,2.39659,2.60866,0.105469
594,2.52455,2.73662,0.0963542
694,2.49834,2.71041,0.101563
787,2.62361,2.83567,0.0703125
887,2.38243,2.59449,0.105469
987,2.50637,2.71843,0.0963542
1087,2.48043,2.69249,0.101563
1180,2.60432,2.81638,0.0703125
1280,2.36949,2.58154,0.105469
1380,2.48931,2.70137,0.0963542
1480,2.46387,2.67592,0.101563
1573,2.58616,2.79821,0.0703125
1673,2.35704,2.56909,0.105469
1773,2.47374,2.68579,0.0963542
1873,2.44842,2.66047,0.101563
1966,2.56918,2.78123,0.0703125
2066,2.34537,2.55742,0.105469
2166,2.45935,2.6714,0.0963542
2266,2.43398,2.64603,0.101563
2359,2.55243,2.76448,0.0703125
2459,2.33368,2.54573,0.105469
2559,2.44519,2.65723,0.0963542
2659,2.42007,2.63211,0.101563
2752,2.53555,2.74759,0.0703125
2852,2.32242,2.53445,0.105469
2952,2.43155,2.64359,0.0963542
3052,2.40563,2.61766,0.101563
3145,2.51856,2.7306,0.0703125
3245,2.31148,2.52351,0.105469
3345,2.41932,2.63135,0.0963542
3445,2.39222,2.60425,0.101563
3538,2.5016,2.71363,0.0703125
3638,2.30064,2.51267,0.105469
3738,2.40765,2.61968,0.0963542
3838,2.37899,2.59102,0.101563
3931,2.48515,2.69718,0.0703125
4031,2.29263,2.50466,0.105469
4131,2.40168,2.61371,0.0963542
4231,2.37488,2.5869,0.101563
4324,2.4835,2.69553,0.0703125
4424,2.29155,2.50357,0.105469
4524,2.40062,2.61264,0.0963542
4624,2.37369,2.58571,0.101563
4717,2.48189,2.69391,0.0703125
4817,2.29048,2.50251,0.105469
4917,2.39955,2.61157,0.0963542
5017,2.3725,2.58453,0.101563
5110,2.48027,2.69229,0.0703125
5210,2.28943,2.50146,0.105469
5310,2.39846,2.61048,0.0963542
5410,2.37135,2.58338,0.101563
5503,2.47866,2.69068,0.0703125
5603,2.28837,2.50039,0.105469
5703,2.39737,2.60939,0.0963542
5803,2.37021,2.58223,0.101563
