step, cross_entropy, loss, train_accuracy
1,2.6737,2.88577,0.0703125
101,2.40925,2.62132,0.105469
201,2.55282,2.7649,0.0963542
301,2.54376,2.75584,0.101563
394,2.6737,2.88577,0.0703125
494,2.40925,2.62132,0.105469
594,2.55282,2.7649,0.0963542
694,2.54376,2.75584,0.101563
787,2.6737,2.88577,0.0703125
887,2.40925,2.62132,0.105469
987,2.55282,2.7649,0.0963542
1087,2.54376,2.75584,0.101563
1180,2.6737,2.88577,0.0703125
1280,2.40925,2.62132,0.105469
1380,2.55282,2.7649,0.0963542
1480,2.54376,2.75584,0.101563
1573,2.6737,2.88577,0.0703125
1673,2.40925,2.62132,0.105469
1773,2.55282,2.7649,0.0963542
1873,2.54376,2.75584,0.101563
1966,2.6737,2.88577,0.0703125
2066,2.40925,2.62132,0.105469
2166,2.55282,2.7649,0.0963542
2266,2.54376,2.75584,0.101563
2359,2.6737,2.88577,0.0703125
2459,2.40925,2.62132,0.105469
2559,2.55282,2.7649,0.0963542
2659,2.54376,2.75584,0.101563
2752,2.6737,2.88577,0.0703125
2852,2.40925,2.62132,0.105469
2952,2.55282,2.7649,0.0963542
3052,2.54376,2.75584,0.101563
3145,2.6737,2.88577,0.0703125
3245,2.40925,2.62132,0.105469
3345,2.55282,2.7649,0.0963542
3445,2.54376,2.75584,0.101563
3538,2.6737,2.88577,0.0703125
3638,2.40925,2.62132,0.105469
3738,2.55282,2.7649,0.0963542
3838,2.54376,2.75584,0.101563
3931,5.04938,5.27105,0.171875
4031,2.3363,3.81157,0.160156
4131,2.15854,3.14376,0.164063
4231,2.08874,2.75835,0.171875
4324,2.00337,2.47478,0.21875
4424,2.02916,2.35656,0.210938
4524,1.91398,2.15136,0.21875
4624,1.88867,2.08301,0.25
4717,1.60408,1.77147,0.421875
4817,1.72579,1.88214,0.390625
4917,1.57803,1.73603,0.380208
5017,1.43064,1.60077,0.425781
5110,1.38056,1.5629,0.507813
5210,1.31537,1.51065,0.515625
5310,1.39503,1.60607,0.507813
5410,1.28592,1.51618,0.515625
5503,1.20154,1.44541,0.515625
5603,1.2355,1.49878,0.511719
5703,1.24222,1.51453,0.510417
5803,1.19926,1.4896,0.546875
