step, cross_entropy, loss, train_accuracy
1,2.65421,2.86629,0.0703125
101,2.40571,2.61779,0.105469
201,2.55529,2.76737,0.0963542
301,2.55251,2.76459,0.101563
394,2.65421,2.86629,0.0703125
494,2.40571,2.61779,0.105469
594,2.55529,2.76737,0.0963542
694,2.55251,2.76459,0.101563
787,2.65421,2.86629,0.0703125
887,2.40571,2.61779,0.105469
987,2.55529,2.76737,0.0963542
1087,2.55251,2.76459,0.101563
1180,2.65421,2.86629,0.0703125
1280,2.40571,2.61779,0.105469
1380,2.55529,2.76737,0.0963542
1480,2.55251,2.76459,0.101563
1573,2.65421,2.86629,0.0703125
1673,2.40571,2.61779,0.105469
1773,2.55529,2.76737,0.0963542
1873,2.55251,2.76459,0.101563
1966,2.65421,2.86629,0.0703125
2066,2.40571,2.61779,0.105469
2166,2.55529,2.76737,0.0963542
2266,2.55251,2.76459,0.101563
2359,2.65421,2.86629,0.0703125
2459,2.40571,2.61779,0.105469
2559,2.55529,2.76737,0.0963542
2659,2.55251,2.76459,0.101563
2752,2.65421,2.86629,0.0703125
2852,2.40571,2.61779,0.105469
2952,2.55529,2.76737,0.0963542
3052,2.55251,2.76459,0.101563
3145,2.65421,2.86629,0.0703125
3245,2.40571,2.61779,0.105469
3345,2.55529,2.76737,0.0963542
3445,2.55251,2.76459,0.101563
3538,2.65421,2.86629,0.0703125
3638,2.40571,2.61779,0.105469
3738,2.55529,2.76737,0.0963542
3838,2.55251,2.76459,0.101563
3931,5.66053,5.88263,0.125
4031,2.31877,4.52588,0.117188
4131,2.03963,3.51543,0.151042
4231,2.11334,3.10443,0.154297
4324,1.98765,2.68012,0.21875
4424,1.91554,2.39816,0.246094
4524,1.812,2.16043,0.239583
4624,1.89811,2.15239,0.248047
4717,1.73508,1.94171,0.359375
4817,1.74326,1.9273,0.34375
4917,1.66594,1.83672,0.348958
5017,1.59344,1.76602,0.371094
5110,1.61334,1.79183,0.351563
5210,1.62398,1.81426,0.382813
5310,1.45861,1.65516,0.403646
5410,1.29185,1.50457,0.435547
5503,1.28737,1.51457,0.453125
5603,1.34843,1.58939,0.484375
5703,1.33672,1.58916,0.489583
5803,1.32731,1.59943,0.492188
