step, cross_entropy, loss, train_accuracy
1,2.64588,2.85796,0.0703125
101,2.42957,2.64164,0.105469
201,2.57982,2.7919,0.0963542
301,2.53575,2.74782,0.101563
394,2.64588,2.85796,0.0703125
494,2.42957,2.64164,0.105469
594,2.57982,2.7919,0.0963542
694,2.53575,2.74782,0.101563
787,2.64588,2.85796,0.0703125
887,2.42957,2.64164,0.105469
987,2.57982,2.7919,0.0963542
1087,2.53575,2.74782,0.101563
1180,2.64588,2.85796,0.0703125
1280,2.42957,2.64164,0.105469
1380,2.57982,2.7919,0.0963542
1480,2.53575,2.74782,0.101563
1573,2.64588,2.85796,0.0703125
1673,2.42957,2.64164,0.105469
1773,2.57982,2.7919,0.0963542
1873,2.53575,2.74782,0.101563
1966,2.64588,2.85796,0.0703125
2066,2.42957,2.64164,0.105469
2166,2.57982,2.7919,0.0963542
2266,2.53575,2.74782,0.101563
2359,2.64588,2.85796,0.0703125
2459,2.42957,2.64164,0.105469
2559,2.57982,2.7919,0.0963542
2659,2.53575,2.74782,0.101563
2752,2.64588,2.85796,0.0703125
2852,2.42957,2.64164,0.105469
2952,2.57982,2.7919,0.0963542
3052,2.53575,2.74782,0.101563
3145,2.64588,2.85796,0.0703125
3245,2.42957,2.64164,0.105469
3345,2.57982,2.7919,0.0963542
3445,2.53575,2.74782,0.101563
3538,2.64588,2.85796,0.0703125
3638,2.42957,2.64164,0.105469
3738,2.57982,2.7919,0.0963542
3838,2.53575,2.74782,0.101563
3931,5.07836,5.29942,0.132813
4031,2.36844,5.90866,0.109375
4131,2.31905,4.67367,0.104167
4231,2.31982,3.88575,0.101563
4324,2.32286,3.39446,0.140625
4424,2.3872,3.10052,0.117188
4524,2.0273,2.51613,0.145833
4624,1.99765,2.34605,0.164063
4717,1.77888,2.04253,0.34375
4817,1.82226,2.03628,0.328125
4917,1.66328,1.8472,0.348958
5017,1.5074,1.6825,0.384766
5110,1.46908,1.64236,0.421875
5210,1.50618,1.68692,0.421875
5310,1.44592,1.63676,0.414063
5410,1.43651,1.64817,0.4375
5503,1.23375,1.45852,0.523438
5603,1.30585,1.54706,0.507813
5703,1.25492,1.51218,0.5
5803,1.25158,1.52951,0.529297
