step, cross_entropy, loss, train_accuracy
1,2.6708,2.88288,0.0703125
101,1.80896,2.02195,0.191406
201,1.35394,1.566,0.276042
301,1.23824,1.45051,0.357422
394,1.04921,1.26264,0.625
494,1.05988,1.27518,0.613281
594,1.00619,1.2237,0.606771
694,0.894414,1.11469,0.623047
787,0.692284,0.914952,0.742188
887,0.855773,1.08149,0.691406
987,0.737056,0.966128,0.705729
1087,0.555183,0.787975,0.724609
1180,0.489424,0.726213,0.828125
1280,0.548311,0.78909,0.792969
1380,0.527727,0.772901,0.799479
1480,0.504785,0.754871,0.808594
1573,0.341831,0.596486,0.867188
1673,0.485684,0.744814,0.84375
1773,0.366542,0.630613,0.846354
1873,0.364991,0.633857,0.845703
1966,0.246153,0.519738,0.890625
2066,0.416663,0.695719,0.863281
2166,0.276403,0.560086,0.872396
2266,0.278523,0.566115,0.882813
2359,0.181849,0.473691,0.929688
2459,0.299291,0.595281,0.917969
2559,0.288676,0.587708,0.911458
2659,0.218249,0.520636,0.910156
2752,0.243276,0.548942,0.914063
2852,0.169836,0.478847,0.929688
2952,0.172936,0.483772,0.929688
3052,0.235913,0.548899,0.929688
3145,0.164285,0.480364,0.960938
3245,0.180703,0.499372,0.945313
3345,0.219413,0.540075,0.942708
3445,0.13122,0.453646,0.951172
3538,0.15707,0.48012,0.953125
3638,0.158627,0.484776,0.941406
3738,0.116641,0.444968,0.945313
3838,0.22946,0.557913,0.935547
3931,0.53976,0.868192,0.84375
4031,1.27486,1.78125,0.671875
4131,1.19041,1.64139,0.638021
4231,0.920813,1.34662,0.638672
4324,0.7583,1.17649,0.6875
4424,0.949362,1.36824,0.660156
4524,0.86324,1.2801,0.658854
4624,0.782265,1.20761,0.673828
4717,0.639591,1.0664,0.804688
4817,0.790838,1.22773,0.765625
4917,0.873477,1.32123,0.734375
5017,0.665763,1.13049,0.75
5110,0.679623,1.14949,0.765625
5210,0.755139,1.23073,0.753906
5310,0.758733,1.24808,0.75
5410,0.555465,1.0526,0.759766
5503,0.599139,1.09852,0.789063
5603,0.702558,1.20791,0.753906
5703,0.790298,1.308,0.739583
5803,0.523189,1.04794,0.761719
