step, cross_entropy, loss, train_accuracy
1,2.65779,2.86986,0.0703125
101,1.7632,1.97617,0.191406
201,1.29356,1.50677,0.302083
301,1.18779,1.40142,0.359375
394,1.01237,1.22638,0.648438
494,1.17366,1.38888,0.613281
594,1.0086,1.22566,0.611979
694,0.938065,1.15694,0.628906
787,0.663391,0.884274,0.796875
887,0.86775,1.09122,0.730469
987,0.745819,0.972214,0.723958
1087,0.822068,1.05193,0.724609
1180,0.384624,0.617876,0.882813
1280,0.676961,0.913906,0.808594
1380,0.499568,0.740635,0.804688
1480,0.4714,0.717183,0.816406
1573,0.286854,0.536623,0.921875
1673,0.535566,0.789569,0.859375
1773,0.42972,0.68887,0.835938
1873,0.332865,0.597137,0.845703
1966,0.218984,0.487296,0.921875
2066,0.355175,0.627718,0.890625
2166,0.466478,0.74351,0.869792
2266,0.218989,0.500616,0.882813
2359,0.165273,0.450637,0.929688
2459,0.308785,0.597475,0.894531
2559,0.348931,0.641443,0.880208
2659,0.235232,0.531915,0.892578
2752,0.177639,0.477467,0.953125
2852,0.28417,0.58683,0.914063
2952,0.190471,0.496206,0.921875
3052,0.254979,0.563483,0.925781
3145,0.112361,0.423551,0.96875
3245,0.184901,0.496762,0.941406
3345,0.262066,0.576102,0.929688
3445,0.176166,0.491728,0.927734
3538,0.143733,0.460854,0.96875
3638,0.219624,0.536804,0.957031
3738,0.179676,0.498711,0.953125
3838,0.172631,0.491975,0.947266
3931,0.386819,0.707585,0.835938
4031,1.36474,1.88093,0.667969
4131,1.28245,1.72545,0.614583
4231,1.11049,1.51536,0.609375
4324,0.790945,1.17248,0.695313
4424,0.954659,1.33256,0.671875
4524,0.990903,1.36846,0.645833
4624,0.760823,1.14767,0.662109
4717,0.708389,1.10237,0.773438
4817,0.852742,1.25979,0.734375
4917,0.931245,1.34699,0.705729
5017,0.610819,1.04057,0.724609
5110,0.608245,1.04116,0.804688
5210,0.685267,1.13394,0.765625
5310,0.881087,1.33682,0.755208
5410,0.663994,1.13235,0.763672
5503,0.66268,1.13737,0.773438
5603,0.600058,1.08073,0.773438
5703,0.898027,1.38566,0.752604
5803,0.573237,1.0726,0.767578
