step, cross_entropy, loss, train_accuracy
1,2.52697,2.73897,0.0625
101,1.46984,1.68348,0.25
201,1.15843,1.37304,0.356771
301,1.0577,1.27739,0.423828
394,0.977264,1.20591,0.671875
494,0.702412,0.943836,0.710938
594,0.494713,0.752177,0.742188
694,0.40316,0.680471,0.773438
787,0.3684,0.661915,0.890625
887,0.197636,0.507223,0.898438
987,0.181131,0.502097,0.911458
1087,0.0737011,0.401981,0.923828
1180,0.0259775,0.353616,0.992188
1280,0.0197728,0.342468,0.992188
1380,0.00441381,0.319321,0.994792
1480,0.00134515,0.306064,0.996094
1573,0.000788645,0.294663,1.0
1673,0.000734993,0.283228,1.0
1773,0.000447733,0.271998,1.0
1873,0.0004755,0.261517,1.0
1966,0.000531694,0.252178,1.0
2066,0.00078213,0.242716,1.0
2166,0.000551797,0.233158,1.0
2266,0.000539351,0.224194,1.0
2359,0.000609417,0.216264,1.0
2459,0.000888277,0.208275,1.0
2559,0.000652167,0.200096,1.0
2659,0.0006005,0.192424,1.0
2752,0.000693832,0.185706,1.0
2852,0.000982216,0.178954,1.0
2952,0.00071618,0.171921,1.0
3052,0.000646005,0.165359,1.0
3145,0.000743179,0.159653,1.0
3245,0.00104048,0.15395,1.0
3345,0.000754086,0.147894,1.0
3445,0.000671281,0.142276,1.0
3538,0.000762768,0.137419,1.0
3638,0.00106079,0.132601,1.0
3738,0.000778505,0.127395,1.0
3838,0.000681783,0.122576,1.0
3931,0.000764502,0.118477,1.0
4031,0.00101544,0.118284,1.0
4131,0.000782323,0.117607,1.0
4231,0.00066699,0.117051,1.0
4324,0.000769636,0.116745,1.0
4424,0.00102283,0.116561,1.0
4524,0.000782784,0.115885,1.0
4624,0.000669376,0.115337,1.0
4717,0.000772504,0.115038,1.0
4817,0.00102761,0.114863,1.0
4917,0.000784146,0.11419,1.0
5017,0.000670985,0.113649,1.0
5110,0.000774389,0.113357,1.0
5210,0.00103097,0.11319,1.0
5310,0.000785663,0.112522,1.0
5410,0.000672169,0.111988,1.0
5503,0.00077583,0.111702,1.0
5603,0.00103361,0.111543,1.0
5703,0.000787223,0.11088,1.0
5803,0.000673084,0.110352,1.0
