step, cross_entropy, loss, train_accuracy
1,2.49336,2.70536,0.0625
101,1.70563,1.91951,0.214844
201,1.20947,1.42474,0.335938
301,0.946058,1.16648,0.417969
394,0.881654,1.11109,0.65625
494,0.689172,0.932313,0.707031
594,0.534848,0.794117,0.747396
694,0.426445,0.704467,0.769531
787,0.192999,0.48693,0.921875
887,0.172208,0.481114,0.929688
987,0.136493,0.457441,0.932292
1087,0.059944,0.3878,0.943359
1180,0.0897654,0.420807,0.96875
1280,0.0284806,0.35648,0.980469
1380,0.0486128,0.373734,0.981771
1480,0.0329665,0.35416,0.982422
1573,0.0114198,0.325919,1.0
1673,0.00100369,0.304726,1.0
1773,0.000632196,0.292613,1.0
1873,0.000469404,0.281134,1.0
1966,0.00069435,0.27123,1.0
2066,0.00073268,0.260796,1.0
2166,0.000619111,0.250622,1.0
2266,0.000489667,0.24084,1.0
2359,0.00079306,0.232513,1.0
2459,0.000877045,0.22368,1.0
2559,0.000726834,0.214965,1.0
2659,0.0005689,0.206591,1.0
2752,0.000901454,0.199579,1.0
2852,0.00100045,0.192088,1.0
2952,0.000807406,0.184603,1.0
3052,0.000616638,0.177417,1.0
3145,0.000949325,0.171494,1.0
3245,0.0010676,0.165148,1.0
3345,0.000849721,0.158717,1.0
3445,0.000635384,0.15254,1.0
3538,0.00095425,0.147528,1.0
3638,0.00110246,0.142165,1.0
3738,0.000867834,0.136631,1.0
3838,0.000638798,0.131317,1.0
3931,0.000941679,0.127116,1.0
4031,0.00106474,0.126761,1.0
4131,0.000868865,0.126088,1.0
4231,0.000628596,0.125373,1.0
4324,0.000940269,0.125244,1.0
4424,0.00107486,0.124908,1.0
4524,0.000868145,0.124232,1.0
4624,0.000630439,0.123527,1.0
4717,0.000939826,0.123403,1.0
4817,0.00108228,0.123083,1.0
4917,0.000868852,0.122407,1.0
5017,0.000632181,0.12171,1.0
5110,0.000939386,0.121591,1.0
5210,0.00108814,0.121284,1.0
5310,0.000869961,0.120611,1.0
5410,0.000633621,0.119922,1.0
5503,0.000939016,0.119808,1.0
5603,0.00109292,0.119513,1.0
5703,0.000871184,0.118844,1.0
5803,0.000634776,0.118161,1.0
