step, cross_entropy, loss, train_accuracy
1,2.5297,2.74171,0.0625
101,1.55655,1.77013,0.257813
201,1.14131,1.3563,0.367188
301,0.989668,1.21142,0.445313
394,0.872731,1.10606,0.71875
494,0.576365,0.824667,0.746094
594,0.432418,0.699807,0.773438
694,0.284975,0.572211,0.804688
787,0.268854,0.57199,0.90625
887,0.170123,0.487432,0.929688
987,0.135498,0.462683,0.9375
1087,0.0319782,0.364609,0.953125
1180,0.0511396,0.385671,0.984375
1280,0.019054,0.346601,0.988281
1380,0.00174933,0.319082,0.992188
1480,0.000641233,0.306203,0.994141
1573,0.000653242,0.295208,1.0
1673,0.000748268,0.283899,1.0
1773,0.000602389,0.272793,1.0
1873,0.000542196,0.262209,1.0
1966,0.00064793,0.252906,1.0
2066,0.000797534,0.243329,1.0
2166,0.000651389,0.233842,1.0
2266,0.000605982,0.224831,1.0
2359,0.000703566,0.216916,1.0
2459,0.000896521,0.208827,1.0
2559,0.000715871,0.20069,1.0
2659,0.000663087,0.193002,1.0
2752,0.000757506,0.186272,1.0
2852,0.000976745,0.179435,1.0
2952,0.000764899,0.172444,1.0
3052,0.000699995,0.165871,1.0
3145,0.000793844,0.160148,1.0
3245,0.0010286,0.154369,1.0
3345,0.000793463,0.148352,1.0
3445,0.000712861,0.142722,1.0
3538,0.000808692,0.137858,1.0
3638,0.00106913,0.132989,1.0
3738,0.000811474,0.127798,1.0
3838,0.00071155,0.122963,1.0
3931,0.00081031,0.118871,1.0
4031,0.001036,0.118651,1.0
4131,0.000820811,0.117991,1.0
4231,0.000698028,0.117426,1.0
4324,0.000815907,0.117135,1.0
4424,0.00104252,0.116923,1.0
4524,0.000821149,0.116265,1.0
4624,0.000699538,0.115708,1.0
4717,0.000818421,0.115424,1.0
4817,0.00104849,0.115222,1.0
4917,0.000822674,0.114566,1.0
5017,0.000700545,0.114016,1.0
5110,0.000819374,0.113738,1.0
5210,0.00105373,0.113548,1.0
5310,0.000824662,0.112895,1.0
5410,0.000701203,0.11235,1.0
5503,0.00081966,0.112078,1.0
5603,0.00105831,0.111899,1.0
5703,0.000826735,0.11125,1.0
5803,0.00070168,0.11071,1.0
