step, cross_entropy, loss, train_accuracy
1,2.69147,2.90354,0.0703125
101,1.69126,1.90442,0.1875
201,1.42212,1.63366,0.273438
301,1.20996,1.42149,0.347656
394,1.16954,1.38202,0.570313
494,1.15554,1.36972,0.585938
594,0.975749,1.1917,0.596354
694,0.900714,1.11883,0.615234
787,0.63243,0.852777,0.78125
887,0.856962,1.07978,0.726563
987,0.817314,1.04308,0.713542
1087,0.713857,0.942923,0.728516
1180,0.490843,0.723627,0.789063
1280,0.728553,0.96497,0.757813
1380,0.587255,0.828163,0.768229
1480,0.508426,0.754258,0.785156
1573,0.350345,0.600935,0.882813
1673,0.501779,0.756637,0.824219
1773,0.589299,0.849289,0.8125
1873,0.378302,0.642886,0.826172
1966,0.280922,0.550221,0.914063
2066,0.458774,0.732786,0.882813
2166,0.377395,0.656259,0.877604
2266,0.39861,0.681683,0.878906
2359,0.229127,0.516573,0.921875
2459,0.371992,0.66389,0.890625
2559,0.21691,0.513325,0.901042
2659,0.213217,0.512253,0.90625
2752,0.1637,0.465741,0.945313
2852,0.349328,0.654973,0.910156
2952,0.297127,0.607235,0.908854
3052,0.213862,0.526009,0.910156
3145,0.101199,0.416643,0.976563
3245,0.154803,0.47254,0.964844
3345,0.170887,0.490428,0.958333
3445,0.228431,0.548983,0.949219
3538,0.116423,0.438836,0.96875
3638,0.215916,0.539813,0.949219
3738,0.106831,0.430622,0.955729
3838,0.26554,0.589688,0.939453
3931,0.101201,0.427817,0.976563
4031,0.0876647,0.413382,0.972656
4131,0.0657416,0.390385,0.976563
4231,0.0224524,0.345982,0.982422
4324,0.0189209,0.341389,0.992188
4424,0.0293691,0.350701,0.992188
4524,0.0262419,0.346437,0.992188
4624,0.0115923,0.330634,0.994141
4717,0.00971274,0.327666,1.0
4817,0.0172709,0.334066,1.0
4917,0.00946323,0.325103,1.0
5017,0.00698554,0.321461,1.0
5110,0.00599859,0.319381,1.0
5210,0.0121318,0.324353,1.0
5310,0.00659489,0.317658,1.0
5410,0.00495402,0.314854,1.0
5503,0.00432709,0.313138,1.0
5603,0.00925437,0.316909,1.0
5703,0.00508797,0.311589,1.0
5803,0.00386016,0.309205,1.0
