step, cross_entropy, loss, train_accuracy
1,2.69387,2.90595,0.0703125
101,1.71022,1.92312,0.226563
201,1.41055,1.62147,0.317708
301,1.19115,1.40205,0.376953
394,1.0454,1.25714,0.601563
494,1.1976,1.41075,0.589844
594,1.06614,1.2811,0.588542
694,1.12476,1.34182,0.587891
787,0.716452,0.935425,0.75
887,0.816757,1.03856,0.730469
987,0.830262,1.05502,0.700521
1087,0.786092,1.01436,0.705078
1180,0.465776,0.697305,0.820313
1280,0.678549,0.914277,0.78125
1380,0.614288,0.854541,0.778646
1480,0.489014,0.733786,0.792969
1573,0.287086,0.536031,0.890625
1673,0.465986,0.719964,0.847656
1773,0.433894,0.692764,0.84375
1873,0.313462,0.577214,0.859375
1966,0.21678,0.486219,0.921875
2066,0.396094,0.669843,0.898438
2166,0.417419,0.695612,0.880208
2266,0.352933,0.636124,0.880859
2359,0.206888,0.49447,0.90625
2459,0.275723,0.567333,0.890625
2559,0.267734,0.564345,0.890625
2659,0.178914,0.478382,0.908203
2752,0.14524,0.448176,0.945313
2852,0.175077,0.48211,0.933594
2952,0.322947,0.631689,0.919271
3052,0.314421,0.626137,0.917969
3145,0.117348,0.430843,0.960938
3245,0.179838,0.495524,0.953125
3345,0.111302,0.428432,0.958333
3445,0.199455,0.519007,0.955078
3538,0.0875689,0.408668,0.960938
3638,0.184658,0.507503,0.9375
3738,0.177285,0.501417,0.9375
3838,0.1699,0.494153,0.939453
3931,0.114446,0.439866,0.960938
4031,0.0609035,0.385368,0.972656
4131,0.0308484,0.354208,0.979167
4231,0.026313,0.348536,0.980469
4324,0.0185073,0.339656,0.992188
4424,0.0269727,0.346974,0.992188
4524,0.0138742,0.332727,0.994792
4624,0.00613206,0.323821,0.996094
4717,0.00862215,0.325218,1.0
4817,0.0191098,0.334545,0.996094
4917,0.00901724,0.323294,0.997396
5017,0.00408988,0.317198,0.998047
5110,0.00654087,0.318555,1.0
5210,0.0146468,0.325501,1.0
5310,0.00675263,0.316449,1.0
5410,0.00311483,0.311647,1.0
5503,0.0053031,0.312748,1.0
5603,0.0118827,0.318175,1.0
5703,0.00535968,0.310501,1.0
5803,0.00258164,0.306568,1.0
