step, cross_entropy, loss, train_accuracy
1,2.67033,2.8824,0.0703125
101,1.76629,1.97906,0.195313
201,1.39892,1.61034,0.291667
301,1.2517,1.46335,0.349609
394,1.12958,1.34169,0.59375
494,1.13164,1.34476,0.566406
594,1.0274,1.24178,0.588542
694,0.935004,1.15114,0.603516
787,0.692932,0.911391,0.734375
887,0.951779,1.17292,0.695313
987,0.813815,1.03795,0.700521
1087,0.716953,0.944528,0.716797
1180,0.489564,0.720559,0.84375
1280,0.625676,0.860572,0.785156
1380,0.553184,0.792641,0.794271
1480,0.576383,0.820493,0.792969
1573,0.341166,0.589644,0.875
1673,0.594788,0.848045,0.824219
1773,0.427137,0.685875,0.822917
1873,0.374083,0.637719,0.835938
1966,0.222067,0.490002,0.914063
2066,0.465636,0.737945,0.855469
2166,0.445676,0.722687,0.841146
2266,0.217636,0.499339,0.865234
2359,0.144266,0.430341,0.945313
2459,0.285929,0.575916,0.925781
2559,0.273381,0.56703,0.919271
2659,0.224851,0.523184,0.919922
2752,0.107511,0.409129,0.96875
2852,0.316399,0.621265,0.929688
2952,0.204277,0.512536,0.929688
3052,0.188447,0.500557,0.935547
3145,0.101658,0.415179,0.960938
3245,0.229481,0.545234,0.9375
3345,0.253278,0.571296,0.929688
3445,0.224041,0.544929,0.923828
3538,0.117102,0.439959,0.960938
3638,0.171266,0.494637,0.949219
3738,0.0763826,0.400338,0.958333
3838,0.109363,0.433338,0.960938
3931,0.0529996,0.376808,0.976563
4031,0.0795125,0.402357,0.972656
4131,0.0180291,0.339769,0.979167
4231,0.00480157,0.325406,0.984375
4324,0.00644801,0.32597,1.0
4424,0.0314483,0.349826,0.996094
4524,0.00562564,0.322853,0.997396
4624,0.003307,0.319371,0.998047
4717,0.00352528,0.318493,1.0
4817,0.0206122,0.334422,0.996094
4917,0.00402485,0.316675,0.997396
5017,0.00268205,0.314165,0.998047
5110,0.00273882,0.313126,1.0
5210,0.0140427,0.323273,1.0
5310,0.0031528,0.311226,1.0
5410,0.00228122,0.309192,1.0
5503,0.00222507,0.308048,1.0
5603,0.00977018,0.314443,1.0
5703,0.00259716,0.30612,1.0
5803,0.00199509,0.304365,1.0
