step_mut49_150MR1bgr, cross_entropy_mut49_150MR1bgr, loss_mut49_150MR1bgr, train_accuracy_mut49_150MR1bgr,step_mut49_150MR1brg, cross_entropy_mut49_150MR1brg, loss_mut49_150MR1brg, train_accuracy_mut49_150MR1brg,step_mut49_150MR1gbr, cross_entropy_mut49_150MR1gbr, loss_mut49_150MR1gbr, train_accuracy_mut49_150MR1gbr,step_mut49_150MR1grb, cross_entropy_mut49_150MR1grb, loss_mut49_150MR1grb, train_accuracy_mut49_150MR1grb,step_mut49_150MR1rbg, cross_entropy_mut49_150MR1rbg, loss_mut49_150MR1rbg, train_accuracy_mut49_150MR1rbg,step_mut49_150MR1rgb, cross_entropy_mut49_150MR1rgb, loss_mut49_150MR1rgb, train_accuracy_mut49_150MR1rgb
1,2.66477,2.87684,0.0703125,1,2.66778,2.87985,0.0703125,1,2.6686,2.88068,0.0703125,1,2.67695,2.88902,0.0703125,1,2.667,2.87907,0.0703125,1,2.66512,2.8772,0.0703125
101,1.70459,1.91716,0.207031,101,1.737,1.95014,0.210938,101,1.72386,1.93748,0.214844,101,1.72851,1.94031,0.214844,101,1.68842,1.90061,0.210938,101,1.78455,1.99701,0.199219
201,1.35659,1.56767,0.3125,201,1.3649,1.578,0.302083,201,1.33136,1.54556,0.307292,201,1.44222,1.65331,0.302083,201,1.37527,1.58591,0.304688,201,1.39882,1.60952,0.283854
301,1.31231,1.52342,0.375,301,1.28251,1.49675,0.367188,301,1.13211,1.34791,0.369141,301,1.24614,1.45742,0.367188,301,1.33684,1.54781,0.369141,301,1.29969,1.51047,0.339844
394,1.1166,1.32833,0.59375,394,1.02701,1.24182,0.59375,394,0.940512,1.15798,0.664063,394,1.05506,1.26686,0.601563,394,1.09298,1.30505,0.617188,394,1.08075,1.29233,0.609375
494,1.21005,1.42342,0.566406,494,1.16559,1.38197,0.570313,494,1.11527,1.33485,0.640625,494,1.23014,1.44338,0.558594,494,1.03161,1.24536,0.617188,494,1.15658,1.36944,0.59375
594,1.00407,1.21936,0.580729,594,0.973734,1.19201,0.580729,594,0.963073,1.18487,0.645833,594,1.02477,1.2396,0.575521,594,0.971637,1.18773,0.622396,594,1.00158,1.21658,0.598958
694,0.940343,1.15831,0.607422,694,0.987632,1.20797,0.591797,694,0.930108,1.15474,0.652344,694,0.911916,1.12865,0.599609,694,0.970003,1.18894,0.634766,694,0.992799,1.20972,0.613281
787,0.682593,0.903169,0.78125,787,0.604705,0.827459,0.796875,787,0.694323,0.921469,0.757813,787,0.709773,0.92881,0.75,787,0.69936,0.920895,0.773438,787,0.703811,0.923102,0.742188
887,0.825457,1.04905,0.714844,887,0.867116,1.09273,0.738281,887,0.857744,1.08776,0.726563,887,0.922555,1.14448,0.710938,887,0.749911,0.97458,0.730469,887,0.795761,1.01747,0.722656
987,0.709355,0.936374,0.716146,987,0.734695,0.963673,0.734375,987,0.730588,0.964018,0.723958,987,0.687245,0.912055,0.713542,987,0.736771,0.965115,0.726563,987,0.788286,1.01315,0.716146
1087,0.69339,0.924529,0.720703,1087,0.660174,0.892998,0.746094,1087,0.659432,0.897341,0.742188,1087,0.647345,0.87568,0.742188,1087,0.747028,0.979479,0.748047,1087,0.726066,0.954233,0.726563
1180,0.368469,0.60316,0.851563,1180,0.434245,0.670945,0.84375,1180,0.362224,0.60415,0.875,1180,0.487074,0.719171,0.835938,1180,0.474426,0.710979,0.820313,1180,0.551903,0.784075,0.789063
1280,0.680714,0.920132,0.777344,1280,0.628474,0.868869,0.808594,1280,0.692743,0.93894,0.808594,1280,0.691198,0.927418,0.796875,1280,0.720768,0.961769,0.785156,1280,0.605163,0.84124,0.777344
1380,0.572099,0.81636,0.773438,1380,0.523325,0.767873,0.815104,1380,0.550579,0.801525,0.796875,1380,0.497222,0.737896,0.807292,1380,0.492761,0.738402,0.796875,1380,0.547182,0.787776,0.791667
1480,0.48299,0.732131,0.787109,1480,0.478997,0.728118,0.816406,1480,0.356621,0.612569,0.822266,1480,0.430215,0.675528,0.822266,1480,0.504174,0.754611,0.802734,1480,0.493838,0.738653,0.796875
1573,0.296259,0.550116,0.90625,1573,0.34966,0.603417,0.859375,1573,0.246486,0.507277,0.921875,1573,0.391772,0.642148,0.859375,1573,0.371933,0.627523,0.867188,1573,0.316771,0.565777,0.890625
1673,0.540335,0.798975,0.855469,1673,0.502158,0.760865,0.839844,1673,0.428273,0.693567,0.882813,1673,0.49662,0.752172,0.84375,1673,0.448675,0.709499,0.847656,1673,0.546524,0.800108,0.835938
1773,0.443531,0.70702,0.84375,1773,0.491898,0.754644,0.828125,1773,0.385535,0.655115,0.877604,1773,0.568533,0.828797,0.830729,1773,0.409031,0.675417,0.846354,1773,0.388618,0.647027,0.846354
1873,0.300916,0.569525,0.847656,1873,0.401588,0.669425,0.830078,1873,0.276002,0.550654,0.880859,1873,0.322317,0.587296,0.847656,1873,0.402686,0.674361,0.839844,1873,0.289346,0.551756,0.861328
1966,0.281338,0.554505,0.898438,1966,0.27775,0.550315,0.898438,1966,0.21954,0.498227,0.945313,1966,0.224544,0.493899,0.929688,1966,0.230665,0.508303,0.921875,1966,0.28069,0.547623,0.882813
2066,0.467524,0.745574,0.855469,2066,0.410523,0.688134,0.875,2066,0.386162,0.669,0.890625,2066,0.416241,0.689744,0.882813,2066,0.381973,0.663632,0.882813,2066,0.434751,0.706616,0.871094
2166,0.342915,0.625373,0.856771,2166,0.292236,0.573806,0.890625,2166,0.223531,0.509968,0.895833,2166,0.241745,0.520005,0.893229,2166,0.306903,0.593128,0.885417,2166,0.277931,0.554344,0.882813
2266,0.227927,0.514342,0.871094,2266,0.300282,0.586248,0.898438,2266,0.1627,0.4536,0.904297,2266,0.305984,0.588808,0.894531,2266,0.243686,0.533787,0.894531,2266,0.230701,0.510719,0.892578
2359,0.186015,0.477321,0.929688,2359,0.258267,0.548587,0.921875,2359,0.142238,0.436346,0.945313,2359,0.207387,0.494467,0.914063,2359,0.185807,0.479763,0.945313,2359,0.254859,0.539947,0.90625
2459,0.27349,0.567834,0.917969,2459,0.276603,0.570494,0.90625,2459,0.265823,0.562685,0.925781,2459,0.324239,0.61535,0.902344,2459,0.26916,0.567029,0.921875,2459,0.369522,0.658638,0.878906
2559,0.206908,0.503961,0.916667,2559,0.193468,0.49054,0.919271,2559,0.326457,0.626855,0.914063,2559,0.290311,0.585786,0.901042,2559,0.167215,0.46867,0.924479,2559,0.171463,0.463366,0.893229
2659,0.256667,0.55709,0.914063,2659,0.28181,0.582819,0.916016,2659,0.161403,0.465113,0.921875,2659,0.194711,0.493558,0.912109,2659,0.224038,0.52783,0.923828,2659,0.275173,0.570294,0.896484
2752,0.163653,0.46856,0.9375,2752,0.209919,0.514086,0.921875,2752,0.112297,0.417985,0.976563,2752,0.175308,0.476849,0.9375,2752,0.175774,0.482399,0.929688,2752,0.180965,0.479582,0.929688
2852,0.259553,0.56675,0.917969,2852,0.410254,0.716643,0.875,2852,0.182633,0.489537,0.964844,2852,0.28506,0.588616,0.925781,2852,0.188421,0.498089,0.9375,2852,0.314732,0.615627,0.910156
2952,0.221483,0.531425,0.921875,2952,0.193785,0.502898,0.890625,2952,0.136513,0.447418,0.960938,2952,0.229934,0.536316,0.924479,2952,0.198349,0.510179,0.942708,2952,0.189419,0.492051,0.911458
3052,0.165718,0.477914,0.923828,3052,0.208045,0.5202,0.900391,3052,0.209068,0.521852,0.951172,3052,0.230183,0.539129,0.925781,3052,0.182931,0.496616,0.941406,3052,0.193131,0.497964,0.914063
3145,0.132453,0.446726,0.960938,3145,0.140011,0.453654,0.9375,3145,0.0795223,0.393833,0.976563,3145,0.102851,0.414382,0.96875,3145,0.190741,0.506473,0.9375,3145,0.110827,0.419162,0.960938
3245,0.288883,0.605083,0.921875,3245,0.311516,0.627373,0.910156,3245,0.202375,0.518135,0.945313,3245,0.320509,0.634141,0.925781,3245,0.24332,0.562005,0.929688,3245,0.24508,0.554811,0.9375
3345,0.147798,0.465605,0.932292,3345,0.0976864,0.413281,0.927083,3345,0.13579,0.453007,0.947917,3345,0.167738,0.483962,0.934896,3345,0.096855,0.416247,0.942708,3345,0.277268,0.587665,0.929688
3445,0.193328,0.512614,0.935547,3445,0.143401,0.461492,0.933594,3445,0.084161,0.403648,0.957031,3445,0.191383,0.508193,0.933594,3445,0.228625,0.550057,0.939453,3445,0.178965,0.490858,0.929688
3538,0.0665086,0.387129,0.984375,3538,0.126811,0.445679,0.945313,3538,0.0985507,0.419136,0.96875,3538,0.0860314,0.403852,0.96875,3538,0.0669134,0.38896,0.984375,3538,0.092014,0.405754,0.960938
3638,0.191461,0.513029,0.957031,3638,0.247481,0.568887,0.9375,3638,0.136294,0.457228,0.960938,3638,0.251689,0.569986,0.933594,3638,0.213619,0.536817,0.953125,3638,0.163509,0.477551,0.949219
3738,0.169505,0.492895,0.947917,3738,0.181043,0.502842,0.940104,3738,0.121378,0.442695,0.958333,3738,0.121752,0.440646,0.942708,3738,0.143515,0.467775,0.950521,3738,0.235061,0.551125,0.945313
3838,0.133595,0.457483,0.949219,3838,0.0898173,0.413059,0.949219,3838,0.166091,0.487861,0.953125,3838,0.165205,0.485085,0.943359,3838,0.163953,0.48815,0.947266,3838,0.167455,0.486621,0.943359
3931,0.0692312,0.393406,0.984375,3931,0.0815724,0.405316,0.960938,3931,0.118154,0.441187,0.960938,3931,0.0781162,0.399447,0.976563,3931,0.0987517,0.423271,0.960938,3931,0.0816184,0.402783,0.96875
4031,0.058319,0.381541,0.984375,4031,0.0621276,0.384917,0.976563,4031,0.0729424,0.395045,0.972656,4031,0.0348029,0.355215,0.984375,4031,0.0343438,0.35789,0.980469,4031,0.0614539,0.381672,0.976563
4131,0.0202332,0.342359,0.989583,4131,0.0201091,0.341799,0.981771,4131,0.0257007,0.346701,0.979167,4131,0.0382201,0.357554,0.986979,4131,0.0140416,0.336469,0.986979,4131,0.0235361,0.34268,0.981771
4231,0.0153687,0.336366,0.992188,4231,0.0156749,0.336235,0.986328,4231,0.041619,0.361489,0.982422,4231,0.0155775,0.333801,0.988281,4231,0.0246964,0.345976,0.986328,4231,0.0161724,0.334206,0.986328
4324,0.0248362,0.344757,0.992188,4324,0.00735449,0.326837,1.0,4324,0.010631,0.329427,1.0,4324,0.0141081,0.331276,1.0,4324,0.0089372,0.329127,1.0,4324,0.0105562,0.327536,1.0
4424,0.0304108,0.349192,0.992188,4424,0.0257898,0.344132,0.996094,4424,0.0388105,0.356462,0.996094,4424,0.0110798,0.327122,1.0,4424,0.0139914,0.333026,1.0,4424,0.0334224,0.349284,0.996094
4524,0.00859312,0.326228,0.994792,4524,0.00788381,0.325082,0.997396,4524,0.00546532,0.321968,0.997396,4524,0.0167192,0.331632,0.997396,4524,0.00621272,0.324089,1.0,4524,0.00922497,0.323963,0.997396
4624,0.00723171,0.323705,0.996094,4624,0.00894804,0.32499,0.998047,4624,0.00985448,0.325196,0.998047,4624,0.00861505,0.322383,0.998047,4624,0.00969849,0.326405,1.0,4624,0.00718425,0.320782,0.998047
4717,0.0117198,0.3271,0.992188,4717,0.00466856,0.319619,1.0,4717,0.00597361,0.320228,1.0,4717,0.00885524,0.321548,1.0,4717,0.00540862,0.321013,1.0,4717,0.00588492,0.318409,1.0
4817,0.0161258,0.330353,0.996094,4817,0.0129961,0.326794,1.0,4817,0.0160981,0.329194,1.0,4817,0.00777655,0.319328,1.0,4817,0.0101167,0.324555,1.0,4817,0.0255154,0.336904,0.996094
4917,0.00568767,0.318757,0.997396,4917,0.00527343,0.317917,1.0,4917,0.00367296,0.315611,1.0,4917,0.0104825,0.320892,1.0,4917,0.00403235,0.317305,1.0,4917,0.00563786,0.315889,0.997396
5017,0.00512626,0.317028,0.998047,5017,0.00614033,0.317622,1.0,5017,0.00583042,0.316603,1.0,5017,0.00566223,0.314919,1.0,5017,0.00627308,0.318374,1.0,5017,0.00475737,0.31386,0.998047
5110,0.0064789,0.317287,1.0,5110,0.00356153,0.313952,1.0,5110,0.00426703,0.313952,1.0,5110,0.00652984,0.31471,1.0,5110,0.00399744,0.314999,1.0,5110,0.00436457,0.312391,1.0
5210,0.0108511,0.320505,1.0,5210,0.008435,0.317672,1.0,5210,0.0103518,0.318879,1.0,5210,0.00591264,0.312951,1.0,5210,0.00802265,0.317861,1.0,5210,0.0205138,0.327402,0.996094
5310,0.00424945,0.312746,1.0,5310,0.00411514,0.312199,1.0,5310,0.00283215,0.310203,1.0,5310,0.00741945,0.313315,1.0,5310,0.00296913,0.311645,1.0,5310,0.00396168,0.309711,0.997396
5410,0.00396143,0.311295,1.0,5410,0.00479989,0.311726,1.0,5410,0.0041422,0.310352,1.0,5410,0.00413206,0.308879,1.0,5410,0.00471554,0.312225,1.0,5410,0.00358224,0.308185,0.998047
5503,0.0042265,0.310473,1.0,5503,0.00296773,0.308809,1.0,5503,0.00346194,0.308591,1.0,5503,0.00529012,0.308966,1.0,5503,0.00321895,0.309638,1.0,5503,0.00348907,0.307021,1.0
5603,0.00804646,0.313144,1.0,5603,0.00628419,0.310977,1.0,5603,0.00804019,0.312019,1.0,5603,0.00485371,0.307393,1.0,5603,0.00658302,0.311846,1.0,5603,0.0168853,0.319283,0.996094
5703,0.00343792,0.307385,1.0,5703,0.00342584,0.306972,1.0,5703,0.0023429,0.305173,1.0,5703,0.00576299,0.307166,1.0,5703,0.00235431,0.306464,1.0,5703,0.00305764,0.304322,0.997396
5803,0.00320128,0.305994,1.0,5803,0.00401865,0.306416,1.0,5803,0.00325364,0.304933,1.0,5803,0.00325495,0.303517,1.0,5803,0.00386308,0.306817,1.0,5803,0.00289377,0.303019,0.998047
