step, cross_entropy, loss, train_accuracy
1,2.66778,2.87985,0.0703125
101,1.737,1.95014,0.210938
201,1.3649,1.578,0.302083
301,1.28251,1.49675,0.367188
394,1.02701,1.24182,0.59375
494,1.16559,1.38197,0.570313
594,0.973734,1.19201,0.580729
694,0.987632,1.20797,0.591797
787,0.604705,0.827459,0.796875
887,0.867116,1.09273,0.738281
987,0.734695,0.963673,0.734375
1087,0.660174,0.892998,0.746094
1180,0.434245,0.670945,0.84375
1280,0.628474,0.868869,0.808594
1380,0.523325,0.767873,0.815104
1480,0.478997,0.728118,0.816406
1573,0.34966,0.603417,0.859375
1673,0.502158,0.760865,0.839844
1773,0.491898,0.754644,0.828125
1873,0.401588,0.669425,0.830078
1966,0.27775,0.550315,0.898438
2066,0.410523,0.688134,0.875
2166,0.292236,0.573806,0.890625
2266,0.300282,0.586248,0.898438
2359,0.258267,0.548587,0.921875
2459,0.276603,0.570494,0.90625
2559,0.193468,0.49054,0.919271
2659,0.28181,0.582819,0.916016
2752,0.209919,0.514086,0.921875
2852,0.410254,0.716643,0.875
2952,0.193785,0.502898,0.890625
3052,0.208045,0.5202,0.900391
3145,0.140011,0.453654,0.9375
3245,0.311516,0.627373,0.910156
3345,0.0976864,0.413281,0.927083
3445,0.143401,0.461492,0.933594
3538,0.126811,0.445679,0.945313
3638,0.247481,0.568887,0.9375
3738,0.181043,0.502842,0.940104
3838,0.0898173,0.413059,0.949219
3931,0.0815724,0.405316,0.960938
4031,0.0621276,0.384917,0.976563
4131,0.0201091,0.341799,0.981771
4231,0.0156749,0.336235,0.986328
4324,0.00735449,0.326837,1.0
4424,0.0257898,0.344132,0.996094
4524,0.00788381,0.325082,0.997396
4624,0.00894804,0.32499,0.998047
4717,0.00466856,0.319619,1.0
4817,0.0129961,0.326794,1.0
4917,0.00527343,0.317917,1.0
5017,0.00614033,0.317622,1.0
5110,0.00356153,0.313952,1.0
5210,0.008435,0.317672,1.0
5310,0.00411514,0.312199,1.0
5410,0.00479989,0.311726,1.0
5503,0.00296773,0.308809,1.0
5603,0.00628419,0.310977,1.0
5703,0.00342584,0.306972,1.0
5803,0.00401865,0.306416,1.0
