step, cross_entropy, loss, train_accuracy
1,2.66512,2.8772,0.0703125
101,1.78455,1.99701,0.199219
201,1.39882,1.60952,0.283854
301,1.29969,1.51047,0.339844
394,1.08075,1.29233,0.609375
494,1.15658,1.36944,0.59375
594,1.00158,1.21658,0.598958
694,0.992799,1.20972,0.613281
787,0.703811,0.923102,0.742188
887,0.795761,1.01747,0.722656
987,0.788286,1.01315,0.716146
1087,0.726066,0.954233,0.726563
1180,0.551903,0.784075,0.789063
1280,0.605163,0.84124,0.777344
1380,0.547182,0.787776,0.791667
1480,0.493838,0.738653,0.796875
1573,0.316771,0.565777,0.890625
1673,0.546524,0.800108,0.835938
1773,0.388618,0.647027,0.846354
1873,0.289346,0.551756,0.861328
1966,0.28069,0.547623,0.882813
2066,0.434751,0.706616,0.871094
2166,0.277931,0.554344,0.882813
2266,0.230701,0.510719,0.892578
2359,0.254859,0.539947,0.90625
2459,0.369522,0.658638,0.878906
2559,0.171463,0.463366,0.893229
2659,0.275173,0.570294,0.896484
2752,0.180965,0.479582,0.929688
2852,0.314732,0.615627,0.910156
2952,0.189419,0.492051,0.911458
3052,0.193131,0.497964,0.914063
3145,0.110827,0.419162,0.960938
3245,0.24508,0.554811,0.9375
3345,0.277268,0.587665,0.929688
3445,0.178965,0.490858,0.929688
3538,0.092014,0.405754,0.960938
3638,0.163509,0.477551,0.949219
3738,0.235061,0.551125,0.945313
3838,0.167455,0.486621,0.943359
3931,0.0816184,0.402783,0.96875
4031,0.0614539,0.381672,0.976563
4131,0.0235361,0.34268,0.981771
4231,0.0161724,0.334206,0.986328
4324,0.0105562,0.327536,1.0
4424,0.0334224,0.349284,0.996094
4524,0.00922497,0.323963,0.997396
4624,0.00718425,0.320782,0.998047
4717,0.00588492,0.318409,1.0
4817,0.0255154,0.336904,0.996094
4917,0.00563786,0.315889,0.997396
5017,0.00475737,0.31386,0.998047
5110,0.00436457,0.312391,1.0
5210,0.0205138,0.327402,0.996094
5310,0.00396168,0.309711,0.997396
5410,0.00358224,0.308185,0.998047
5503,0.00348907,0.307021,1.0
5603,0.0168853,0.319283,0.996094
5703,0.00305764,0.304322,0.997396
5803,0.00289377,0.303019,0.998047
