step, cross_entropy, loss, train_accuracy
1,2.50893,2.6811,0.0859375
101,1.68797,1.86152,0.214844
201,1.30812,1.48251,0.315104
301,1.24959,1.42594,0.365234
394,1.05222,1.23084,0.617188
494,1.13709,1.31835,0.597656
594,1.03499,1.21904,0.604167
694,0.957076,1.14411,0.626953
787,0.68422,0.874495,0.703125
887,0.806715,1.00071,0.6875
987,0.759195,0.957224,0.692708
1087,0.663829,0.866154,0.707031
1180,0.459615,0.6667,0.789063
1280,0.606195,0.818455,0.789063
1380,0.548871,0.766408,0.799479
1480,0.510478,0.7336,0.800781
1573,0.254575,0.482768,0.921875
1673,0.416425,0.649945,0.871094
1773,0.405144,0.644623,0.885417
1873,0.346168,0.591148,0.886719
1966,0.279119,0.529782,0.898438
2066,0.463564,0.719768,0.867188
2166,0.322613,0.58399,0.880208
2266,0.221095,0.487414,0.894531
2359,0.235894,0.507034,0.921875
2459,0.327779,0.603506,0.898438
2559,0.210865,0.490593,0.911458
2659,0.237717,0.520883,0.914063
2752,0.179767,0.466607,0.921875
2852,0.180081,0.471063,0.933594
2952,0.230068,0.524796,0.929688
3052,0.216245,0.513801,0.929688
3145,0.11036,0.410167,0.960938
3245,0.248702,0.550311,0.945313
3345,0.174292,0.477541,0.942708
3445,0.218042,0.524029,0.935547
3538,0.141488,0.44962,0.953125
3638,0.228444,0.538108,0.9375
3738,0.138115,0.448041,0.945313
3838,0.226556,0.536571,0.935547
3931,0.114947,0.426483,0.976563
4031,0.0647959,0.37545,0.980469
4131,0.0423773,0.351984,0.984375
4231,0.0237655,0.332299,0.986328
4324,0.0133883,0.320894,1.0
4424,0.028229,0.334647,0.996094
4524,0.0151994,0.320523,0.994792
4624,0.00942663,0.313644,0.996094
4717,0.00918488,0.31236,1.0
4817,0.0186495,0.320724,0.996094
4917,0.00855754,0.309527,0.997396
5017,0.00600822,0.305865,0.998047
5110,0.00689834,0.305712,1.0
5210,0.0134815,0.311193,0.996094
5310,0.00598333,0.30259,0.997396
5410,0.00432083,0.299819,0.998047
5503,0.00568206,0.300142,1.0
5603,0.0105256,0.303889,1.0
5703,0.00466192,0.296927,1.0
5803,0.00338252,0.294546,1.0
