step, cross_entropy, loss, train_accuracy
1,2.64216,2.43009,0.0703125
101,1.85371,1.6265,0.171875
201,1.65847,1.4171,0.231771
301,1.55283,1.29515,0.277344
394,1.27722,1.00314,0.484375
494,1.33119,1.03796,0.472656
594,1.19294,0.879766,0.505208
694,1.25435,0.919707,0.515625
787,0.965865,0.610685,0.6875
887,1.0456,0.666461,0.625
987,0.824837,0.420752,0.635417
1087,0.989897,0.558989,0.636719
1180,0.642371,0.185732,0.796875
1280,0.890703,0.404378,0.71875
1380,0.657834,0.140887,0.75
1480,0.709028,0.158599,0.75
1573,0.509923,-0.0729716,0.820313
1673,0.711185,0.0919042,0.765625
1773,0.512612,-0.144316,0.778646
1873,0.497436,-0.1995,0.787109
1966,0.338126,-0.398456,0.867188
2066,0.457602,-0.322167,0.835938
2166,0.294939,-0.529779,0.854167
2266,0.3586,-0.513309,0.865234
2359,0.241592,-0.676754,0.90625
2459,0.394443,-0.574716,0.878906
2559,0.275959,-0.745167,0.880208
2659,0.332904,-0.742378,0.876953
2752,0.21322,-0.915339,0.882813
2852,0.218547,-0.96837,0.910156
2952,0.0993712,-1.14774,0.921875
3052,0.182356,-1.12602,0.923828
3145,0.182141,-1.18533,0.945313
3245,0.210285,-1.22318,0.941406
3345,0.0790024,-1.422,0.953125
3445,0.112804,-1.45834,0.955078
3538,0.0550705,-1.5831,0.984375
3638,0.154385,-1.55751,0.964844
3738,0.0606861,-1.72729,0.96875
3838,0.161376,-1.70594,0.960938
3931,0.0183639,-1.9243,1.0
4031,0.0533242,-1.89725,0.984375
4131,0.0382452,-1.92021,0.984375
4231,0.0107284,-1.95564,0.986328
4324,0.00523527,-1.9685,1.0
4424,0.0249391,-1.95677,0.996094
4524,0.0155672,-1.97414,0.994792
4624,0.00763071,-1.99009,0.996094
4717,0.00252464,-2.00268,1.0
4817,0.0166242,-1.99667,1.0
4917,0.00635433,-2.01505,1.0
5017,0.00618322,-2.02337,1.0
5110,0.00196444,-2.03518,1.0
5210,0.0118899,-2.03346,1.0
5310,0.00423604,-2.04935,1.0
5410,0.00514432,-2.0567,1.0
5503,0.00165734,-2.0679,1.0
5603,0.00912527,-2.06876,1.0
5703,0.00318843,-2.08306,1.0
5803,0.0043246,-2.09031,1.0
