step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,2.64588,2.64588,0.0703125,1,2.64064,2.64064,0.0703125,1,2.64216,2.64216,0.0703125,1,2.67597,2.67597,0.0703125,1,2.63592,2.63592,0.0703125,1,2.6468,2.6468,0.0703125,1,2.65588,2.65588,0.0703125,1,2.63517,2.63517,0.0703125
101,1.73302,1.73302,0.203125,101,1.67591,1.67591,0.222656,101,1.84173,1.84173,0.1875,101,1.69013,1.69013,0.1875,101,1.75925,1.75925,0.21875,101,1.83671,1.83671,0.183594,101,1.74645,1.74645,0.195313,101,1.78137,1.78137,0.183594
201,1.42707,1.42707,0.291667,201,1.4407,1.4407,0.296875,201,1.58212,1.58212,0.252604,201,1.44045,1.44045,0.270833,201,1.4128,1.4128,0.294271,201,1.53928,1.53928,0.255208,201,1.27528,1.27529,0.320313,201,1.50666,1.50666,0.25
301,1.24298,1.24298,0.359375,301,1.27606,1.27606,0.357422,301,1.44595,1.44595,0.310547,301,1.3322,1.3322,0.339844,301,1.3551,1.3551,0.347656,301,1.43133,1.43133,0.318359,301,1.27193,1.27193,0.380859,301,1.38264,1.38264,0.314453
394,1.00811,1.00811,0.648438,394,1.07024,1.07024,0.625,394,1.25665,1.25665,0.5625,394,1.16216,1.16216,0.585938,394,1.06307,1.06307,0.59375,394,1.29103,1.29103,0.507813,394,1.0767,1.0767,0.585938,394,1.2616,1.2616,0.554688
494,1.16009,1.16009,0.640625,494,1.17102,1.17102,0.589844,494,1.29922,1.29922,0.550781,494,1.21701,1.21701,0.554688,494,1.12956,1.12956,0.5625,494,1.24492,1.24492,0.511719,494,1.09352,1.09352,0.585938,494,1.19422,1.19422,0.542969
594,1.03165,1.03165,0.640625,594,0.960459,0.960459,0.604167,594,1.3382,1.3382,0.528646,594,1.04205,1.04205,0.5625,594,0.956238,0.956238,0.578125,594,1.10794,1.10794,0.526042,594,0.902549,0.902549,0.609375,594,1.18283,1.18283,0.559896
694,1.0305,1.0305,0.636719,694,1.06597,1.06597,0.607422,694,1.14355,1.14355,0.542969,694,1.13976,1.13976,0.578125,694,1.01808,1.01808,0.591797,694,1.16747,1.16747,0.539063,694,1.03334,1.03334,0.623047,694,1.13163,1.13163,0.568359
787,0.600482,0.600483,0.804688,787,0.608793,0.608793,0.789063,787,0.891395,0.891396,0.671875,787,0.806103,0.806103,0.71875,787,0.679727,0.679727,0.734375,787,0.870302,0.870303,0.6875,787,0.700534,0.700534,0.765625,787,0.931925,0.931926,0.664063
887,0.832312,0.832312,0.753906,887,0.82322,0.82322,0.753906,887,1.09433,1.09433,0.621094,887,0.886949,0.886949,0.6875,887,0.884231,0.884231,0.691406,887,1.02655,1.02655,0.652344,887,0.839622,0.839622,0.722656,887,1.06435,1.06435,0.625
