step, cross_entropy, loss, train_accuracy
1,2.63517,2.63517,0.0703125
101,1.78137,1.78137,0.183594
201,1.50666,1.50666,0.25
301,1.38264,1.38264,0.314453
394,1.2616,1.2616,0.554688
494,1.19422,1.19422,0.542969
594,1.18283,1.18283,0.559896
694,1.13163,1.13163,0.568359
787,0.931925,0.931926,0.664063
887,1.06435,1.06435,0.625
987,0.957721,0.957721,0.617188
1087,0.910314,0.910314,0.626953
1180,0.755719,0.755719,0.734375
1280,0.806922,0.806922,0.726563
1380,0.74003,0.740031,0.726563
1480,0.794759,0.794759,0.720703
1573,0.577712,0.577712,0.789063
1673,0.574034,0.574034,0.78125
1773,0.555648,0.555648,0.776042
1873,0.560302,0.560302,0.787109
1966,0.514636,0.514636,0.8125
2066,0.438349,0.438349,0.824219
2166,0.393851,0.393851,0.838542
2266,0.417152,0.417152,0.841797
2359,0.426581,0.426581,0.84375
2459,0.384275,0.384275,0.851563
2559,0.28679,0.28679,0.861979
2659,0.342056,0.342056,0.869141
2752,0.29861,0.29861,0.875
2852,0.279836,0.279836,0.871094
2952,0.305563,0.305563,0.880208
3052,0.262694,0.262695,0.890625
3145,0.235465,0.235465,0.921875
3245,0.175838,0.175838,0.929688
3345,0.203321,0.203322,0.929688
3445,0.146888,0.146888,0.941406
3538,0.11217,0.11217,0.953125
3638,0.254441,0.254441,0.9375
3738,0.263708,0.263708,0.927083
3838,0.266981,0.266981,0.919922
3931,0.0890188,0.0890189,0.960938
4031,0.0817327,0.0817328,0.96875
4131,0.0474369,0.0474369,0.971354
4231,0.0311726,0.0311727,0.974609
4324,0.0369042,0.0369043,0.992188
4424,0.0207985,0.0207986,0.988281
4524,0.0155345,0.0155346,0.992188
4624,0.0178226,0.0178226,0.992188
4717,0.0156059,0.0156059,1.0
4817,0.00936355,0.00936361,1.0
4917,0.00936482,0.00936488,1.0
5017,0.0123298,0.0123298,1.0
5110,0.0100759,0.010076,1.0
5210,0.00634185,0.00634191,1.0
5310,0.00675107,0.00675112,1.0
5410,0.009008,0.00900806,1.0
5503,0.00808508,0.00808514,1.0
5603,0.0048688,0.00486886,1.0
5703,0.00528889,0.00528895,1.0
5803,0.00689448,0.00689454,1.0
