step, cross_entropy, loss, train_accuracy
1,2.64588,2.85796,0.0703125
101,2.42564,2.63771,0.105469
201,2.56885,2.78092,0.0963542
301,2.51893,2.73101,0.101563
394,2.61967,2.83174,0.0703125
494,2.40934,2.62141,0.105469
594,2.54661,2.75867,0.0963542
694,2.49749,2.70956,0.101563
787,2.59423,2.8063,0.0703125
887,2.39434,2.6064,0.105469
987,2.5264,2.73846,0.0963542
1087,2.47649,2.68855,0.101563
1180,2.56992,2.78197,0.0703125
1280,2.38109,2.59314,0.105469
1380,2.50685,2.71891,0.0963542
1480,2.45629,2.66835,0.101563
1573,2.54764,2.75969,0.0703125
1673,2.37009,2.58214,0.105469
1773,2.48728,2.69933,0.0963542
1873,2.43501,2.64706,0.101563
1966,2.52557,2.73762,0.0703125
2066,2.3597,2.57174,0.105469
2166,2.46784,2.67989,0.0963542
2266,2.41356,2.6256,0.101563
2359,2.50203,2.71407,0.0703125
2459,2.35037,2.56241,0.105469
2559,2.44906,2.6611,0.0963542
2659,2.3939,2.60594,0.101563
2752,2.47997,2.69201,0.0703125
2852,2.34168,2.55372,0.105469
2952,2.43106,2.6431,0.0963542
3052,2.37746,2.58949,0.101563
3145,2.46215,2.67419,0.0703125
3245,2.33275,2.54479,0.105469
3345,2.41468,2.62671,0.0963542
3445,2.36256,2.57459,0.101563
3538,2.44559,2.65762,0.0703125
3638,2.32478,2.53681,0.105469
3738,2.40078,2.61281,0.0963542
3838,2.34873,2.56075,0.103516
3931,2.42933,2.64135,0.0625
4031,2.3189,2.53092,0.101563
4131,2.39405,2.60607,0.09375
4231,2.34425,2.55628,0.101563
4324,2.42776,2.63979,0.0625
4424,2.31818,2.5302,0.101563
4524,2.39288,2.60491,0.09375
4624,2.34287,2.5549,0.101563
4717,2.42622,2.63824,0.0625
4817,2.31746,2.52948,0.101563
4917,2.39171,2.60374,0.09375
5017,2.34149,2.55351,0.101563
5110,2.4247,2.63672,0.0625
5210,2.31673,2.52876,0.101563
5310,2.39056,2.60258,0.09375
5410,2.34014,2.55216,0.101563
5503,2.42319,2.63521,0.0625
5603,2.31602,2.52805,0.105469
5703,2.38945,2.60147,0.0963542
5803,2.33882,2.55085,0.103516
