step, cross_entropy, loss, train_accuracy
1,2.67597,2.88805,0.0703125
101,1.66398,1.87628,0.214844
201,1.47579,1.68694,0.302083
301,1.36677,1.57707,0.359375
394,1.20892,1.41912,0.554688
494,1.07831,1.28939,0.570313
594,1.15629,1.36821,0.570313
694,1.02671,1.24054,0.574219
787,0.998884,1.21471,0.648438
887,0.923222,1.14113,0.65625
987,0.893359,1.11363,0.658854
1087,0.828992,1.05255,0.664063
1180,0.77361,1.00058,0.710938
1280,0.707265,0.937536,0.722656
1380,0.745142,0.979156,0.710938
1480,0.635839,0.874663,0.726563
1573,0.692591,0.935943,0.742188
1673,0.675394,0.923938,0.738281
1773,0.538382,0.792465,0.752604
1873,0.632399,0.892594,0.761719
1966,0.48656,0.752543,0.8125
2066,0.553101,0.824928,0.8125
2166,0.561549,0.839906,0.8125
2266,0.428102,0.712447,0.818359
2359,0.419908,0.709812,0.851563
2459,0.392284,0.68823,0.84375
2559,0.478667,0.78095,0.84375
2659,0.292381,0.600799,0.863281
2752,0.405815,0.719865,0.867188
2852,0.377356,0.696798,0.851563
2952,0.235315,0.559932,0.867188
3052,0.333153,0.663118,0.871094
3145,0.305452,0.640021,0.914063
3245,0.240341,0.579965,0.910156
3345,0.301528,0.645384,0.90625
3445,0.354963,0.703551,0.894531
3538,0.245247,0.597482,0.882813
3638,0.256767,0.613067,0.902344
3738,0.231779,0.591516,0.898438
3838,0.311096,0.674015,0.900391
3931,1.48266,1.84995,0.664063
4031,1.58987,2.18974,0.53125
4131,1.61836,2.07064,0.476563
4231,1.46924,1.85007,0.472656
4324,1.18046,1.51838,0.617188
4424,1.22025,1.53523,0.589844
4524,1.32459,1.63182,0.552083
4624,1.27294,1.58147,0.546875
4717,1.09227,1.40626,0.625
4817,1.15506,1.47556,0.601563
4917,1.23535,1.55773,0.578125
5017,1.15212,1.48779,0.583984
5110,1.18356,1.52891,0.546875
5210,1.05506,1.40607,0.582031
5310,1.2324,1.59202,0.575521
5410,1.1124,1.48685,0.583984
5503,1.0498,1.44037,0.617188
5603,1.03341,1.42339,0.621094
5703,1.14355,1.54192,0.596354
5803,0.980156,1.38951,0.623047
