step, cross_entropy, loss, train_accuracy
1,2.64216,2.85424,0.0703125
101,2.42976,2.64184,0.105469
201,2.576,2.78807,0.0963542
301,2.55728,2.76936,0.101563
394,2.64216,2.85424,0.0703125
494,2.42976,2.64184,0.105469
594,2.576,2.78807,0.0963542
694,2.55728,2.76936,0.101563
787,2.64216,2.85424,0.0703125
887,2.42976,2.64184,0.105469
987,2.576,2.78807,0.0963542
1087,2.55728,2.76936,0.101563
1180,2.64216,2.85424,0.0703125
1280,2.42976,2.64184,0.105469
1380,2.576,2.78807,0.0963542
1480,2.55728,2.76936,0.101563
1573,2.64216,2.85424,0.0703125
1673,2.42976,2.64184,0.105469
1773,2.576,2.78807,0.0963542
1873,2.55728,2.76936,0.101563
1966,2.64216,2.85424,0.0703125
2066,2.42976,2.64184,0.105469
2166,2.576,2.78807,0.0963542
2266,2.55728,2.76936,0.101563
2359,2.64216,2.85424,0.0703125
2459,2.42976,2.64184,0.105469
2559,2.576,2.78807,0.0963542
2659,2.55728,2.76936,0.101563
2752,2.64216,2.85424,0.0703125
2852,2.42976,2.64184,0.105469
2952,2.576,2.78807,0.0963542
3052,2.55728,2.76936,0.101563
3145,2.64216,2.85424,0.0703125
3245,2.42976,2.64184,0.105469
3345,2.576,2.78807,0.0963542
3445,2.55728,2.76936,0.101563
3538,2.64216,2.85424,0.0703125
3638,2.42976,2.64184,0.105469
3738,2.576,2.78807,0.0963542
3838,2.55728,2.76936,0.101563
3931,5.44514,5.66644,0.140625
4031,2.36681,4.31747,0.113281
4131,2.31848,3.61735,0.106771
4231,2.31982,3.18364,0.103516
4324,2.32286,2.914,0.140625
4424,2.3664,2.75956,0.113281
4524,2.31906,2.58052,0.106771
4624,2.31982,2.49371,0.103516
4717,2.32286,2.44188,0.140625
4817,2.3664,2.44558,0.113281
4917,2.31906,2.3717,0.106771
5017,2.31982,2.35484,0.103516
5110,2.32287,2.34687,0.140625
5210,2.3664,2.38239,0.113281
5310,2.31906,2.32968,0.106771
5410,2.31982,2.32689,0.103516
5503,2.32286,2.32772,0.140625
5603,2.3664,2.36966,0.113281
5703,2.31906,2.32121,0.106771
5803,2.31982,2.32126,0.103516
