step, cross_entropy, loss, train_accuracy
1,2.6468,2.85887,0.0703125
101,1.81239,2.02383,0.175781
201,1.48756,1.69727,0.257813
301,1.51661,1.72523,0.322266
394,1.30201,1.50994,0.515625
494,1.27951,1.4878,0.519531
594,1.29929,1.50852,0.492188
694,1.09137,1.30151,0.525391
787,0.881368,1.09245,0.710938
887,1.17173,1.38451,0.625
987,1.09122,1.3055,0.617188
1087,0.858187,1.07429,0.640625
1180,0.764209,0.982999,0.726563
1280,0.923273,1.14579,0.699219
1380,0.817509,1.04365,0.695313
1480,0.816898,1.04724,0.695313
1573,0.588647,0.823589,0.8125
1673,0.777792,1.01778,0.765625
1773,0.719113,0.964268,0.747396
1873,0.540191,0.790778,0.761719
1966,0.476891,0.733648,0.828125
2066,0.609946,0.873457,0.804688
2166,0.579664,0.849428,0.796875
2266,0.385636,0.661634,0.810547
2359,0.326246,0.608523,0.898438
2459,0.61832,0.906323,0.839844
2559,0.426964,0.721405,0.854167
2659,0.404804,0.705824,0.853516
2752,0.369742,0.676887,0.835938
2852,0.467782,0.781054,0.839844
2952,0.385664,0.703953,0.84375
3052,0.275535,0.599764,0.867188
3145,0.277151,0.60722,0.875
3245,0.327005,0.662239,0.886719
3345,0.358164,0.696468,0.877604
3445,0.257592,0.602301,0.886719
3538,0.169787,0.518901,0.9375
3638,0.391389,0.744627,0.898438
3738,0.225715,0.582351,0.90625
3838,0.212611,0.57256,0.912109
3931,0.700794,1.06469,0.726563
4031,1.51696,2.06471,0.582031
4131,1.78156,2.23477,0.502604
4231,1.22353,1.62624,0.515625
4324,1.04191,1.4132,0.5625
4424,1.28688,1.63863,0.539063
4524,1.26727,1.61267,0.549479
4624,1.14196,1.4884,0.556641
4717,1.0978,1.44737,0.578125
4817,0.997849,1.35567,0.597656
4917,1.21468,1.58015,0.588542
5017,1.00822,1.38688,0.603516
5110,0.950434,1.34067,0.625
5210,0.944551,1.34683,0.648438
5310,1.15795,1.56653,0.614583
5410,0.822852,1.24494,0.632813
5503,0.878853,1.31385,0.640625
5603,0.867062,1.31385,0.65625
5703,0.911988,1.36717,0.65625
5803,0.854968,1.32212,0.666016
