step, cross_entropy, loss, train_accuracy
1,2.51363,2.72563,0.0625
101,1.4687,1.6822,0.273438
201,1.26617,1.48117,0.346354
301,1.05577,1.27853,0.416016
394,0.871286,1.10551,0.726563
494,0.556327,0.807365,0.777344
594,0.42996,0.699909,0.794271
694,0.453365,0.743467,0.794922
787,0.196105,0.501319,0.90625
887,0.245101,0.566276,0.910156
987,0.185198,0.51858,0.916667
1087,0.0556618,0.397433,0.935547
1180,0.0688026,0.414272,0.984375
1280,0.106591,0.454994,0.96875
1380,0.0114243,0.355453,0.979167
1480,0.000736732,0.333057,0.984375
1573,0.000626504,0.321012,1.0
1673,0.000767394,0.308756,1.0
1773,0.00061562,0.29668,1.0
1873,0.000504413,0.285119,1.0
1966,0.000558334,0.274934,1.0
2066,0.000785732,0.264574,1.0
2166,0.00069378,0.254309,1.0
2266,0.000557336,0.24441,1.0
2359,0.000611312,0.235738,1.0
2459,0.000878763,0.226984,1.0
2559,0.000770551,0.218206,1.0
2659,0.000611288,0.209727,1.0
2752,0.000661386,0.202341,1.0
2852,0.000958367,0.19495,1.0
2952,0.000814275,0.187415,1.0
3052,0.000647698,0.180156,1.0
3145,0.000706693,0.173876,1.0
3245,0.00101938,0.167634,1.0
3345,0.000829387,0.161139,1.0
3445,0.000660409,0.154921,1.0
3538,0.000733908,0.149588,1.0
3638,0.00106799,0.144331,1.0
3738,0.00082635,0.138709,1.0
3838,0.000658759,0.13338,1.0
3931,0.000743541,0.128896,1.0
4031,0.00103986,0.128707,1.0
4131,0.000814637,0.127998,1.0
4231,0.000636054,0.127337,1.0
4324,0.000749344,0.127004,1.0
4424,0.00105017,0.126827,1.0
4524,0.000813425,0.126113,1.0
4624,0.000638084,0.125463,1.0
4717,0.000753079,0.125139,1.0
4817,0.00105658,0.124972,1.0
4917,0.000812575,0.124259,1.0
5017,0.000639222,0.123619,1.0
5110,0.000755527,0.123303,1.0
5210,0.0010616,0.123146,1.0
5310,0.000811884,0.122434,1.0
5410,0.000639892,0.121802,1.0
5503,0.000757147,0.121494,1.0
5603,0.00106613,0.121348,1.0
5703,0.000811097,0.120638,1.0
5803,0.000640245,0.120015,1.0
