step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,2.66497,2.87705,0.0703125,1,2.63191,2.84399,0.0703125,1,2.67897,2.89104,0.0703125,1,2.67427,2.88635,0.0703125,1,2.63441,2.84648,0.0703125,1,2.65309,2.86516,0.0703125,1,2.66812,2.88019,0.0703125,1,2.64843,2.8605,0.0703125
101,1.7985,2.01092,0.175781,101,1.64717,1.86021,0.226563,101,1.62778,1.84017,0.214844,101,1.78315,1.99448,0.1875,101,1.63726,1.85093,0.25,101,1.74166,1.95284,0.207031,101,1.66444,1.87662,0.234375,101,1.83947,2.05043,0.171875
201,1.31905,1.53146,0.278646,201,1.39395,1.6072,0.307292,201,1.55277,1.76291,0.270833,201,1.58715,1.79525,0.244792,201,1.43246,1.6451,0.325521,201,1.5455,1.75475,0.270833,201,1.35921,1.57036,0.320313,201,1.5018,1.71122,0.247396
301,1.28756,1.50055,0.34375,301,1.24823,1.46244,0.371094,301,1.46546,1.67395,0.322266,301,1.50284,1.70951,0.285156,301,1.2316,1.44429,0.394531,301,1.47597,1.68396,0.328125,301,1.27281,1.48394,0.388672,301,1.39601,1.60436,0.298828
394,1.06091,1.27466,0.632813,394,0.98741,1.20295,0.617188,394,1.26679,1.4743,0.554688,394,1.34176,1.54755,0.492188,394,1.02145,1.23504,0.65625,394,1.26364,1.47098,0.539063,394,1.11942,1.33113,0.546875,394,1.28702,1.49503,0.546875
494,1.11487,1.33005,0.585938,494,1.08887,1.30659,0.609375,494,1.24474,1.45252,0.527344,494,1.29741,1.50383,0.503906,494,1.26068,1.47525,0.605469,494,1.33308,1.54084,0.507813,494,1.10909,1.32238,0.546875,494,1.29288,1.50175,0.519531
594,1.0092,1.22642,0.598958,594,1.00897,1.22921,0.606771,594,1.20799,1.41652,0.520833,594,1.22405,1.43112,0.518229,594,1.02666,1.24252,0.596354,594,1.21249,1.42052,0.520833,594,1.03609,1.251,0.567708,594,1.26931,1.47964,0.518229
694,0.952079,1.17099,0.613281,694,1.04068,1.26299,0.605469,694,1.10759,1.31728,0.527344,694,1.13949,1.3479,0.535156,694,0.871863,1.08976,0.613281,694,1.19514,1.4045,0.533203,694,0.991252,1.20852,0.587891,694,1.12222,1.33431,0.539063
787,0.619037,0.839469,0.75,787,0.649059,0.874146,0.734375,787,0.929069,1.13977,0.664063,787,0.946592,1.15583,0.632813,787,0.64368,0.864109,0.726563,787,1.00053,1.2111,0.609375,787,0.691779,0.911414,0.734375,787,0.91424,1.12789,0.648438
887,0.882981,1.10584,0.699219,887,0.835942,1.06405,0.707031,887,0.959788,1.17227,0.648438,887,1.07184,1.28287,0.621094,887,0.833505,1.05651,0.6875,887,1.03799,1.25057,0.601563,887,0.832053,1.05461,0.695313,887,1.03569,1.2517,0.601563
987,0.681509,0.906978,0.708333,987,0.709001,0.940012,0.71875,987,0.946875,1.16125,0.658854,987,0.943427,1.1567,0.630208,987,0.889818,1.11576,0.671875,987,0.980755,1.19519,0.611979,987,0.782164,1.00738,0.710938,987,0.95354,1.17205,0.614583
