step, cross_entropy, loss, train_accuracy
1,2.67897,2.89104,0.0703125
101,1.62778,1.84017,0.214844
201,1.55277,1.76291,0.270833
301,1.46546,1.67395,0.322266
394,1.26679,1.4743,0.554688
494,1.24474,1.45252,0.527344
594,1.20799,1.41652,0.520833
694,1.10759,1.31728,0.527344
787,0.929069,1.13977,0.664063
887,0.959788,1.17227,0.648438
987,0.946875,1.16125,0.658854
1087,0.838749,1.0557,0.671875
1180,0.778457,0.998275,0.757813
1280,0.801092,1.02447,0.714844
1380,0.768741,0.995699,0.703125
1480,0.65018,0.881339,0.724609
1573,0.655396,0.890761,0.765625
1673,0.694051,0.934271,0.738281
1773,0.631778,0.876982,0.75
1873,0.595966,0.846578,0.753906
1966,0.556748,0.812497,0.8125
2066,0.574379,0.836023,0.78125
2166,0.484166,0.751852,0.791667
2266,0.428628,0.70196,0.798828
2359,0.543181,0.822445,0.8125
2459,0.525254,0.810496,0.796875
2559,0.428002,0.719825,0.817708
2659,0.428134,0.726271,0.830078
2752,0.43315,0.736633,0.828125
2852,0.508279,0.817487,0.824219
2952,0.305051,0.620522,0.838542
3052,0.318791,0.640004,0.855469
3145,0.41233,0.739344,0.851563
3245,0.405686,0.738545,0.84375
3345,0.259772,0.597167,0.856771
3445,0.219047,0.560915,0.871094
3538,0.29926,0.646745,0.882813
3638,0.248242,0.599848,0.898438
3738,0.192393,0.54679,0.90625
3838,0.248189,0.604855,0.90625
3931,0.291983,0.65272,0.890625
4031,0.0818681,0.44167,0.925781
4131,0.0397621,0.39844,0.950521
4231,0.0315312,0.389049,0.962891
4324,0.0490101,0.4054,0.984375
4424,0.0277649,0.382962,0.992188
4524,0.0227776,0.376771,0.994792
4624,0.0185779,0.371347,0.996094
4717,0.0267571,0.378355,0.992188
4817,0.0145539,0.364924,0.996094
4917,0.0148365,0.36397,0.997396
5017,0.0125189,0.3604,0.998047
5110,0.0156527,0.362348,1.0
5210,0.00966545,0.355117,1.0
5310,0.0108083,0.355008,1.0
5410,0.00896261,0.351899,1.0
5503,0.0103606,0.35211,1.0
5603,0.00722141,0.347722,1.0
5703,0.00829296,0.347539,1.0
5803,0.00688663,0.34487,1.0
