step, cross_entropy, loss, train_accuracy
1,2.64843,2.8605,0.0703125
101,1.83947,2.05043,0.171875
201,1.5018,1.71122,0.247396
301,1.39601,1.60436,0.298828
394,1.28702,1.49503,0.546875
494,1.29288,1.50175,0.519531
594,1.26931,1.47964,0.518229
694,1.12222,1.33431,0.539063
787,0.91424,1.12789,0.648438
887,1.03569,1.2517,0.601563
987,0.95354,1.17205,0.614583
1087,0.982791,1.20408,0.630859
1180,0.815512,1.03986,0.742188
1280,0.898287,1.12654,0.6875
1380,0.777594,1.01004,0.695313
1480,0.72586,0.962451,0.714844
1573,0.594002,0.83511,0.78125
1673,0.699687,0.945843,0.757813
1773,0.581966,0.833593,0.755208
1873,0.694096,0.951047,0.759766
1966,0.50692,0.769612,0.820313
2066,0.507728,0.776228,0.816406
2166,0.446793,0.721732,0.825521
2266,0.485557,0.765923,0.832031
2359,0.417568,0.704316,0.820313
2459,0.421547,0.714268,0.828125
2559,0.409646,0.708582,0.841146
2659,0.419297,0.724791,0.849609
2752,0.318921,0.630389,0.898438
2852,0.41973,0.736316,0.863281
2952,0.339728,0.662988,0.864583
3052,0.494991,0.823875,0.867188
3145,0.304986,0.639214,0.890625
3245,0.352129,0.691571,0.875
3345,0.290208,0.633943,0.877604
3445,0.221481,0.56974,0.890625
3538,0.2763,0.62892,0.875
3638,0.214978,0.571119,0.894531
3738,0.193975,0.554327,0.901042
3838,0.376863,0.74045,0.900391
3931,0.272416,0.640655,0.898438
4031,0.0598122,0.427099,0.945313
4131,0.0838791,0.450017,0.955729
4231,0.0738301,0.438788,0.958984
4324,0.0672407,0.431046,0.976563
4424,0.0320978,0.394679,0.984375
4524,0.0337911,0.39514,0.986979
4624,0.0380288,0.398129,0.986328
4717,0.0325434,0.391449,0.992188
4817,0.0202253,0.37787,0.996094
4917,0.0184576,0.374835,0.997396
5017,0.0227863,0.377885,0.998047
5110,0.0156492,0.369538,1.0
5210,0.0138126,0.366425,1.0
5310,0.0128232,0.364153,1.0
5410,0.0146023,0.364644,1.0
5503,0.010952,0.359782,1.0
5603,0.0101826,0.357731,1.0
5703,0.00959314,0.355857,1.0
5803,0.0103676,0.355344,1.0
