step, cross_entropy, loss, train_accuracy
1,2.65105,2.86312,0.0703125
101,1.68975,1.90244,0.195313
201,1.51764,1.72859,0.247396
301,1.48285,1.69297,0.306641
394,1.073,1.28327,0.625
494,1.2558,1.46722,0.5625
594,1.12656,1.33928,0.552083
694,1.15978,1.37425,0.560547
787,0.7607,0.977204,0.765625
887,1.06058,1.27974,0.6875
987,0.807076,1.02922,0.697917
1087,0.817426,1.04325,0.705078
1180,0.641342,0.870757,0.78125
1280,0.822905,1.05705,0.71875
1380,0.721983,0.960924,0.71875
1480,0.66102,0.904488,0.738281
1573,0.514891,0.764097,0.820313
1673,0.584142,0.839049,0.792969
1773,0.475408,0.736706,0.804688
1873,0.440798,0.708315,0.820313
1966,0.48703,0.761085,0.820313
2066,0.377171,0.657209,0.839844
2166,0.441882,0.728238,0.841146
2266,0.489723,0.782697,0.833984
2359,0.275361,0.574648,0.90625
2459,0.303755,0.60923,0.894531
2559,0.304126,0.615297,0.888021
2659,0.350709,0.668189,0.876953
2752,0.283381,0.605382,0.898438
2852,0.330094,0.657663,0.898438
2952,0.293342,0.625805,0.893229
3052,0.241119,0.577528,0.898438
3145,0.174556,0.515247,0.914063
3245,0.309883,0.655149,0.898438
3345,0.177122,0.526545,0.914063
3445,0.220976,0.572983,0.919922
3538,0.195928,0.550537,0.921875
3638,0.21449,0.573059,0.9375
3738,0.217014,0.57703,0.932292
3838,0.101024,0.463991,0.9375
3931,0.100889,0.464971,0.960938
4031,0.0634997,0.42656,0.972656
4131,0.0454301,0.407284,0.979167
4231,0.0144824,0.375083,0.984375
4324,0.0156261,0.375027,1.0
4424,0.0141808,0.372307,1.0
4524,0.0154349,0.372282,1.0
4624,0.0063567,0.36191,1.0
4717,0.00783859,0.362168,1.0
4817,0.00860089,0.361635,1.0
4917,0.00826085,0.359997,1.0
5017,0.0042723,0.354704,1.0
5110,0.00538772,0.354592,1.0
5210,0.00625801,0.354165,1.0
5310,0.00585093,0.352458,1.0
5410,0.00325259,0.348556,1.0
5503,0.00418019,0.348264,1.0
5603,0.00502168,0.347812,1.0
5703,0.00458085,0.346078,1.0
5803,0.00265371,0.342857,1.0
