step, cross_entropy, loss, train_accuracy
1,2.66586,2.87793,0.0703125
101,1.7482,1.96028,0.226563
201,1.39442,1.60556,0.315104
301,1.35698,1.56835,0.359375
394,1.12474,1.33726,0.601563
494,1.1425,1.357,0.605469
594,0.972528,1.18972,0.611979
694,1.00973,1.22986,0.625
787,0.77212,0.995658,0.742188
887,0.808943,1.03567,0.695313
987,0.689117,0.919497,0.713542
1087,0.61757,0.852008,0.726563
1180,0.43926,0.677539,0.835938
1280,0.633728,0.875996,0.789063
1380,0.54729,0.793846,0.802083
1480,0.473458,0.724585,0.808594
1573,0.312776,0.568178,0.875
1673,0.456915,0.716987,0.847656
1773,0.406558,0.671593,0.859375
1873,0.341247,0.61042,0.863281
1966,0.250967,0.524516,0.90625
2066,0.520747,0.799124,0.851563
2166,0.280296,0.563325,0.867188
2266,0.218462,0.504482,0.882813
2359,0.189869,0.479329,0.921875
2459,0.357788,0.651692,0.890625
2559,0.198623,0.495569,0.901042
2659,0.227216,0.526814,0.90625
2752,0.113886,0.416509,0.960938
2852,0.253355,0.55938,0.933594
2952,0.213592,0.522378,0.929688
3052,0.153386,0.462757,0.9375
3145,0.090684,0.40202,0.96875
3245,0.295339,0.609046,0.9375
3345,0.201732,0.516631,0.940104
3445,0.214734,0.530606,0.9375
3538,0.140795,0.457999,0.945313
3638,0.249389,0.568478,0.917969
3738,0.122155,0.440227,0.927083
3838,0.168476,0.486372,0.927734
3931,0.215959,0.535319,0.929688
4031,0.0297749,0.348188,0.960938
4131,0.0332822,0.350608,0.96875
4231,0.00716214,0.32337,0.976563
4324,0.0160943,0.331238,1.0
4424,0.0123045,0.326319,1.0
4524,0.0124919,0.325371,1.0
4624,0.00387652,0.31561,1.0
4717,0.00819331,0.318847,1.0
4817,0.00886199,0.318375,1.0
4917,0.00779756,0.316166,1.0
5017,0.0028268,0.310046,1.0
5110,0.00577451,0.311916,1.0
5210,0.00702284,0.312023,1.0
5310,0.00558765,0.309447,1.0
5410,0.00227985,0.304995,1.0
5503,0.00453503,0.306179,1.0
5603,0.00582536,0.306336,1.0
5703,0.00428734,0.303664,1.0
5803,0.00192761,0.300169,1.0
