step, cross_entropy, loss, train_accuracy
1,2.6708,2.88288,0.0703125
101,1.80896,2.02195,0.191406
201,1.35394,1.566,0.276042
301,1.23824,1.45051,0.357422
394,1.04921,1.26264,0.625
494,1.05988,1.27518,0.613281
594,1.00619,1.2237,0.606771
694,0.894414,1.11469,0.623047
787,0.692284,0.914952,0.742188
887,0.855773,1.08149,0.691406
987,0.737056,0.966128,0.705729
1087,0.555183,0.787975,0.724609
1180,0.489424,0.726213,0.828125
1280,0.548311,0.78909,0.792969
1380,0.527727,0.772901,0.799479
1480,0.504785,0.754871,0.808594
1573,0.341831,0.596486,0.867188
1673,0.485684,0.744814,0.84375
1773,0.366542,0.630613,0.846354
1873,0.364991,0.633857,0.845703
1966,0.246153,0.519738,0.890625
2066,0.416663,0.695719,0.863281
2166,0.276403,0.560086,0.872396
2266,0.278523,0.566115,0.882813
2359,0.181849,0.473691,0.929688
2459,0.299291,0.595281,0.917969
2559,0.288676,0.587708,0.911458
2659,0.218249,0.520636,0.910156
2752,0.243276,0.548942,0.914063
2852,0.169836,0.478847,0.929688
2952,0.172936,0.483772,0.929688
3052,0.235913,0.548899,0.929688
3145,0.164285,0.480364,0.960938
3245,0.180703,0.499372,0.945313
3345,0.219413,0.540075,0.942708
3445,0.13122,0.453646,0.951172
3538,0.15707,0.48012,0.953125
3638,0.158627,0.484776,0.941406
3738,0.116641,0.444968,0.945313
3838,0.22946,0.557913,0.935547
3931,0.120103,0.447986,0.960938
4031,0.0471675,0.37408,0.972656
4131,0.0205427,0.346332,0.981771
4231,0.0201918,0.344834,0.984375
4324,0.00884227,0.332391,1.0
4424,0.0243576,0.346741,0.996094
4524,0.00960492,0.330822,0.997396
4624,0.00690811,0.326947,0.998047
4717,0.00602465,0.324955,1.0
4817,0.016229,0.333984,0.996094
4917,0.00614557,0.322725,0.997396
5017,0.00451512,0.319913,0.998047
5110,0.00480226,0.319093,1.0
5210,0.0114006,0.324517,1.0
5310,0.004586,0.31653,1.0
5410,0.00341443,0.314181,1.0
5503,0.00401398,0.313681,1.0
5603,0.00857668,0.317077,1.0
5703,0.00369114,0.311027,1.0
5803,0.0027652,0.308934,1.0
