step, cross_entropy, loss, train_accuracy
1,2.6737,2.88577,0.0703125
101,1.71562,1.92872,0.183594
201,1.32243,1.535,0.276042
301,1.27408,1.48716,0.347656
394,1.0311,1.2448,0.554688
494,1.09993,1.31549,0.5625
594,0.932638,1.15041,0.591146
694,0.969425,1.19001,0.605469
787,0.546124,0.769701,0.835938
887,0.901282,1.12832,0.726563
987,0.707901,0.938124,0.736979
1087,0.579209,0.812982,0.757813
1180,0.333202,0.570742,0.890625
1280,0.602613,0.84418,0.839844
1380,0.551902,0.797813,0.835938
1480,0.420843,0.670976,0.84375
1573,0.334185,0.58896,0.882813
1673,0.548773,0.808129,0.84375
1773,0.330986,0.59535,0.856771
1873,0.256743,0.525397,0.869141
1966,0.178738,0.451824,0.914063
2066,0.399564,0.676867,0.886719
2166,0.1887,0.470425,0.898438
2266,0.124884,0.409741,0.908203
2359,0.146112,0.434405,0.945313
2459,0.339131,0.631638,0.914063
2559,0.30111,0.597402,0.914063
2659,0.218804,0.518857,0.914063
2752,0.136484,0.439131,0.945313
2852,0.235189,0.539947,0.9375
2952,0.243388,0.55007,0.929688
3052,0.123884,0.434135,0.941406
3145,0.127887,0.439931,0.960938
3245,0.279237,0.592957,0.933594
3345,0.161876,0.476763,0.924479
3445,0.176765,0.492688,0.925781
3538,0.154795,0.471642,0.953125
3638,0.134087,0.452243,0.957031
3738,0.138362,0.45586,0.953125
3838,0.0934503,0.41011,0.953125
3931,0.109201,0.426516,0.96875
4031,0.0824818,0.398865,0.96875
4131,0.0134529,0.328747,0.979167
4231,0.0107833,0.324956,0.984375
4324,0.00904695,0.322161,1.0
4424,0.0323987,0.344385,0.996094
4524,0.00483845,0.315693,0.997396
4624,0.00510286,0.314813,0.998047
4717,0.0057841,0.314421,1.0
4817,0.0158377,0.323336,1.0
4917,0.00335055,0.30971,1.0
5017,0.00351662,0.308729,1.0
5110,0.00403875,0.308181,1.0
5210,0.0109042,0.31391,1.0
5310,0.00264886,0.304519,1.0
5410,0.0028253,0.303554,1.0
5503,0.00325309,0.302919,1.0
5603,0.0084975,0.307035,1.0
5703,0.00221774,0.299627,1.0
5803,0.00239764,0.298677,1.0
