step, cross_entropy, loss, train_accuracy
1,2.65779,2.86986,0.0703125
101,1.7632,1.97617,0.191406
201,1.29356,1.50677,0.302083
301,1.18779,1.40142,0.359375
394,1.01237,1.22638,0.648438
494,1.17366,1.38888,0.613281
594,1.0086,1.22566,0.611979
694,0.938065,1.15694,0.628906
787,0.663391,0.884274,0.796875
887,0.86775,1.09122,0.730469
987,0.745819,0.972214,0.723958
1087,0.822068,1.05193,0.724609
1180,0.384624,0.617876,0.882813
1280,0.676961,0.913906,0.808594
1380,0.499568,0.740635,0.804688
1480,0.4714,0.717183,0.816406
1573,0.286854,0.536623,0.921875
1673,0.535566,0.789569,0.859375
1773,0.42972,0.68887,0.835938
1873,0.332865,0.597137,0.845703
1966,0.218984,0.487296,0.921875
2066,0.355175,0.627718,0.890625
2166,0.466478,0.74351,0.869792
2266,0.218989,0.500616,0.882813
2359,0.165273,0.450637,0.929688
2459,0.308785,0.597475,0.894531
2559,0.348931,0.641443,0.880208
2659,0.235232,0.531915,0.892578
2752,0.177639,0.477467,0.953125
2852,0.28417,0.58683,0.914063
2952,0.190471,0.496206,0.921875
3052,0.254979,0.563483,0.925781
3145,0.112361,0.423551,0.96875
3245,0.184901,0.496762,0.941406
3345,0.262066,0.576102,0.929688
3445,0.176166,0.491728,0.927734
3538,0.143733,0.460854,0.96875
3638,0.219624,0.536804,0.957031
3738,0.179676,0.498711,0.953125
3838,0.172631,0.491975,0.947266
3931,0.138066,0.458244,0.953125
4031,0.0383492,0.357616,0.972656
4131,0.0312205,0.349412,0.979167
4231,0.0123931,0.32948,0.984375
4324,0.00928064,0.325318,1.0
4424,0.0195907,0.334507,1.0
4524,0.0143182,0.328105,1.0
4624,0.00568512,0.31833,1.0
4717,0.00478117,0.316353,1.0
4817,0.0139003,0.324335,1.0
4917,0.00984918,0.319142,1.0
5017,0.00395993,0.312105,1.0
5110,0.0034611,0.310531,1.0
5210,0.010457,0.316388,1.0
5310,0.00746599,0.312255,1.0
5410,0.00308925,0.306733,1.0
5503,0.00258866,0.305163,1.0
5603,0.00821538,0.309656,1.0
5703,0.00596074,0.306266,1.0
5803,0.00256009,0.301729,1.0
