step, cross_entropy, loss, train_accuracy
1,2.64588,2.85796,0.0703125
101,1.66459,1.87697,0.226563
201,1.35468,1.56681,0.315104
301,1.20472,1.41698,0.386719
394,1.00304,1.21636,0.632813
494,1.1391,1.3542,0.59375
594,1.07496,1.29216,0.604167
694,0.959194,1.17919,0.626953
787,0.679203,0.901899,0.765625
887,0.782436,1.00856,0.726563
987,0.740008,0.969719,0.734375
1087,0.649131,0.882538,0.734375
1180,0.478767,0.716041,0.835938
1280,0.707485,0.949209,0.789063
1380,0.436598,0.683201,0.8125
1480,0.533322,0.784298,0.810547
1573,0.344,0.599409,0.875
1673,0.517344,0.777447,0.84375
1773,0.309004,0.574584,0.859375
1873,0.284364,0.554248,0.871094
1966,0.307652,0.582294,0.914063
2066,0.371761,0.650975,0.882813
2166,0.323007,0.6068,0.885417
2266,0.315197,0.602349,0.888672
2359,0.240503,0.532558,0.929688
2459,0.358513,0.654268,0.890625
2559,0.271007,0.570438,0.90625
2659,0.246154,0.548358,0.908203
2752,0.153693,0.459183,0.9375
2852,0.290099,0.598012,0.90625
2952,0.28832,0.598139,0.90625
3052,0.133092,0.44442,0.916016
3145,0.152975,0.465857,0.96875
3245,0.164704,0.480614,0.960938
3345,0.111787,0.429194,0.963542
3445,0.106528,0.42461,0.962891
3538,0.173085,0.492901,0.960938
3638,0.173051,0.494499,0.941406
3738,0.1237,0.445291,0.945313
3838,0.180682,0.502018,0.947266
3931,0.07157,0.393011,0.960938
4031,0.0431409,0.363607,0.976563
4131,0.0308135,0.350169,0.979167
4231,0.0147567,0.332979,0.984375
4324,0.0151082,0.332255,0.992188
4424,0.0136297,0.329629,0.996094
4524,0.0141491,0.328997,0.997396
4624,0.00673429,0.320425,0.998047
4717,0.00715331,0.319756,1.0
4817,0.00889147,0.320337,1.0
4917,0.0089421,0.31923,1.0
5017,0.00449361,0.313621,1.0
5110,0.00468535,0.312726,1.0
5210,0.00669359,0.31358,1.0
5310,0.00631705,0.312049,1.0
5410,0.00341768,0.307996,1.0
5503,0.00358627,0.307085,1.0
5603,0.00543875,0.307792,1.0
5703,0.00500872,0.306216,1.0
5803,0.00276523,0.302828,1.0
