step, cross_entropy, loss, train_accuracy
1,2.64064,2.85272,0.0703125
101,1.69251,1.90554,0.214844
201,1.38555,1.59846,0.302083
301,1.28071,1.49379,0.357422
394,0.988052,1.20178,0.632813
494,1.11023,1.32541,0.625
594,0.974584,1.19112,0.635417
694,1.00667,1.22499,0.638672
787,0.594576,0.815346,0.8125
887,0.893791,1.11713,0.742188
987,0.840729,1.0667,0.716146
1087,0.793457,1.02288,0.712891
1180,0.439232,0.672293,0.859375
1280,0.748315,0.98518,0.789063
1380,0.535671,0.777037,0.799479
1480,0.438585,0.68433,0.8125
1573,0.24149,0.49174,0.929688
1673,0.545148,0.799774,0.84375
1773,0.423531,0.683316,0.841146
1873,0.332191,0.596044,0.849609
1966,0.255976,0.525329,0.921875
2066,0.4365,0.709655,0.886719
2166,0.300128,0.577851,0.888021
2266,0.286701,0.567927,0.888672
2359,0.242618,0.528657,0.898438
2459,0.33935,0.628695,0.890625
2559,0.32712,0.620423,0.903646
2659,0.175176,0.471717,0.914063
2752,0.144038,0.445473,0.9375
2852,0.333698,0.638006,0.90625
2952,0.165476,0.472164,0.919271
3052,0.235384,0.544926,0.917969
3145,0.125499,0.436907,0.953125
3245,0.170131,0.484095,0.949219
3345,0.220703,0.53662,0.950521
3445,0.158591,0.474909,0.953125
3538,0.0960637,0.415987,0.960938
3638,0.190531,0.512118,0.945313
3738,0.10667,0.429819,0.945313
3838,0.160639,0.483745,0.947266
3931,0.100337,0.424966,0.953125
4031,0.0275488,0.35125,0.976563
4131,0.0306891,0.353305,0.981771
4231,0.0122366,0.333723,0.986328
4324,0.0111477,0.331561,1.0
4424,0.0100278,0.329303,1.0
4524,0.0106923,0.328828,1.0
4624,0.00475007,0.321728,1.0
4717,0.00605937,0.321948,1.0
4817,0.00593279,0.32067,1.0
4917,0.0068028,0.320387,1.0
5017,0.00335682,0.315775,1.0
5110,0.00457525,0.315904,1.0
5210,0.00418985,0.314365,1.0
5310,0.00496337,0.313985,1.0
5410,0.00262407,0.310484,1.0
5503,0.0037732,0.310549,1.0
5603,0.00326918,0.308897,1.0
5703,0.00398325,0.308463,1.0
5803,0.00217649,0.305503,1.0
