step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
1,3.52903,3.74379,0.046875,1,3.55367,3.76843,0.03125,1,3.55474,3.7695,0.03125,1,3.537,3.75177,0.0625,1,3.53251,3.74727,0.046875,1,3.52863,3.74339,0.0546875
101,2.59889,2.81378,0.101563,101,2.68835,2.90299,0.0820313,101,2.64661,2.86139,0.113281,101,2.57911,2.79395,0.105469,101,2.69692,2.9116,0.09375,101,2.55128,2.76608,0.132813
201,2.08364,2.29956,0.184896,201,2.17049,2.38599,0.153646,201,2.15641,2.37211,0.184896,201,2.05787,2.27369,0.190104,201,2.11481,2.33037,0.166667,201,2.14471,2.36043,0.171875
301,1.59987,1.81697,0.257813,301,1.68273,1.89939,0.238281,301,1.66043,1.8772,0.244141,301,1.58099,1.79812,0.259766,301,1.70986,1.92661,0.212891,301,1.73121,1.94808,0.232422
344,1.49441,1.71201,0.539063,344,1.47687,1.69408,0.570313,344,1.48178,1.69907,0.554688,344,1.35786,1.5756,0.59375,344,1.44361,1.6609,0.539063,344,1.34767,1.56513,0.617188
444,1.28677,1.50567,0.550781,444,1.19119,1.40989,0.597656,444,1.22752,1.44628,0.578125,444,1.27227,1.49158,0.585938,444,1.27756,1.49631,0.550781,444,1.2209,1.43983,0.589844
544,0.823193,1.04361,0.625,544,0.791072,1.01151,0.658854,544,0.660769,0.881265,0.664063,544,0.662962,0.883964,0.669271,544,0.998223,1.21862,0.585938,544,0.805773,1.0264,0.643229
644,0.708154,0.930059,0.660156,644,0.565745,0.787812,0.701172,644,0.538377,0.760467,0.714844,644,0.6286,0.851149,0.705078,644,0.785706,1.00766,0.625,644,0.504601,0.726809,0.699219
687,0.497005,0.719481,0.828125,687,0.480681,0.70332,0.859375,687,0.374514,0.597192,0.898438,687,0.451923,0.675045,0.851563,687,0.50323,0.725882,0.890625,687,0.335884,0.558638,0.90625
787,0.393092,0.616702,0.855469,787,0.338744,0.562448,0.882813,787,0.336244,0.559912,0.90625,787,0.361038,0.585121,0.867188,787,0.444433,0.668241,0.867188,787,0.360369,0.584105,0.890625
887,0.216479,0.440938,0.885417,887,0.133524,0.357969,0.916667,887,0.0975373,0.32183,0.9375,887,0.229815,0.454498,0.885417,887,0.189827,0.414465,0.895833,887,0.153621,0.378018,0.908854
987,0.23388,0.458932,0.896484,987,0.207076,0.431966,0.927734,987,0.138513,0.363208,0.945313,987,0.220768,0.445905,0.896484,987,0.201826,0.42708,0.912109,987,0.1355,0.360324,0.925781
