step, cross_entropy, loss, train_accuracy
1,3.55367,3.76843,0.03125
101,2.68835,2.90299,0.0820313
201,2.17049,2.38599,0.153646
301,1.68273,1.89939,0.238281
344,1.47687,1.69408,0.570313
444,1.19119,1.40989,0.597656
544,0.791072,1.01151,0.658854
644,0.565745,0.787812,0.701172
687,0.480681,0.70332,0.859375
787,0.338744,0.562448,0.882813
887,0.133524,0.357969,0.916667
987,0.207076,0.431966,0.927734
1030,0.109672,0.334639,0.96875
1130,0.11006,0.335049,0.964844
1230,0.0387954,0.263702,0.976563
1330,0.0632889,0.28803,0.980469
1373,0.0361583,0.26079,0.992188
1473,0.0514876,0.275791,0.996094
1573,0.0350682,0.259009,0.994792
1673,0.0254324,0.24894,0.996094
1716,0.0130965,0.236379,1.0
1816,0.0261453,0.248971,1.0
1916,0.0556822,0.277993,0.992188
2016,0.0132869,0.23505,0.994141
2059,0.00574381,0.227238,1.0
2159,0.0125153,0.233359,1.0
2259,0.00896045,0.22912,1.0
2359,0.00875403,0.228199,1.0
2402,0.00513919,0.22429,1.0
2502,0.00551526,0.223935,1.0
2602,0.00422537,0.221884,1.0
2702,0.00376674,0.220661,1.0
2745,0.00286289,0.219423,1.0
2845,0.00326048,0.219042,1.0
2945,0.00332396,0.218328,1.0
3045,0.00267155,0.216897,1.0
3088,0.00250547,0.216394,1.0
3188,0.00275624,0.215864,1.0
3288,0.0027283,0.215059,1.0
3388,0.00242468,0.213978,1.0
3431,0.00224903,0.213474,1.0
3531,0.00237496,0.213522,1.0
3631,0.00207008,0.213139,1.0
3731,0.00225707,0.213249,1.0
3774,0.00207843,0.213036,1.0
3874,0.00225315,0.213133,1.0
3974,0.00205053,0.212853,1.0
4074,0.00223695,0.212961,1.0
4117,0.00203503,0.212726,1.0
4217,0.00221691,0.21283,1.0
4317,0.0020372,0.212572,1.0
4417,0.00222147,0.212679,1.0
4460,0.00201204,0.212436,1.0
4560,0.00219342,0.212539,1.0
4660,0.0020244,0.212293,1.0
4760,0.00220856,0.212399,1.0
4803,0.00199518,0.212152,1.0
4903,0.00217166,0.212251,1.0
5003,0.00201119,0.212013,1.0
5103,0.00219637,0.21212,1.0
