step, cross_entropy, loss, train_accuracy
1,3.537,3.75177,0.0625
101,2.57911,2.79395,0.105469
201,2.05787,2.27369,0.190104
301,1.58099,1.79812,0.259766
344,1.35786,1.5756,0.59375
444,1.27227,1.49158,0.585938
544,0.662962,0.883964,0.669271
644,0.6286,0.851149,0.705078
687,0.451923,0.675045,0.851563
787,0.361038,0.585121,0.867188
887,0.229815,0.454498,0.885417
987,0.220768,0.445905,0.896484
1030,0.0932502,0.318473,0.976563
1130,0.134905,0.360145,0.960938
1230,0.049405,0.27457,0.973958
1330,0.105029,0.330085,0.972656
1373,0.0345384,0.259489,1.0
1473,0.0491313,0.273795,0.996094
1573,0.0290363,0.253344,0.997396
1673,0.0424707,0.266332,0.994141
1716,0.0227715,0.246461,1.0
1816,0.0189379,0.242206,1.0
1916,0.00921859,0.232001,1.0
2016,0.0650578,0.28728,0.994141
2059,0.00659706,0.22857,1.0
2159,0.0100811,0.231396,1.0
2259,0.00756762,0.228216,1.0
2359,0.00987278,0.229803,1.0
2402,0.006625,0.226265,1.0
2502,0.0195997,0.238519,0.996094
2602,0.00480691,0.222978,0.997396
2702,0.00657288,0.223992,0.998047
2745,0.00780817,0.224967,1.0
2845,0.00867682,0.225193,1.0
2945,0.00403728,0.21984,1.0
3045,0.00383727,0.218884,1.0
3088,0.00369551,0.218424,1.0
3188,0.00316992,0.217124,1.0
3288,0.00284475,0.216022,1.0
3388,0.00329629,0.215695,1.0
3431,0.00217435,0.214244,1.0
3531,0.00218318,0.214174,1.0
3631,0.00209959,0.214012,1.0
3731,0.00280505,0.21464,1.0
3774,0.0020984,0.213899,1.0
3874,0.0020705,0.213793,1.0
3974,0.00207878,0.213723,1.0
4074,0.00279151,0.214357,1.0
4117,0.00205565,0.213588,1.0
4217,0.00202464,0.213478,1.0
4317,0.00204484,0.21342,1.0
4417,0.00277139,0.214069,1.0
4460,0.00202126,0.213285,1.0
4560,0.00199496,0.21318,1.0
4660,0.00201339,0.21312,1.0
4760,0.00274912,0.213778,1.0
4803,0.00199153,0.212986,1.0
4903,0.00197207,0.212889,1.0
5003,0.00198519,0.212824,1.0
5103,0.00272532,0.213486,1.0
