step, cross_entropy, loss, train_accuracy
1,3.55474,3.7695,0.03125
101,2.64661,2.86139,0.113281
201,2.15641,2.37211,0.184896
301,1.66043,1.8772,0.244141
344,1.48178,1.69907,0.554688
444,1.22752,1.44628,0.578125
544,0.660769,0.881265,0.664063
644,0.538377,0.760467,0.714844
687,0.374514,0.597192,0.898438
787,0.336244,0.559912,0.90625
887,0.0975373,0.32183,0.9375
987,0.138513,0.363208,0.945313
1030,0.0863991,0.311143,0.976563
1130,0.144445,0.369217,0.960938
1230,0.0662912,0.290968,0.971354
1330,0.0809712,0.305538,0.970703
1373,0.0307196,0.255141,1.0
1473,0.039624,0.263636,0.996094
1573,0.0189324,0.242549,0.997396
1673,0.0446018,0.267824,0.996094
1716,0.009452,0.232463,1.0
1816,0.0217843,0.244244,1.0
1916,0.0138019,0.235695,1.0
2016,0.0165264,0.237834,1.0
2059,0.00562591,0.226655,1.0
2159,0.00966178,0.230014,1.0
2259,0.0074118,0.227058,1.0
2359,0.0107183,0.229689,1.0
2402,0.00329061,0.22196,1.0
2502,0.00859537,0.226524,1.0
2602,0.0101107,0.227287,1.0
2702,0.00492514,0.221347,1.0
2745,0.00239523,0.218486,1.0
2845,0.00448025,0.219797,1.0
2945,0.00265142,0.217195,1.0
3045,0.00307915,0.216847,1.0
3088,0.00199859,0.215431,1.0
3188,0.00355821,0.216214,1.0
3288,0.0023181,0.2142,1.0
3388,0.0026727,0.213781,1.0
3431,0.00177177,0.212553,1.0
3531,0.00305043,0.213754,1.0
3631,0.00199932,0.212626,1.0
3731,0.00243132,0.21298,1.0
3774,0.00173855,0.212254,1.0
3874,0.0028847,0.213322,1.0
3974,0.00196402,0.212324,1.0
4074,0.0024149,0.212698,1.0
4117,0.00172894,0.211978,1.0
4217,0.00282064,0.212992,1.0
4317,0.00193936,0.212034,1.0
4417,0.002401,0.212418,1.0
4460,0.00171833,0.211702,1.0
4560,0.0027783,0.212684,1.0
4660,0.00191802,0.211747,1.0
4760,0.00238562,0.212137,1.0
4803,0.00170679,0.211425,1.0
4903,0.00274231,0.212383,1.0
5003,0.00189992,0.211463,1.0
5103,0.00236945,0.211855,1.0
