step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,3.52863,3.74339,0.0546875,1,3.54666,3.76094,0.015625,1,3.55331,3.76758,0.015625,1,3.53191,3.74667,0.0546875,1,3.5258,3.74056,0.0625,1,3.52987,3.74463,0.0703125,1,3.53542,3.75019,0.0703125,1,3.53388,3.74865,0.0546875
101,2.55128,2.76608,0.132813,101,2.56384,2.7782,0.113281,101,2.53643,2.75084,0.09375,101,2.60335,2.81811,0.109375,101,2.65288,2.86763,0.121094,101,2.63301,2.84773,0.109375,101,2.64032,2.85507,0.101563,101,2.59,2.80477,0.125
201,2.14471,2.36043,0.171875,201,2.22474,2.43997,0.161458,201,2.03927,2.2546,0.177083,201,2.09721,2.31296,0.166667,201,2.26175,2.47738,0.164063,201,2.20873,2.42426,0.164063,201,2.14378,2.3594,0.153646,201,2.11656,2.33212,0.182292
301,1.73121,1.94808,0.232422,301,1.65141,1.86784,0.25,301,1.66388,1.88026,0.255859,301,1.55918,1.77623,0.242188,301,1.84297,2.05969,0.226563,301,1.68411,1.90078,0.228516,301,1.64808,1.86489,0.220703,301,1.73361,1.9502,0.244141
344,1.34767,1.56513,0.617188,344,1.45537,1.67246,0.5,344,1.56755,1.78452,0.421875,344,1.38025,1.59792,0.539063,344,1.49989,1.71714,0.523438,344,1.52132,1.73859,0.453125,344,1.47804,1.69546,0.554688,344,1.5883,1.80541,0.453125
444,1.2209,1.43983,0.589844,444,1.02515,1.24394,0.59375,444,1.03554,1.25414,0.574219,444,1.15451,1.37368,0.5625,444,1.41799,1.63653,0.515625,444,1.1983,1.41709,0.523438,444,1.21166,1.43067,0.585938,444,1.2812,1.49974,0.527344
544,0.805773,1.0264,0.643229,544,0.665696,0.886066,0.658854,544,0.703492,0.923933,0.645833,544,0.805794,1.02655,0.617188,544,0.995624,1.21565,0.565104,544,0.773834,0.994413,0.601563,544,0.674144,0.894884,0.664063,544,0.822315,1.04252,0.591146
644,0.504601,0.726809,0.699219,644,0.455463,0.677277,0.712891,644,0.438971,0.661005,0.701172,644,0.73034,0.952567,0.662109,644,0.683796,0.905338,0.630859,644,0.445172,0.667341,0.683594,644,0.703353,0.925622,0.699219,644,0.593065,0.814821,0.65625
687,0.335884,0.558638,0.90625,687,0.381257,0.603604,0.90625,687,0.357642,0.580232,0.898438,687,0.488358,0.711204,0.867188,687,0.588434,0.810584,0.820313,687,0.451755,0.674482,0.875,687,0.372415,0.595238,0.90625,687,0.495124,0.71745,0.882813
787,0.360369,0.584105,0.890625,787,0.202147,0.425446,0.933594,787,0.251383,0.474924,0.914063,787,0.392624,0.616631,0.878906,787,0.417898,0.641297,0.851563,787,0.328827,0.552638,0.890625,787,0.417001,0.640845,0.882813,787,0.331715,0.555215,0.890625
887,0.153621,0.378018,0.908854,887,0.188572,0.412396,0.932292,887,0.133304,0.35741,0.932292,887,0.173971,0.398808,0.903646,887,0.248922,0.473275,0.882813,887,0.111849,0.336316,0.921875,887,0.143017,0.367627,0.914063,887,0.170043,0.394363,0.916667
