step, cross_entropy, loss, train_accuracy
1,3.53191,3.74667,0.0546875
101,2.60335,2.81811,0.109375
201,2.09721,2.31296,0.166667
301,1.55918,1.77623,0.242188
344,1.38025,1.59792,0.539063
444,1.15451,1.37368,0.5625
544,0.805794,1.02655,0.617188
644,0.73034,0.952567,0.662109
687,0.488358,0.711204,0.867188
787,0.392624,0.616631,0.878906
887,0.173971,0.398808,0.903646
987,0.17809,0.403474,0.919922
1030,0.18345,0.408992,0.960938
1130,0.159322,0.385058,0.960938
1230,0.0799602,0.305771,0.971354
1330,0.0813321,0.307155,0.974609
1373,0.09466,0.320424,0.976563
1473,0.0406431,0.266173,0.988281
1573,0.0311658,0.256375,0.989583
1673,0.0344215,0.25925,0.990234
1716,0.0235701,0.248192,1.0
1816,0.0294662,0.253651,0.996094
1916,0.0126885,0.236386,0.997396
2016,0.0139285,0.23709,0.998047
2059,0.0114766,0.234365,1.0
2159,0.0100028,0.232257,1.0
2259,0.00577203,0.227342,1.0
2359,0.00960043,0.230474,1.0
2402,0.00640656,0.22697,1.0
2502,0.0050726,0.224934,1.0
2602,0.00332177,0.222433,1.0
2702,0.00434316,0.222687,1.0
2745,0.00389874,0.221908,1.0
2845,0.00339867,0.220645,1.0
2945,0.00249428,0.21897,1.0
3045,0.00355295,0.219251,1.0
3088,0.00264022,0.218002,1.0
3188,0.00287378,0.217455,1.0
3288,0.00204405,0.215848,1.0
3388,0.00297552,0.216001,1.0
3431,0.00231323,0.21501,1.0
3531,0.00254485,0.215164,1.0
3631,0.00184605,0.214387,1.0
3731,0.0026375,0.2151,1.0
3774,0.00225452,0.214684,1.0
3874,0.00251513,0.214866,1.0
3974,0.00183865,0.214112,1.0
4074,0.00260318,0.214798,1.0
4117,0.00223105,0.214392,1.0
4217,0.00248226,0.214566,1.0
4317,0.00182443,0.21383,1.0
4417,0.00258057,0.214508,1.0
4460,0.00220425,0.214098,1.0
4560,0.00245311,0.214269,1.0
4660,0.00181013,0.213548,1.0
4760,0.00256063,0.21422,1.0
4803,0.00217804,0.213804,1.0
4903,0.00242772,0.213976,1.0
5003,0.00179608,0.213267,1.0
5103,0.00254104,0.213934,1.0
