step, cross_entropy, loss, train_accuracy
1,3.5258,3.74056,0.0625
101,2.65288,2.86763,0.121094
201,2.26175,2.47738,0.164063
301,1.84297,2.05969,0.226563
344,1.49989,1.71714,0.523438
444,1.41799,1.63653,0.515625
544,0.995624,1.21565,0.565104
644,0.683796,0.905338,0.630859
687,0.588434,0.810584,0.820313
787,0.417898,0.641297,0.851563
887,0.248922,0.473275,0.882813
987,0.180707,0.405686,0.902344
1030,0.129247,0.354374,0.976563
1130,0.122507,0.347807,0.976563
1230,0.0655813,0.290957,0.979167
1330,0.0786497,0.304,0.982422
1373,0.0972531,0.322499,0.984375
1473,0.0797035,0.304674,0.976563
1573,0.0292546,0.253942,0.981771
1673,0.0564009,0.280735,0.982422
1716,0.0426296,0.266771,0.992188
1816,0.0240535,0.247676,0.996094
1916,0.0220519,0.245265,0.997396
2016,0.0137334,0.236488,0.998047
2059,0.00913785,0.23163,1.0
2159,0.00795133,0.229772,1.0
2259,0.00781862,0.228977,1.0
2359,0.0072415,0.227752,1.0
2402,0.00955028,0.229756,1.0
2502,0.0073499,0.226835,1.0
2602,0.00653436,0.225291,1.0
2702,0.00340023,0.221406,1.0
2745,0.00293222,0.220605,1.0
2845,0.00433057,0.22123,1.0
2945,0.0035479,0.219676,1.0
3045,0.00255834,0.217909,1.0
3088,0.00235829,0.217372,1.0
3188,0.00319363,0.217427,1.0
3288,0.00285171,0.216308,1.0
3388,0.0022347,0.214913,1.0
3431,0.00211922,0.214468,1.0
3531,0.00322338,0.215495,1.0
3631,0.002108,0.214301,1.0
3731,0.00207712,0.214192,1.0
3774,0.00216664,0.214248,1.0
3874,0.0030183,0.215022,1.0
3974,0.00212621,0.214052,1.0
4074,0.00208008,0.213928,1.0
4117,0.00216318,0.213977,1.0
4217,0.00293078,0.214667,1.0
4317,0.00212385,0.213782,1.0
4417,0.00207388,0.213654,1.0
4460,0.00214657,0.213693,1.0
4560,0.00287135,0.21434,1.0
4660,0.00211448,0.213506,1.0
4760,0.00206344,0.213377,1.0
4803,0.00212741,0.213407,1.0
4903,0.00282419,0.214026,1.0
5003,0.00210169,0.213226,1.0
5103,0.00205109,0.213097,1.0
