step, cross_entropy, loss, train_accuracy
1,3.52987,3.74463,0.0703125
101,2.63301,2.84773,0.109375
201,2.20873,2.42426,0.164063
301,1.68411,1.90078,0.228516
344,1.52132,1.73859,0.453125
444,1.1983,1.41709,0.523438
544,0.773834,0.994413,0.601563
644,0.445172,0.667341,0.683594
687,0.451755,0.674482,0.875
787,0.328827,0.552638,0.890625
887,0.111849,0.336316,0.921875
987,0.116513,0.341349,0.935547
1030,0.111053,0.335938,0.976563
1130,0.0741959,0.299108,0.976563
1230,0.0402386,0.265085,0.981771
1330,0.0491505,0.273899,0.986328
1373,0.0638768,0.288557,0.992188
1473,0.038553,0.262928,0.996094
1573,0.0222627,0.246274,0.997396
1673,0.0187796,0.242383,0.998047
1716,0.0276554,0.251027,1.0
1816,0.0133881,0.236236,1.0
1916,0.0142453,0.236555,1.0
2016,0.0107133,0.232443,1.0
2059,0.0209213,0.242416,0.992188
2159,0.00948296,0.230361,0.996094
2259,0.0081589,0.228369,0.997396
2359,0.018679,0.238236,0.996094
2402,0.00590593,0.22516,1.0
2502,0.00571871,0.224274,1.0
2602,0.00485797,0.222693,1.0
2702,0.00489691,0.222016,1.0
2745,0.00324138,0.220039,1.0
2845,0.00290708,0.218939,1.0
2945,0.00292884,0.218187,1.0
3045,0.00405926,0.21854,1.0
3088,0.00255526,0.2167,1.0
3188,0.00231595,0.21568,1.0
3288,0.00251669,0.215101,1.0
3388,0.00323906,0.215044,1.0
3431,0.0022733,0.213749,1.0
3531,0.00209321,0.213491,1.0
3631,0.00219633,0.213516,1.0
3731,0.00266072,0.213902,1.0
3774,0.00215439,0.213362,1.0
3874,0.00206579,0.213195,1.0
3974,0.00217451,0.213226,1.0
4074,0.00266072,0.213634,1.0
4117,0.00211765,0.213057,1.0
4217,0.00204428,0.212906,1.0
4317,0.00215146,0.212935,1.0
4417,0.00265275,0.213358,1.0
4460,0.00209349,0.212766,1.0
4560,0.00202445,0.212619,1.0
4660,0.00213016,0.212646,1.0
4760,0.00264177,0.21308,1.0
4803,0.00207349,0.212478,1.0
4903,0.00200622,0.212333,1.0
5003,0.00211019,0.212359,1.0
5103,0.0026288,0.2128,1.0
