step, cross_entropy, loss, train_accuracy
1,3.53388,3.74865,0.0546875
101,2.59,2.80477,0.125
201,2.11656,2.33212,0.182292
301,1.73361,1.9502,0.244141
344,1.5883,1.80541,0.453125
444,1.2812,1.49974,0.527344
544,0.822315,1.04252,0.591146
644,0.593065,0.814821,0.65625
687,0.495124,0.71745,0.882813
787,0.331715,0.555215,0.890625
887,0.170043,0.394363,0.916667
987,0.201496,0.426359,0.925781
1030,0.182055,0.407054,0.929688
1130,0.116439,0.341565,0.945313
1230,0.0301331,0.255237,0.963542
1330,0.0843124,0.309269,0.964844
1373,0.0512581,0.276096,1.0
1473,0.0754808,0.300121,0.984375
1573,0.0155266,0.239927,0.989583
1673,0.0189021,0.242913,0.992188
1716,0.0234883,0.247322,0.992188
1816,0.0455944,0.26895,0.992188
1916,0.010878,0.233685,0.994792
2016,0.0377813,0.260028,0.992188
2059,0.0101286,0.232139,1.0
2159,0.00657001,0.227948,1.0
2259,0.00760614,0.228307,1.0
2359,0.0129648,0.232945,1.0
2402,0.00319889,0.222859,1.0
2502,0.00448982,0.22341,1.0
2602,0.00404823,0.222214,1.0
2702,0.00428824,0.221685,1.0
2745,0.00252155,0.219583,1.0
2845,0.0028775,0.219165,1.0
2945,0.00327758,0.218788,1.0
3045,0.00368656,0.218418,1.0
3088,0.00222582,0.216621,1.0
3188,0.00266445,0.21628,1.0
3288,0.00271598,0.215552,1.0
3388,0.00302495,0.215084,1.0
3431,0.00204474,0.213776,1.0
3531,0.00265472,0.214308,1.0
3631,0.00229114,0.213866,1.0
3731,0.00242886,0.213926,1.0
3774,0.0019926,0.213456,1.0
3874,0.00244365,0.213829,1.0
3974,0.00225809,0.213566,1.0
4074,0.00243938,0.213669,1.0
4117,0.00197975,0.213176,1.0
4217,0.00235657,0.213475,1.0
4317,0.0022327,0.213273,1.0
4417,0.00243577,0.213399,1.0
4460,0.00196592,0.212895,1.0
4560,0.00230501,0.213157,1.0
4660,0.00221023,0.212984,1.0
4760,0.00242573,0.213122,1.0
4803,0.00195173,0.212614,1.0
4903,0.00226833,0.212853,1.0
5003,0.00218827,0.212695,1.0
5103,0.00241338,0.212843,1.0
