step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
1,3.72433,3.93931,0.0234375,1,3.8136,4.02904,0.0234375,1,3.80836,4.0238,0.015625,1,3.81362,4.02906,0.03125,1,3.82511,4.04055,0.03125,1,3.82757,4.04301,0.0234375
101,1.47004,1.68693,0.328125,101,1.54362,1.76077,0.316406,101,1.42292,1.64023,0.371094,101,1.61546,1.83247,0.339844,101,1.50404,1.721,0.355469,101,1.45467,1.67179,0.367188
201,0.434129,0.654589,0.526042,201,0.731821,0.952417,0.476563,201,0.599866,0.820956,0.541667,201,0.71709,0.937721,0.489583,201,0.766583,0.987222,0.492188,201,0.759033,0.979715,0.518229
301,0.294814,0.517696,0.634766,301,0.293929,0.516884,0.59375,301,0.216248,0.439614,0.642578,301,0.322631,0.545695,0.595703,301,0.273238,0.496317,0.603516,301,0.365784,0.588854,0.621094
386,0.260226,0.484088,0.929688,386,0.199757,0.423907,0.9375,386,0.147423,0.371713,0.976563,386,0.154445,0.378606,0.96875,386,0.197791,0.421991,0.945313,386,0.169668,0.393844,0.960938
486,0.0734834,0.297919,0.964844,486,0.143832,0.368826,0.960938,486,0.10518,0.330215,0.976563,486,0.122758,0.347465,0.96875,486,0.128702,0.353743,0.957031,486,0.0913243,0.316303,0.976563
586,0.06847,0.293065,0.966146,586,0.24314,0.468656,0.958333,586,0.16531,0.390878,0.971354,586,0.0885276,0.313816,0.979167,586,0.164113,0.389548,0.955729,586,0.0638582,0.289304,0.984375
686,0.061977,0.286671,0.972656,686,0.0559979,0.281695,0.96875,686,0.0567793,0.282687,0.976563,686,0.0496938,0.274975,0.982422,686,0.0800352,0.305686,0.960938,686,0.0511722,0.276712,0.984375
771,0.0194512,0.2439,1.0,771,0.0352168,0.260836,0.992188,771,0.0195085,0.245171,1.0,771,0.0255593,0.250534,0.992188,771,0.0384213,0.263989,0.992188,771,0.0207731,0.246131,1.0
871,0.0233522,0.247574,1.0,871,0.0539859,0.279709,0.992188,871,0.025457,0.25073,0.996094,871,0.0369021,0.261784,0.996094,871,0.112055,0.337409,0.980469,871,0.0347185,0.259751,0.996094
971,0.0130104,0.236863,1.0,971,0.0659209,0.291344,0.989583,971,0.0814176,0.306438,0.989583,971,0.0179119,0.24245,0.997396,971,0.101234,0.326596,0.979167,971,0.0238971,0.248612,0.997396
1071,0.0147243,0.238057,1.0,1071,0.0884295,0.313485,0.988281,1071,0.0283102,0.252992,0.990234,1071,0.0167137,0.240778,0.998047,1071,0.0165048,0.241524,0.984375,1071,0.0187468,0.24307,0.998047
1156,0.0109832,0.233806,1.0,1156,0.0105596,0.235248,1.0,1156,0.00937897,0.233649,1.0,1156,0.012371,0.235901,1.0,1156,0.0277848,0.252397,1.0,1156,0.0122316,0.236132,1.0
1256,0.0127248,0.234913,1.0,1256,0.0352964,0.259433,0.996094,1256,0.0118275,0.235567,1.0,1256,0.00894101,0.231847,1.0,1256,0.0265646,0.250742,1.0,1256,0.0212251,0.244639,1.0
1356,0.00494954,0.226472,1.0,1356,0.0412693,0.264789,0.994792,1356,0.0614256,0.284639,0.997396,1356,0.0173453,0.239602,0.997396,1356,0.0180704,0.241765,1.0,1356,0.00907459,0.232033,1.0
1456,0.0114261,0.232355,1.0,1456,0.00911374,0.23214,0.996094,1456,0.0105956,0.233237,0.998047,1456,0.011049,0.232744,0.998047,1456,0.010742,0.233847,1.0,1456,0.0123172,0.234658,1.0
1541,0.0631345,0.283671,0.992188,1541,0.00649985,0.229001,1.0,1541,0.00711517,0.229243,1.0,1541,0.00725307,0.228349,1.0,1541,0.0155981,0.238246,1.0,1541,0.00579739,0.22756,1.0
1641,0.0154994,0.236276,0.996094,1641,0.0299178,0.251746,0.996094,1641,0.0116634,0.23322,1.0,1641,0.00459881,0.224966,1.0,1641,0.0224722,0.244598,0.996094,1641,0.00579892,0.226844,1.0
1741,0.00588779,0.226043,0.997396,1741,0.00884574,0.230086,0.997396,1741,0.00488834,0.225765,1.0,1741,0.00718467,0.226834,1.0,1741,0.00657,0.22807,0.997396,1741,0.0038643,0.224177,1.0
1841,0.0051319,0.224678,0.998047,1841,0.00859746,0.229226,0.998047,1841,0.00705918,0.227225,1.0,1841,0.00877256,0.227755,1.0,1841,0.00569533,0.226489,0.998047,1841,0.00634881,0.225927,1.0
1926,0.00615945,0.225102,1.0,1926,0.00495719,0.225024,1.0,1926,0.00379668,0.223341,1.0,1926,0.00419912,0.222548,1.0,1926,0.00791661,0.228113,1.0,1926,0.00557478,0.224577,1.0
2026,0.00475662,0.222987,1.0,2026,0.0268907,0.246222,0.992188,2026,0.00408704,0.222915,1.0,2026,0.00375318,0.221346,1.0,2026,0.0261786,0.245692,0.992188,2026,0.010441,0.228772,1.0
