step, cross_entropy, loss, train_accuracy
1,3.72433,3.93931,0.0234375
101,1.47004,1.68693,0.328125
201,0.434129,0.654589,0.526042
301,0.294814,0.517696,0.634766
386,0.260226,0.484088,0.929688
486,0.0734834,0.297919,0.964844
586,0.06847,0.293065,0.966146
686,0.061977,0.286671,0.972656
771,0.0194512,0.2439,1.0
871,0.0233522,0.247574,1.0
971,0.0130104,0.236863,1.0
1071,0.0147243,0.238057,1.0
1156,0.0109832,0.233806,1.0
1256,0.0127248,0.234913,1.0
1356,0.00494954,0.226472,1.0
1456,0.0114261,0.232355,1.0
1541,0.0631345,0.283671,0.992188
1641,0.0154994,0.236276,0.996094
1741,0.00588779,0.226043,0.997396
1841,0.0051319,0.224678,0.998047
1926,0.00615945,0.225102,1.0
2026,0.00475662,0.222987,1.0
2126,0.00277907,0.22028,1.0
2226,0.00431424,0.221073,1.0
2311,0.00554185,0.221682,1.0
2411,0.004004,0.219458,1.0
2511,0.00249929,0.217205,1.0
2611,0.00305162,0.21701,1.0
2696,0.0030133,0.21632,1.0
2796,0.00259958,0.21514,1.0
2896,0.00168956,0.213462,1.0
2996,0.00237456,0.213382,1.0
3081,0.00249348,0.21285,1.0
3181,0.00228662,0.211878,1.0
3281,0.00153976,0.210368,1.0
3381,0.00209168,0.210159,1.0
3466,0.00228076,0.209702,1.0
3566,0.00211969,0.208783,1.0
3666,0.00144413,0.207351,1.0
3766,0.00193752,0.207091,1.0
3851,0.00214436,0.206692,1.0
3951,0.00197907,0.206452,1.0
4051,0.00138228,0.20578,1.0
4151,0.00182758,0.20615,1.0
4236,0.00207065,0.206329,1.0
4336,0.00195669,0.20614,1.0
4436,0.00137944,0.205488,1.0
4536,0.00182233,0.205856,1.0
4621,0.00205592,0.206026,1.0
4721,0.00194682,0.205841,1.0
4821,0.00137533,0.205195,1.0
4921,0.00181446,0.205559,1.0
5006,0.00204553,0.205726,1.0
5106,0.00193776,0.205544,1.0
5206,0.00137059,0.204902,1.0
5306,0.00180599,0.205262,1.0
5391,0.00203612,0.205429,1.0
5491,0.00192871,0.205246,1.0
5591,0.00136571,0.204609,1.0
5691,0.00179762,0.204966,1.0
