step, cross_entropy, loss, train_accuracy
1,3.8136,4.02904,0.0234375
101,1.54362,1.76077,0.316406
201,0.731821,0.952417,0.476563
301,0.293929,0.516884,0.59375
386,0.199757,0.423907,0.9375
486,0.143832,0.368826,0.960938
586,0.24314,0.468656,0.958333
686,0.0559979,0.281695,0.96875
771,0.0352168,0.260836,0.992188
871,0.0539859,0.279709,0.992188
971,0.0659209,0.291344,0.989583
1071,0.0884295,0.313485,0.988281
1156,0.0105596,0.235248,1.0
1256,0.0352964,0.259433,0.996094
1356,0.0412693,0.264789,0.994792
1456,0.00911374,0.23214,0.996094
1541,0.00649985,0.229001,1.0
1641,0.0299178,0.251746,0.996094
1741,0.00884574,0.230086,0.997396
1841,0.00859746,0.229226,0.998047
1926,0.00495719,0.225024,1.0
2026,0.0268907,0.246222,0.992188
2126,0.0176435,0.236286,0.992188
2226,0.00420097,0.22214,0.994141
2311,0.00433795,0.221654,1.0
2411,0.00476005,0.221327,1.0
2511,0.00341269,0.219225,1.0
2611,0.00372953,0.218777,1.0
2696,0.00255642,0.21695,1.0
2796,0.00341239,0.217037,1.0
2896,0.00272359,0.215578,1.0
2996,0.00308182,0.215167,1.0
3081,0.00220681,0.213639,1.0
3181,0.0029582,0.213625,1.0
3281,0.00245554,0.212356,1.0
3381,0.00277553,0.211913,1.0
3466,0.00201036,0.2105,1.0
3566,0.00270432,0.210434,1.0
3666,0.00229156,0.209263,1.0
3766,0.00256786,0.208783,1.0
3851,0.00191675,0.207525,1.0
3951,0.00245443,0.207987,1.0
4051,0.00214954,0.207607,1.0
4151,0.0023101,0.207692,1.0
4236,0.00180966,0.207127,1.0
4336,0.00241091,0.207653,1.0
4436,0.00212179,0.207288,1.0
4536,0.00230778,0.207399,1.0
4621,0.0017885,0.206816,1.0
4721,0.00238987,0.207342,1.0
4821,0.00210873,0.206985,1.0
4921,0.00229801,0.207099,1.0
5006,0.00177528,0.206512,1.0
5106,0.00237608,0.207038,1.0
5206,0.00209913,0.206686,1.0
5306,0.00228698,0.206798,1.0
5391,0.00176455,0.206212,1.0
5491,0.00236478,0.206737,1.0
5591,0.00209101,0.206388,1.0
5691,0.00227591,0.206498,1.0
