step, cross_entropy, loss, train_accuracy
1,3.80836,4.0238,0.015625
101,1.42292,1.64023,0.371094
201,0.599866,0.820956,0.541667
301,0.216248,0.439614,0.642578
386,0.147423,0.371713,0.976563
486,0.10518,0.330215,0.976563
586,0.16531,0.390878,0.971354
686,0.0567793,0.282687,0.976563
771,0.0195085,0.245171,1.0
871,0.025457,0.25073,0.996094
971,0.0814176,0.306438,0.989583
1071,0.0283102,0.252992,0.990234
1156,0.00937897,0.233649,1.0
1256,0.0118275,0.235567,1.0
1356,0.0614256,0.284639,0.997396
1456,0.0105956,0.233237,0.998047
1541,0.00711517,0.229243,1.0
1641,0.0116634,0.23322,1.0
1741,0.00488834,0.225765,1.0
1841,0.00705918,0.227225,1.0
1926,0.00379668,0.223341,1.0
2026,0.00408704,0.222915,1.0
2126,0.00388707,0.221975,1.0
2226,0.00998715,0.227382,1.0
2311,0.00305654,0.219829,1.0
2411,0.00272769,0.218739,1.0
2511,0.00295495,0.218217,1.0
2611,0.00450044,0.219001,1.0
2696,0.00249015,0.216339,1.0
2796,0.00233866,0.215419,1.0
2896,0.00244,0.214754,1.0
2996,0.00402387,0.215573,1.0
3081,0.00226646,0.213165,1.0
3181,0.00215369,0.212288,1.0
3281,0.00218395,0.211556,1.0
3381,0.00348189,0.212095,1.0
3466,0.00211535,0.210083,1.0
3566,0.00200742,0.209217,1.0
3666,0.00202438,0.208479,1.0
3766,0.00312191,0.208824,1.0
3851,0.00209548,0.207193,1.0
3951,0.0018776,0.206899,1.0
4051,0.00189784,0.206844,1.0
4151,0.00249176,0.207363,1.0
4236,0.001951,0.206758,1.0
4336,0.00186577,0.206598,1.0
4436,0.00188332,0.20654,1.0
4536,0.00250453,0.207087,1.0
4621,0.00191263,0.206431,1.0
4721,0.00184881,0.206292,1.0
4821,0.00187358,0.206242,1.0
4921,0.00249448,0.206787,1.0
5006,0.00189361,0.206123,1.0
5106,0.00183544,0.20599,1.0
5206,0.00186481,0.205944,1.0
5306,0.00248291,0.206487,1.0
5391,0.00188188,0.205822,1.0
5491,0.00182411,0.20569,1.0
5591,0.00185655,0.205647,1.0
5691,0.00247043,0.206186,1.0
