step, cross_entropy, loss, train_accuracy
1,3.82511,4.04055,0.03125
101,1.50404,1.721,0.355469
201,0.766583,0.987222,0.492188
301,0.273238,0.496317,0.603516
386,0.197791,0.421991,0.945313
486,0.128702,0.353743,0.957031
586,0.164113,0.389548,0.955729
686,0.0800352,0.305686,0.960938
771,0.0384213,0.263989,0.992188
871,0.112055,0.337409,0.980469
971,0.101234,0.326596,0.979167
1071,0.0165048,0.241524,0.984375
1156,0.0277848,0.252397,1.0
1256,0.0265646,0.250742,1.0
1356,0.0180704,0.241765,1.0
1456,0.010742,0.233847,1.0
1541,0.0155981,0.238246,1.0
1641,0.0224722,0.244598,0.996094
1741,0.00657,0.22807,0.997396
1841,0.00569533,0.226489,0.998047
1926,0.00791661,0.228113,1.0
2026,0.0261786,0.245692,0.992188
2126,0.00396347,0.222782,0.994792
2226,0.00469506,0.222758,0.996094
2311,0.0041604,0.22159,1.0
2411,0.00503381,0.221724,1.0
2511,0.00295598,0.218895,1.0
2611,0.00376916,0.218945,1.0
2696,0.0036588,0.218185,1.0
2796,0.00370266,0.217468,1.0
2896,0.00246834,0.215466,1.0
2996,0.00311729,0.215348,1.0
3081,0.00325065,0.214831,1.0
3181,0.00258087,0.213396,1.0
3281,0.00220043,0.212249,1.0
3381,0.00285441,0.21214,1.0
3466,0.0026749,0.211314,1.0
3566,0.00240521,0.21029,1.0
3666,0.00206216,0.209187,1.0
3766,0.00268848,0.209058,1.0
3851,0.00240057,0.208163,1.0
3951,0.00195064,0.207638,1.0
4051,0.0019275,0.207539,1.0
4151,0.00243292,0.207969,1.0
4236,0.00231577,0.207787,1.0
4336,0.00198212,0.207378,1.0
4436,0.00190915,0.207229,1.0
4536,0.00239511,0.20764,1.0
4621,0.002287,0.207468,1.0
4721,0.0019778,0.207083,1.0
4821,0.00189568,0.206925,1.0
4921,0.0023856,0.20734,1.0
5006,0.00226482,0.207155,1.0
5106,0.00196777,0.206783,1.0
5206,0.0018847,0.206624,1.0
5306,0.00237868,0.207043,1.0
5391,0.00224568,0.206846,1.0
5491,0.00195665,0.206481,1.0
5591,0.00187522,0.206324,1.0
5691,0.00237055,0.206745,1.0
