step, cross_entropy, loss, train_accuracy
1,3.82757,4.04301,0.0234375
101,1.45467,1.67179,0.367188
201,0.759033,0.979715,0.518229
301,0.365784,0.588854,0.621094
386,0.169668,0.393844,0.960938
486,0.0913243,0.316303,0.976563
586,0.0638582,0.289304,0.984375
686,0.0511722,0.276712,0.984375
771,0.0207731,0.246131,1.0
871,0.0347185,0.259751,0.996094
971,0.0238971,0.248612,0.997396
1071,0.0187468,0.24307,0.998047
1156,0.0122316,0.236132,1.0
1256,0.0212251,0.244639,1.0
1356,0.00907459,0.232033,1.0
1456,0.0123172,0.234658,1.0
1541,0.00579739,0.22756,1.0
1641,0.00579892,0.226844,1.0
1741,0.0038643,0.224177,1.0
1841,0.00634881,0.225927,1.0
1926,0.00557478,0.224577,1.0
2026,0.010441,0.228772,1.0
2126,0.00333735,0.220959,1.0
2226,0.00663069,0.223544,1.0
2311,0.0036373,0.219962,1.0
2411,0.0327309,0.248346,0.996094
2511,0.00695104,0.221944,0.997396
2611,0.00396361,0.218234,0.998047
2696,0.0127532,0.226617,1.0
2796,0.00523797,0.218624,1.0
2896,0.00267376,0.215338,1.0
2996,0.00426981,0.216189,1.0
3081,0.00318487,0.214497,1.0
3181,0.00260275,0.213169,1.0
3281,0.00206874,0.211877,1.0
3381,0.0028874,0.211934,1.0
3466,0.00186701,0.210267,1.0
3566,0.00208712,0.209725,1.0
3666,0.00184696,0.208724,1.0
3766,0.0025121,0.208632,1.0
3851,0.00172897,0.20724,1.0
3951,0.00185188,0.207287,1.0
4051,0.00172384,0.207083,1.0
4151,0.00219337,0.207477,1.0
4236,0.00169021,0.20691,1.0
4336,0.00185097,0.206995,1.0
4436,0.00172823,0.206796,1.0
4536,0.00219847,0.207191,1.0
4621,0.00167167,0.2066,1.0
4721,0.00183978,0.206692,1.0
4821,0.00172464,0.206502,1.0
4921,0.00219595,0.206897,1.0
5006,0.00165918,0.206296,1.0
5106,0.00182786,0.20639,1.0
5206,0.00171839,0.206205,1.0
5306,0.00218991,0.206601,1.0
5391,0.00164925,0.205996,1.0
5491,0.00181678,0.206088,1.0
5591,0.00171141,0.205907,1.0
5691,0.00218226,0.206303,1.0
