step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,3.82757,4.04301,0.0234375,1,3.80891,4.02435,0.0234375,1,3.81551,4.03095,0.0234375,1,3.81964,4.03509,0.03125,1,3.81673,4.03217,0.015625,1,3.82185,4.0373,0.015625,1,3.82153,4.03698,0.015625,1,3.82598,4.04142,0.015625
101,1.45467,1.67179,0.367188,101,1.38173,1.59885,0.339844,101,1.52949,1.74656,0.3125,101,1.55172,1.76874,0.34375,101,1.465,1.68215,0.34375,101,1.41963,1.63684,0.375,101,1.62472,1.84164,0.292969,101,1.44194,1.65894,0.34375
201,0.759033,0.979715,0.518229,201,0.55316,0.773947,0.528646,201,0.745588,0.966159,0.476563,201,0.630792,0.85138,0.520833,201,0.582643,0.803519,0.536458,201,0.608354,0.829408,0.554688,201,0.778596,0.999007,0.460938,201,0.586713,0.807493,0.526042
301,0.365784,0.588854,0.621094,301,0.336859,0.5601,0.634766,301,0.347411,0.570479,0.585938,301,0.380035,0.602969,0.619141,301,0.280391,0.50348,0.634766,301,0.293551,0.516891,0.648438,301,0.425425,0.648293,0.568359,301,0.373293,0.596287,0.617188
386,0.169668,0.393844,0.960938,386,0.165701,0.390148,0.976563,386,0.143774,0.368202,0.96875,386,0.181503,0.405628,0.9375,386,0.176844,0.401082,0.9375,386,0.153941,0.378522,0.96875,386,0.192519,0.41665,0.953125,386,0.138087,0.362319,0.96875
486,0.0913243,0.316303,0.976563,486,0.0996282,0.324712,0.972656,486,0.111373,0.336605,0.972656,486,0.127991,0.352982,0.949219,486,0.0778696,0.302827,0.960938,486,0.159209,0.384381,0.953125,486,0.0782272,0.303465,0.972656,486,0.0874213,0.312168,0.976563
586,0.0638582,0.289304,0.984375,586,0.0814884,0.306926,0.976563,586,0.129372,0.355098,0.976563,586,0.132526,0.357985,0.955729,586,0.0642178,0.289546,0.971354,586,0.0836663,0.309253,0.96875,586,0.0722917,0.297953,0.976563,586,0.103947,0.329167,0.979167
686,0.0511722,0.276712,0.984375,686,0.0379851,0.263492,0.982422,686,0.0585956,0.284434,0.976563,686,0.0546377,0.28022,0.964844,686,0.110364,0.3358,0.96875,686,0.0568976,0.282484,0.974609,686,0.0753145,0.301063,0.980469,686,0.0535258,0.278729,0.982422
771,0.0207731,0.246131,1.0,771,0.0324939,0.257998,0.992188,771,0.0409913,0.266729,0.992188,771,0.0279907,0.253383,1.0,771,0.0316504,0.257043,1.0,771,0.0198139,0.245215,1.0,771,0.0276541,0.253226,1.0,771,0.0333776,0.258497,0.992188
871,0.0347185,0.259751,0.996094,871,0.0470198,0.272296,0.988281,871,0.0269119,0.252427,0.996094,871,0.0358196,0.260962,0.996094,871,0.0771711,0.302305,0.988281,871,0.0352136,0.260337,1.0,871,0.0241931,0.24949,1.0,871,0.0214367,0.246163,0.996094
971,0.0238971,0.248612,0.997396,971,0.0713811,0.296221,0.986979,971,0.0675553,0.292837,0.994792,971,0.0492188,0.274131,0.994792,971,0.0270524,0.251771,0.992188,971,0.0577833,0.282613,0.997396,971,0.129948,0.355039,0.984375,971,0.0789298,0.303285,0.989583
1071,0.0187468,0.24307,0.998047,1071,0.0160796,0.240387,0.990234,1071,0.00886379,0.233786,0.996094,1071,0.0237324,0.248146,0.994141,1071,0.0166862,0.24087,0.994141,1071,0.0134081,0.237749,0.998047,1071,0.041998,0.266927,0.984375,1071,0.0200176,0.243929,0.990234
1156,0.0122316,0.236132,1.0,1156,0.0244193,0.248347,0.992188,1156,0.0134104,0.237858,1.0,1156,0.00807643,0.231951,1.0,1156,0.0181677,0.241938,1.0,1156,0.0153582,0.239238,1.0,1156,0.0124368,0.236971,1.0,1156,0.00901006,0.232416,1.0
1256,0.0212251,0.244639,1.0,1256,0.0259528,0.249441,0.996094,1256,0.0147621,0.238745,1.0,1256,0.0172752,0.240588,1.0,1256,0.018338,0.241662,0.996094,1256,0.0442575,0.267707,0.992188,1256,0.0157417,0.23971,1.0,1256,0.0153522,0.238146,1.0
1356,0.00907459,0.232033,1.0,1356,0.0355332,0.258463,0.992188,1356,0.0185328,0.242111,1.0,1356,0.0692598,0.292014,0.994792,1356,0.00777616,0.23049,0.997396,1356,0.0429326,0.265908,0.992188,1356,0.108001,0.331409,0.986979,1356,0.00640283,0.228542,1.0
1456,0.0123172,0.234658,1.0,1456,0.0186343,0.240957,0.994141,1456,0.00672581,0.229714,1.0,1456,0.0209959,0.243128,0.994141,1456,0.00759605,0.229613,0.998047,1456,0.00901432,0.231443,0.994141,1456,0.0206524,0.243629,0.988281,1456,0.00739282,0.228852,1.0
1541,0.00579739,0.22756,1.0,1541,0.013763,0.235619,1.0,1541,0.00701821,0.229466,1.0,1541,0.00654455,0.22809,1.0,1541,0.0196985,0.241193,0.992188,1541,0.00559771,0.227448,1.0,1541,0.0060317,0.228465,1.0,1541,0.00478845,0.225659,1.0
1641,0.00579892,0.226844,1.0,1641,0.0256793,0.246966,0.996094,1641,0.0135041,0.235283,1.0,1641,0.00628983,0.22713,1.0,1641,0.0109476,0.231912,0.996094,1641,0.0271486,0.248298,0.996094,1641,0.00656894,0.228299,1.0,1641,0.00877284,0.22894,1.0
1741,0.0038643,0.224177,1.0,1741,0.0606358,0.281365,0.992188,1741,0.0122403,0.233326,1.0,1741,0.0102224,0.230382,1.0,1741,0.00519993,0.225513,0.997396,1741,0.00606127,0.226504,0.997396,1741,0.00861356,0.229654,1.0,1741,0.00448067,0.223981,1.0
1841,0.00634881,0.225927,1.0,1841,0.0134943,0.233605,0.994141,1841,0.00539278,0.22586,1.0,1841,0.0161085,0.235605,0.998047,1841,0.00688527,0.226478,0.998047,1841,0.00443999,0.224146,0.998047,1841,0.0064088,0.226763,1.0,1841,0.00517315,0.223952,1.0
1926,0.00557478,0.224577,1.0,1926,0.00448223,0.224012,1.0,1926,0.00689577,0.22684,1.0,1926,0.00403491,0.222907,1.0,1926,0.00682809,0.225834,1.0,1926,0.00412838,0.223201,1.0,1926,0.0127835,0.232642,1.0,1926,0.00412526,0.222293,1.0
2026,0.010441,0.228772,1.0,2026,0.0112925,0.230082,0.996094,2026,0.00606204,0.225325,1.0,2026,0.00352701,0.221644,1.0,2026,0.00725387,0.225522,1.0,2026,0.00530794,0.223622,1.0,2026,0.00544372,0.224668,1.0,2026,0.00444059,0.221893,1.0
2126,0.00333735,0.220959,1.0,2126,0.0125866,0.230657,0.997396,2126,0.0037777,0.222304,1.0,2126,0.00406708,0.221432,1.0,2126,0.0042412,0.22177,1.0,2126,0.00470134,0.222269,1.0,2126,0.00942076,0.227936,1.0,2126,0.0128941,0.229665,1.0
2226,0.00663069,0.223544,1.0,2226,0.00514738,0.222574,0.998047,2226,0.00372313,0.221496,1.0,2226,0.00637936,0.222983,1.0,2226,0.00646554,0.223236,1.0,2226,0.00378917,0.220592,1.0,2226,0.00495461,0.222727,1.0,2226,0.00642664,0.22256,1.0
2311,0.0036373,0.219962,1.0,2311,0.00371387,0.220526,1.0,2311,0.00317513,0.220299,1.0,2311,0.0169058,0.232974,0.992188,2311,0.00324721,0.219375,1.0,2311,0.00340211,0.219561,1.0,2311,0.00385997,0.220995,1.0,2311,0.0167119,0.232333,0.992188
2411,0.0327309,0.248346,0.996094,2411,0.0105003,0.226553,1.0,2411,0.00323957,0.219603,1.0,2411,0.00912156,0.224523,0.996094,2411,0.00335078,0.218712,1.0,2411,0.00345966,0.218851,1.0,2411,0.0028375,0.219208,1.0,2411,0.0110244,0.225932,0.996094
2511,0.00695104,0.221944,0.997396,2511,0.00269888,0.21801,1.0,2511,0.00319534,0.218794,1.0,2511,0.00365886,0.218393,0.997396,2511,0.00394121,0.218539,1.0,2511,0.00364951,0.218276,1.0,2511,0.0028129,0.218423,1.0,2511,0.0055353,0.219724,0.997396
