step, cross_entropy, loss, train_accuracy
1,3.82598,4.04142,0.015625
101,1.44194,1.65894,0.34375
201,0.586713,0.807493,0.526042
301,0.373293,0.596287,0.617188
386,0.138087,0.362319,0.96875
486,0.0874213,0.312168,0.976563
586,0.103947,0.329167,0.979167
686,0.0535258,0.278729,0.982422
771,0.0333776,0.258497,0.992188
871,0.0214367,0.246163,0.996094
971,0.0789298,0.303285,0.989583
1071,0.0200176,0.243929,0.990234
1156,0.00901006,0.232416,1.0
1256,0.0153522,0.238146,1.0
1356,0.00640283,0.228542,1.0
1456,0.00739282,0.228852,1.0
1541,0.00478845,0.225659,1.0
1641,0.00877284,0.22894,1.0
1741,0.00448067,0.223981,1.0
1841,0.00517315,0.223952,1.0
1926,0.00412526,0.222293,1.0
2026,0.00444059,0.221893,1.0
2126,0.0128941,0.229665,1.0
2226,0.00642664,0.22256,1.0
2311,0.0167119,0.232333,0.992188
2411,0.0110244,0.225932,0.996094
2511,0.0055353,0.219724,0.997396
2611,0.00519437,0.218732,0.998047
2696,0.00380669,0.216763,1.0
2796,0.00520681,0.21763,1.0
2896,0.0063487,0.218068,1.0
2996,0.0033505,0.214352,1.0
3081,0.00290486,0.213267,1.0
3181,0.00258018,0.212182,1.0
3281,0.00233906,0.211199,1.0
3381,0.00323313,0.211343,1.0
3466,0.0021174,0.209585,1.0
3566,0.00224523,0.208955,1.0
3666,0.00207847,0.208036,1.0
3766,0.00275387,0.207957,1.0
3851,0.00189962,0.2065,1.0
3951,0.00199036,0.206515,1.0
4051,0.00200797,0.206457,1.0
4151,0.00247364,0.206848,1.0
4236,0.00176089,0.206071,1.0
4336,0.00197772,0.206213,1.0
4436,0.00198785,0.206148,1.0
4536,0.00245622,0.206541,1.0
4621,0.00174299,0.205764,1.0
4721,0.00197067,0.205917,1.0
4821,0.00197459,0.205846,1.0
4921,0.00245492,0.206251,1.0
5006,0.00173112,0.205463,1.0
5106,0.00196222,0.205619,1.0
5206,0.00196288,0.205545,1.0
5306,0.00244871,0.205956,1.0
5391,0.00172124,0.205165,1.0
5491,0.00195292,0.205321,1.0
5591,0.00195229,0.205246,1.0
5691,0.00244051,0.205659,1.0
