step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
1,2.62952,2.8416,0.0546875,1,2.63131,2.84339,0.0546875,1,2.64626,2.85833,0.0546875,1,2.63745,2.84953,0.0546875,1,2.62734,2.83941,0.0546875,1,2.63328,2.84536,0.0546875
101,1.62296,1.83496,0.257813,101,1.66581,1.87748,0.222656,101,1.60651,1.81986,0.253906,101,1.74935,1.95943,0.179688,101,1.42198,1.63694,0.289063,101,1.70726,1.91691,0.199219
201,0.937854,1.15898,0.411458,201,0.903551,1.12447,0.385417,201,0.844093,1.0662,0.411458,201,0.979132,1.19833,0.348958,201,0.853571,1.07842,0.445313,201,0.837282,1.05735,0.385417
301,0.594849,0.820294,0.505859,301,0.583959,0.809981,0.492188,301,0.610054,0.836379,0.511719,301,0.682784,0.907091,0.453125,301,0.586092,0.813722,0.527344,301,0.573609,0.797632,0.488281
401,0.410213,0.636491,0.576563,401,0.48398,0.71173,0.5625,401,0.384191,0.611245,0.584375,401,0.395107,0.620783,0.535937,401,0.426725,0.655004,0.595312,401,0.420762,0.646152,0.564062
471,0.55133,0.77737,0.796875,471,0.522544,0.750487,0.828125,471,0.568154,0.795042,0.828125,471,0.492388,0.718206,0.84375,471,0.477744,0.705779,0.84375,471,0.581689,0.807094,0.828125
571,0.343634,0.569303,0.851563,571,0.380108,0.607685,0.84375,571,0.386183,0.612406,0.859375,571,0.370851,0.595803,0.859375,571,0.334142,0.561629,0.871094,571,0.333768,0.558547,0.859375
671,0.379971,0.60458,0.867188,671,0.42023,0.647291,0.854167,671,0.380809,0.606052,0.875,671,0.40496,0.628981,0.861979,671,0.440512,0.666984,0.867188,671,0.397833,0.621949,0.869792
771,0.3618,0.584974,0.869141,771,0.353777,0.579488,0.863281,771,0.404615,0.628811,0.876953,771,0.373305,0.595745,0.863281,771,0.336968,0.562109,0.873047,771,0.366553,0.589374,0.867188
871,0.207877,0.429941,0.885938,871,0.273275,0.498372,0.871875,871,0.210146,0.433337,0.890625,871,0.275443,0.496566,0.871875,871,0.286066,0.510272,0.878125,871,0.226791,0.448823,0.884375
941,0.418727,0.639824,0.898438,941,0.314621,0.538655,0.90625,941,0.276164,0.498364,0.921875,941,0.399655,0.620167,0.875,941,0.359094,0.582409,0.890625,941,0.376607,0.597643,0.890625
1041,0.282853,0.50277,0.894531,1041,0.158524,0.381133,0.9375,1041,0.207772,0.429286,0.925781,1041,0.18014,0.39966,0.921875,1041,0.251132,0.47373,0.910156,1041,0.213153,0.43282,0.917969
1141,0.259747,0.478076,0.901042,1141,0.257019,0.478521,0.9375,1141,0.220385,0.44105,0.932292,1141,0.274655,0.493123,0.924479,1141,0.292271,0.514019,0.908854,1141,0.294817,0.513768,0.924479
1241,0.26445,0.482008,0.910156,1241,0.222521,0.443198,0.931641,1241,0.254856,0.474635,0.931641,1241,0.306975,0.524335,0.914063,1241,0.162335,0.38279,0.916016,1241,0.208255,0.426018,0.927734
1341,0.125682,0.34268,0.920313,1341,0.2235,0.443696,0.926562,1341,0.168497,0.3877,0.935938,1341,0.201803,0.417943,0.914063,1341,0.154009,0.373522,0.925,1341,0.267616,0.484731,0.923437
1411,0.316455,0.532687,0.921875,1411,0.233122,0.452572,0.945313,1411,0.235072,0.453966,0.921875,1411,0.237053,0.452682,0.9375,1411,0.246547,0.466085,0.921875,1411,0.242161,0.458684,0.9375
1511,0.185027,0.400832,0.933594,1511,0.113186,0.332018,0.960938,1511,0.159311,0.378154,0.941406,1511,0.150245,0.365503,0.941406,1511,0.167772,0.387065,0.9375,1511,0.166114,0.382634,0.9375
1611,0.196682,0.411848,0.9375,1611,0.187127,0.405103,0.955729,1611,0.155383,0.373625,0.947917,1611,0.256335,0.47108,0.921875,1611,0.181183,0.399979,0.942708,1611,0.172053,0.388519,0.947917
1711,0.212997,0.427595,0.935547,1711,0.184532,0.402272,0.953125,1711,0.143198,0.361364,0.953125,1711,0.169826,0.384115,0.929688,1711,0.146729,0.364964,0.949219,1711,0.234884,0.450889,0.947266
1811,0.149064,0.363489,0.9375,1811,0.122398,0.33964,0.951563,1811,0.192383,0.410487,0.948438,1811,0.181198,0.394712,0.93125,1811,0.13353,0.351624,0.948438,1811,0.186398,0.402752,0.945313
1881,0.27305,0.487368,0.929688,1881,0.204356,0.421445,0.945313,1881,0.271233,0.488781,0.921875,1881,0.215256,0.428618,0.9375,1881,0.217921,0.435664,0.929688,1881,0.183569,0.399601,0.976563
